PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Fibwi Palma,20 may 2022,G  74-83,2,3,4,12,1-2,0-0,50.0%,0-0,-,1,2,3,4,1,2,0,2,7
vs Caceres,13 may 2022,G  92-75,6,0,1,24,3-3,0-0,100.0%,0-0,-,0,0,0,1,3,2,0,6,8
@ Almansa Con Afanion,7 may 2022,G  76-80,0,0,1,10,0-0,0-1,0.0%,0-0,-,0,0,0,1,1,0,0,0,1
vs Amics Castello,30 abr 2022,G  82-77,3,5,1,19,0-0,1-1,100.0%,0-0,-,2,3,5,1,0,1,0,3,8
@ C.B. Prat,23 abr 2022,G  68-75,2,3,0,19,1-1,0-0,100.0%,0-0,-,1,2,3,0,0,4,1,2,2
vs Biele ISB,17 abr 2022,G  86-77,13,3,1,20,3-8,1-1,44.4%,4-4,100.0%,1,2,3,1,1,1,1,13,13
@ HLA Alicante,13 abr 2022,G  57-78,4,5,1,24,2-3,0-1,50.0%,0-0,-,2,3,5,1,3,2,0,4,9
vs Movistar Estudiantes,29 mar 2022,P  62-66,6,0,0,12,1-3,0-0,33.3%,4-5,80.0%,0,0,0,0,0,1,0,6,2
@ Melilla Ciudad Del Deporte 1,25 mar 2022,G  60-79,4,5,1,19,2-3,0-1,50.0%,0-0,-,0,5,5,1,1,2,1,4,8
vs Hiopos Lleida,20 mar 2022,G  78-64,0,4,0,15,0-0,0-0,-,0-0,-,1,3,4,0,0,0,0,0,4
@ Alimerka Oviedo,15 mar 2022,P  88-71,0,2,0,5,0-0,0-0,-,0-0,-,1,1,2,0,0,1,0,0,1
vs Basquet Girona,12 mar 2022,P  57-77,0,2,0,13,0-2,0-0,0.0%,0-0,-,0,2,2,0,0,1,0,0,-1
@ Súper Agropal Palencia,6 mar 2022,P  68-64,3,1,0,12,0-1,1-1,50.0%,0-0,-,1,0,1,0,0,0,0,3,3
vs Levitec Huesca,19 feb 2022,G  82-69,2,4,0,11,1-2,0-0,50.0%,0-0,-,1,3,4,0,0,1,0,2,4
@ Amics Castello,13 feb 2022,P  83-77,4,2,0,17,0-2,1-2,25.0%,1-2,50.0%,0,2,2,0,1,1,0,4,2
vs Almansa Con Afanion,9 feb 2022,G  84-70,4,2,2,18,2-4,0-0,50.0%,0-0,-,1,1,2,2,1,0,0,4,7
@ Gipuzkoa Basket,6 feb 2022,P  85-71,5,3,0,19,0-2,1-2,25.0%,2-2,100.0%,2,1,3,0,0,3,0,5,2
vs Leyma Coruña,2 feb 2022,P  78-100,8,4,0,23,4-4,0-1,80.0%,0-3,0.0%,1,3,4,0,1,1,0,8,8
@ Coviran Granada,29 ene 2022,P  89-75,7,4,6,27,1-2,1-2,50.0%,2-2,100.0%,2,2,4,6,1,2,0,7,14
vs Fibwi Palma,22 ene 2022,G  71-64,2,3,2,14,1-3,0-1,25.0%,0-0,-,0,3,3,2,0,0,0,2,4
vs C.B. Prat,19 ene 2022,P  71-95,4,6,1,23,2-5,0-2,28.6%,0-0,-,3,3,6,1,1,2,0,4,5
@ Caceres,14 ene 2022,P  86-80,7,4,1,18,3-4,0-0,75.0%,1-2,50.0%,1,3,4,1,0,1,0,7,9
@ Biele ISB,11 ene 2022,G  59-82,0,2,1,18,0-2,0-1,0.0%,0-0,-,0,2,2,1,1,0,0,0,1
vs HLA Alicante,10 dic 2021,G  83-82,2,1,0,7,1-1,0-0,100.0%,0-0,-,0,1,1,0,0,2,0,2,1
@ Movistar Estudiantes,5 dic 2021,P  81-60,4,1,0,21,2-3,0-0,66.7%,0-0,-,0,1,1,0,0,0,0,4,4
vs Melilla Ciudad Del Deporte 1,19 nov 2021,P  68-72,4,4,0,22,1-4,0-1,20.0%,2-2,100.0%,0,4,4,0,1,1,0,4,4
@ Hiopos Lleida,14 nov 2021,P  75-71,3,3,2,31,0-3,1-4,14.3%,0-0,-,0,3,3,2,0,1,0,3,1
vs Alimerka Oviedo,10 nov 2021,G  81-73,11,6,1,26,1-5,3-8,30.8%,0-0,-,3,3,6,1,1,2,0,11,8
@ Basquet Girona,6 nov 2021,G  70-73,0,2,0,16,0-3,0-0,0.0%,0-0,-,1,1,2,0,0,0,0,0,-1
vs Súper Agropal Palencia,30 oct 2021,P  69-78,6,1,0,27,2-4,0-2,33.3%,2-2,100.0%,0,1,1,0,0,0,0,6,3
@ Levitec Huesca,24 oct 2021,G  82-89,12,8,5,30,5-6,0-3,55.6%,2-4,50.0%,0,8,8,5,0,2,0,12,17
vs Gipuzkoa Basket,17 oct 2021,P  89-99,6,4,0,21,3-4,0-1,60.0%,0-0,-,1,3,4,0,1,1,0,6,8
@ Leyma Coruña,12 oct 2021,G  80-81,14,5,2,30,5-9,1-2,54.5%,1-1,100.0%,0,5,5,2,2,1,0,14,17
vs Coviran Granada,8 oct 2021,P  78-82,4,3,0,24,1-1,0-1,50.0%,2-2,100.0%,0,3,3,0,1,1,0,4,6
