PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs MoraBanc Andorra,19 may 2023,P  62-79,0,1,0,8,0-1,0-0,0.0%,0-2,0.0%,1,0,1,0,1,1,0,0,-2
@ Almansa Con Afanion,29 abr 2023,P  97-76,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ Melilla Ciudad Del Deporte 1,16 abr 2023,G  78-104,0,0,0,6,0-0,0-1,0.0%,0-0,-,0,0,0,0,1,0,0,0,0
vs Hiopos Lleida,1 abr 2023,G  68-59,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Caceres,5 mar 2023,G  94-88,0,0,0,2,0-0,0-0,-,0-0,-,0,0,0,0,0,1,0,0,-1
@ Albacete,18 feb 2023,G  56-79,0,1,1,10,0-1,0-1,0.0%,0-0,-,1,0,1,1,0,1,0,0,-1
vs Grupo Alega Cantabria,5 feb 2023,G  96-70,0,0,0,2,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ MoraBanc Andorra,20 ene 2023,P  72-67,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Almansa Con Afanion,27 dic 2022,G  79-53,0,1,1,4,0-0,0-1,0.0%,0-0,-,1,0,1,1,0,0,1,0,2
@ Real Valladolid,21 dic 2022,P  79-64,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Melilla Ciudad Del Deporte 1,18 dic 2022,G  78-63,0,0,0,2,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ Leyma Coruña,11 dic 2022,G  68-81,0,0,0,2,0-0,0-1,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
vs Albacete,23 oct 2022,G  91-65,3,0,0,1,0-0,1-1,100.0%,0-0,-,0,0,0,0,0,0,0,3,3
