PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Almansa Con Afanion,19 may 2023,P  78-97,15,3,2,22,4-6,2-5,54.5%,1-1,100.0%,0,3,3,2,0,0,0,15,15
@ Real Valladolid,12 may 2023,P  83-70,11,0,1,25,4-4,1-3,71.4%,0-2,0.0%,0,0,0,1,0,0,0,11,8
vs Melilla Ciudad Del Deporte 1,7 may 2023,P  84-90,8,2,2,29,3-7,0-8,20.0%,2-2,100.0%,1,1,2,2,2,1,0,8,1
@ Leyma Coruña,1 may 2023,P  92-75,16,1,1,31,1-3,4-8,45.5%,2-4,50.0%,0,1,1,1,0,0,0,16,10
vs Movistar Estudiantes,22 abr 2023,G  100-95,31,4,1,41,2-3,6-11,57.1%,9-9,100.0%,1,3,4,1,0,1,0,31,29
@ Hiopos Lleida,14 abr 2023,P  89-79,10,2,2,30,1-4,2-3,42.9%,2-2,100.0%,1,1,2,2,1,2,0,10,9
vs Biele ISB,9 abr 2023,P  74-79,12,5,2,31,1-3,3-7,40.0%,1-1,100.0%,1,4,5,2,0,0,0,12,13
@ San Pablo Burgos,5 abr 2023,G  81-91,19,1,2,28,3-4,4-9,53.8%,1-1,100.0%,0,1,1,2,2,1,0,19,17
vs Súper Agropal Palencia,31 mar 2023,P  80-88,24,2,3,34,2-6,6-13,42.1%,2-2,100.0%,0,2,2,3,2,0,0,24,20
@ Caceres,24 mar 2023,P  87-76,21,3,2,38,3-5,4-10,46.7%,3-6,50.0%,3,0,3,2,0,0,0,21,15
vs Ourense,18 mar 2023,P  66-74,7,1,0,23,2-4,1-5,33.3%,0-0,-,0,1,1,0,1,0,0,7,3
vs Grupo Alega Cantabria,11 mar 2023,P  74-80,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ Amics Castello,5 mar 2023,P  77-68,7,2,0,15,0-1,2-5,33.3%,1-3,33.3%,1,1,2,0,0,1,0,7,2
vs Gipuzkoa Basket,18 feb 2023,P  56-79,1,1,1,14,0-3,0-2,0.0%,1-2,50.0%,1,0,1,1,0,0,0,1,-3
@ Alimerka Oviedo,27 ene 2023,P  63-57,4,2,0,6,0-0,1-1,100.0%,1-2,50.0%,0,2,2,0,0,1,0,4,4
@ Almansa Con Afanion,20 ene 2023,P  88-85,5,0,1,18,1-1,1-3,50.0%,0-0,-,0,0,0,1,0,0,0,5,4
vs Real Valladolid,14 ene 2023,P  61-68,15,1,2,38,2-7,3-7,35.7%,2-3,66.7%,0,1,1,2,0,1,0,15,7
@ Melilla Ciudad Del Deporte 1,8 ene 2023,G  61-70,8,0,1,21,1-1,2-4,60.0%,0-0,-,0,0,0,1,0,3,0,8,4
vs Leyma Coruña,27 dic 2022,P  61-83,19,3,2,29,5-7,3-9,50.0%,0-0,-,1,2,3,2,1,0,0,19,17
@ Movistar Estudiantes,20 dic 2022,P  68-63,4,1,0,19,2-3,0-2,40.0%,0-0,-,0,1,1,0,0,2,0,4,0
vs Hiopos Lleida,16 dic 2022,P  75-81,9,0,3,25,0-4,3-8,25.0%,0-0,-,0,0,0,3,0,0,0,9,3
@ Biele ISB,11 dic 2022,G  67-76,4,0,0,13,2-2,0-2,50.0%,0-0,-,0,0,0,0,2,0,0,4,4
vs San Pablo Burgos,6 dic 2022,P  82-91,13,1,0,17,3-4,2-8,41.7%,1-2,50.0%,1,0,1,0,0,0,0,13,6
@ Súper Agropal Palencia,2 dic 2022,P  101-81,4,1,1,15,2-2,0-1,66.7%,0-0,-,1,0,1,1,0,0,0,4,5
vs Caceres,26 nov 2022,P  60-64,8,0,1,20,4-6,0-2,50.0%,0-0,-,0,0,0,1,1,0,0,8,6
@ Ourense,20 nov 2022,P  89-71,4,0,1,13,2-2,0-0,100.0%,0-0,-,0,0,0,1,0,2,0,4,3
@ Grupo Alega Cantabria,5 nov 2022,P  72-66,8,2,0,15,2-3,1-3,50.0%,1-1,100.0%,0,2,2,0,0,1,0,8,6
vs Amics Castello,29 oct 2022,G  78-74,11,0,0,21,4-5,1-4,55.6%,0-0,-,0,0,0,0,1,0,0,11,8
@ Gipuzkoa Basket,23 oct 2022,P  91-65,2,0,1,18,1-4,0-2,16.7%,0-0,-,0,0,0,1,0,2,0,2,-4
vs MoraBanc Andorra,15 oct 2022,P  63-93,8,3,0,22,3-8,0-3,27.3%,2-2,100.0%,0,3,3,0,0,0,0,8,3
@ HLA Alicante,11 oct 2022,P  86-77,11,1,4,24,3-7,1-6,30.8%,2-2,100.0%,0,1,1,4,0,0,0,11,7
vs Alimerka Oviedo,8 oct 2022,G  88-42,8,2,0,16,1-1,2-3,75.0%,0-0,-,1,1,2,0,0,0,0,8,9
