PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Albacete,19 may 2023,G  78-97,10,4,8,31,2-5,2-6,36.4%,0-0,-,1,3,4,8,0,0,0,10,15
vs Grupo Alega Cantabria,13 may 2023,G  91-90,19,2,2,18,4-6,1-2,62.5%,8-8,100.0%,0,2,2,2,1,2,0,19,19
@ Amics Castello,5 may 2023,P  81-67,15,2,2,22,4-8,2-3,54.5%,1-2,50.0%,0,2,2,2,1,5,0,15,9
vs Gipuzkoa Basket,29 abr 2023,G  97-76,11,5,9,24,5-7,0-0,71.4%,1-1,100.0%,1,4,5,9,0,3,0,11,20
@ MoraBanc Andorra,22 abr 2023,G  78-82,13,2,3,21,3-5,1-2,57.1%,4-4,100.0%,0,2,2,3,1,3,0,13,13
vs HLA Alicante,15 abr 2023,G  87-74,19,8,6,25,2-7,2-5,33.3%,9-9,100.0%,0,8,8,6,2,0,0,19,27
@ Alimerka Oviedo,9 abr 2023,P  98-88,12,2,4,23,2-4,0-3,28.6%,8-9,88.9%,0,2,2,4,0,0,0,12,12
@ Ourense,5 abr 2023,P  81-75,11,3,2,20,3-7,1-3,40.0%,2-2,100.0%,0,3,3,2,0,0,0,11,10
vs Real Valladolid,1 abr 2023,G  76-60,8,4,2,18,3-11,0-1,25.0%,2-2,100.0%,2,2,4,2,0,0,0,8,5
@ Melilla Ciudad Del Deporte 1,26 mar 2023,P  82-74,6,3,3,18,0-3,1-5,12.5%,3-4,75.0%,1,2,3,3,0,1,0,6,3
vs Leyma Coruña,18 mar 2023,P  86-93,11,3,5,21,1-4,2-4,37.5%,3-4,75.0%,0,3,3,5,4,3,0,11,14
@ Movistar Estudiantes,12 mar 2023,G  75-78,8,3,4,27,2-4,1-3,42.9%,1-2,50.0%,0,3,3,4,1,4,0,8,7
vs Hiopos Lleida,5 mar 2023,P  67-70,15,7,4,24,1-4,3-4,50.0%,4-6,66.7%,0,7,7,4,0,2,0,15,18
@ Biele ISB,17 feb 2023,P  72-54,2,3,2,18,1-2,0-4,16.7%,0-0,-,1,2,3,2,0,0,0,2,2
vs San Pablo Burgos,4 feb 2023,P  66-75,13,1,2,17,3-3,1-3,66.7%,4-5,80.0%,0,1,1,2,1,3,0,13,11
@ Súper Agropal Palencia,1 feb 2023,P  84-60,9,4,3,16,2-4,1-2,50.0%,2-3,66.7%,2,2,4,3,1,2,0,9,11
vs Caceres,28 ene 2023,P  65-76,13,3,6,20,1-4,3-7,36.4%,2-2,100.0%,1,2,3,6,0,2,0,13,13
vs Albacete,20 ene 2023,G  88-85,13,1,0,15,1-6,2-5,27.3%,5-5,100.0%,0,1,1,0,1,0,0,13,7
@ Grupo Alega Cantabria,14 ene 2023,P  71-68,1,2,4,14,0-3,0-2,0.0%,1-2,50.0%,0,2,2,4,1,2,0,1,0
vs Amics Castello,7 ene 2023,G  82-77,8,0,6,16,3-6,0-1,42.9%,2-2,100.0%,0,0,0,6,0,1,0,8,9
@ Gipuzkoa Basket,27 dic 2022,P  79-53,5,3,3,22,1-3,0-2,20.0%,3-4,75.0%,0,3,3,3,0,1,0,5,5
vs MoraBanc Andorra,20 dic 2022,P  75-82,17,1,6,18,3-6,3-4,60.0%,2-2,100.0%,0,1,1,6,0,3,0,17,17
@ HLA Alicante,16 dic 2022,P  101-55,10,2,0,17,5-8,0-3,45.5%,0-0,-,0,2,2,0,1,0,0,10,7
vs Alimerka Oviedo,10 dic 2022,P  94-101,8,0,4,11,1-2,1-1,66.7%,3-3,100.0%,0,0,0,4,0,1,0,8,10
vs Ourense,6 dic 2022,G  73-66,3,2,3,16,0-6,1-5,9.1%,0-0,-,2,0,2,3,0,0,0,3,-2
@ Real Valladolid,3 dic 2022,P  77-75,3,5,6,22,0-3,0-3,0.0%,3-4,75.0%,0,5,5,6,0,3,0,3,4
vs Melilla Ciudad Del Deporte 1,26 nov 2022,G  70-64,19,3,3,22,8-10,0-4,57.1%,3-4,75.0%,0,3,3,3,0,2,0,19,16
@ Leyma Coruña,20 nov 2022,P  100-66,8,0,1,20,1-5,2-5,30.0%,0-0,-,0,0,0,1,2,3,0,8,1
vs Movistar Estudiantes,5 nov 2022,P  70-75,13,5,3,18,3-4,0-2,50.0%,7-8,87.5%,1,4,5,3,1,2,0,13,16
@ Hiopos Lleida,28 oct 2022,P  91-77,10,1,3,17,1-2,2-3,60.0%,2-3,66.7%,1,0,1,3,0,2,0,10,9
vs Biele ISB,22 oct 2022,G  80-61,3,4,5,19,0-3,1-5,12.5%,0-0,-,2,2,4,5,2,1,1,3,7
@ San Pablo Burgos,15 oct 2022,P  86-72,13,8,4,17,2-6,2-3,44.4%,3-4,75.0%,2,6,8,4,0,4,0,13,15
vs Súper Agropal Palencia,12 oct 2022,P  74-89,11,3,2,18,4-6,0-3,44.4%,3-3,100.0%,1,2,3,2,0,3,0,11,8
@ Caceres,7 oct 2022,G  71-86,11,3,2,18,2-4,2-4,50.0%,1-1,100.0%,0,3,3,2,1,1,0,11,12
