PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Real Valladolid,1 abr 2023,G  76-60,8,7,0,16,3-5,0-0,60.0%,2-3,66.7%,3,4,7,0,0,1,0,8,11
@ Melilla Ciudad Del Deporte 1,26 mar 2023,P  82-74,2,7,0,14,1-2,0-0,50.0%,0-2,0.0%,1,6,7,0,0,1,2,2,7
vs Leyma Coruña,18 mar 2023,P  86-93,0,3,0,17,0-2,0-0,0.0%,0-2,0.0%,2,1,3,0,1,3,3,0,0
@ Movistar Estudiantes,12 mar 2023,G  75-78,13,2,0,15,6-9,0-0,66.7%,1-3,33.3%,0,2,2,0,1,0,0,13,11
vs Hiopos Lleida,5 mar 2023,P  67-70,2,6,0,12,1-2,0-0,50.0%,0-0,-,3,3,6,0,0,0,0,2,7
@ Biele ISB,17 feb 2023,P  72-54,6,4,0,12,3-3,0-0,100.0%,0-0,-,1,3,4,0,0,2,0,6,8
vs San Pablo Burgos,4 feb 2023,P  66-75,0,0,0,9,0-1,0-0,0.0%,0-0,-,0,0,0,0,0,0,1,0,0
@ Súper Agropal Palencia,1 feb 2023,P  84-60,6,5,1,19,3-8,0-0,37.5%,0-0,-,1,4,5,1,0,0,0,6,7
vs Caceres,28 ene 2023,P  65-76,2,1,0,8,1-3,0-0,33.3%,0-0,-,0,1,1,0,0,1,0,2,0
vs Albacete,20 ene 2023,G  88-85,2,2,1,19,1-3,0-0,33.3%,0-0,-,2,0,2,1,0,0,0,2,3
@ Grupo Alega Cantabria,14 ene 2023,P  71-68,0,2,1,9,0-4,0-0,0.0%,0-0,-,2,0,2,1,0,2,0,0,-3
vs Amics Castello,7 ene 2023,G  82-77,8,3,0,13,4-4,0-0,100.0%,0-0,-,1,2,3,0,1,0,0,8,12
