PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Albacete,19 may 2023,G  78-97,0,1,0,17,0-0,0-2,0.0%,0-0,-,0,1,1,0,0,0,0,0,-1
vs Grupo Alega Cantabria,13 may 2023,G  91-90,0,1,2,16,0-1,0-2,0.0%,0-0,-,0,1,1,2,0,0,0,0,0
@ Amics Castello,5 may 2023,P  81-67,3,0,0,14,0-2,1-3,20.0%,0-0,-,0,0,0,0,1,0,0,3,0
vs Gipuzkoa Basket,29 abr 2023,G  97-76,9,2,2,19,0-2,3-6,37.5%,0-0,-,2,0,2,2,0,0,0,9,8
@ MoraBanc Andorra,22 abr 2023,G  78-82,5,0,0,17,1-3,1-2,40.0%,0-0,-,0,0,0,0,0,1,0,5,1
vs HLA Alicante,15 abr 2023,G  87-74,2,1,1,13,1-1,0-2,33.3%,0-0,-,1,0,1,1,0,0,0,2,2
@ Alimerka Oviedo,9 abr 2023,P  98-88,11,5,0,21,1-1,3-7,50.0%,0-0,-,1,4,5,0,2,0,0,11,14
@ Ourense,5 abr 2023,P  81-75,6,2,0,16,0-0,2-4,50.0%,0-0,-,0,2,2,0,1,0,0,6,7
vs Real Valladolid,1 abr 2023,G  76-60,5,3,0,15,1-1,1-2,66.7%,0-1,0.0%,0,3,3,0,1,1,0,5,6
@ Melilla Ciudad Del Deporte 1,26 mar 2023,P  82-74,5,1,2,18,1-3,1-1,50.0%,0-0,-,0,1,1,2,0,0,0,5,6
vs Leyma Coruña,18 mar 2023,P  86-93,7,0,0,8,0-0,2-5,40.0%,1-2,50.0%,0,0,0,0,0,0,0,7,3
@ Movistar Estudiantes,12 mar 2023,G  75-78,7,2,0,17,2-2,1-3,60.0%,0-0,-,0,2,2,0,0,0,0,7,7
vs Hiopos Lleida,5 mar 2023,P  67-70,5,1,0,25,1-2,1-4,33.3%,0-0,-,0,1,1,0,0,1,0,5,1
@ Biele ISB,17 feb 2023,P  72-54,8,2,0,20,0-1,2-7,25.0%,2-2,100.0%,0,2,2,0,0,0,0,8,4
vs San Pablo Burgos,4 feb 2023,P  66-75,3,0,0,15,0-2,1-3,20.0%,0-0,-,0,0,0,0,1,1,0,3,-1
@ Súper Agropal Palencia,1 feb 2023,P  84-60,5,3,1,23,1-2,1-4,33.3%,0-0,-,0,3,3,1,0,2,0,5,3
vs Caceres,28 ene 2023,P  65-76,6,1,0,12,1-1,1-3,50.0%,1-1,100.0%,0,1,1,0,0,0,0,6,5
vs Albacete,20 ene 2023,G  88-85,3,1,0,13,0-1,1-3,25.0%,0-0,-,0,1,1,0,0,0,0,3,1
@ Grupo Alega Cantabria,14 ene 2023,P  71-68,8,3,0,11,2-3,1-2,60.0%,1-1,100.0%,2,1,3,0,1,0,1,8,11
vs Amics Castello,7 ene 2023,G  82-77,9,2,3,20,0-0,3-4,75.0%,0-0,-,0,2,2,3,0,1,0,9,12
@ Gipuzkoa Basket,27 dic 2022,P  79-53,0,0,0,5,0-0,0-2,0.0%,0-0,-,0,0,0,0,0,0,0,0,-2
vs MoraBanc Andorra,20 dic 2022,P  75-82,3,1,0,19,0-2,1-5,14.3%,0-0,-,0,1,1,0,1,0,0,3,-1
@ HLA Alicante,16 dic 2022,P  101-55,3,0,2,24,0-1,1-4,20.0%,0-0,-,0,0,0,2,0,0,0,3,1
vs Alimerka Oviedo,10 dic 2022,P  94-101,8,2,2,22,1-1,2-5,50.0%,0-0,-,0,2,2,2,0,1,0,8,8
vs Ourense,6 dic 2022,G  73-66,0,0,0,11,0-0,0-2,0.0%,0-0,-,0,0,0,0,0,1,0,0,-3
@ Real Valladolid,3 dic 2022,P  77-75,6,3,0,19,0-1,1-7,12.5%,3-3,100.0%,0,3,3,0,0,0,0,6,2
vs Melilla Ciudad Del Deporte 1,26 nov 2022,G  70-64,10,1,0,20,0-1,2-5,33.3%,4-4,100.0%,0,1,1,0,2,0,0,10,9
@ Leyma Coruña,20 nov 2022,P  100-66,9,2,2,19,0-1,3-7,37.5%,0-0,-,1,1,2,2,0,0,0,9,8
vs Movistar Estudiantes,5 nov 2022,P  70-75,5,2,0,15,1-1,1-2,66.7%,0-0,-,0,2,2,0,0,2,0,5,4
@ Hiopos Lleida,28 oct 2022,P  91-77,3,0,3,12,0-0,1-3,33.3%,0-0,-,0,0,0,3,0,0,0,3,4
vs Biele ISB,22 oct 2022,G  80-61,4,1,1,17,2-2,0-3,40.0%,0-0,-,0,1,1,1,0,1,1,4,3
@ San Pablo Burgos,15 oct 2022,P  86-72,6,0,0,18,0-2,2-5,28.6%,0-0,-,0,0,0,0,0,0,0,6,1
vs Súper Agropal Palencia,12 oct 2022,P  74-89,13,2,0,20,2-3,3-3,83.3%,0-0,-,1,1,2,0,0,2,0,13,12
@ Caceres,7 oct 2022,G  71-86,7,0,1,23,1-1,1-3,50.0%,2-2,100.0%,0,0,0,1,1,2,0,7,5
