PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs HLA Alicante,19 may 2023,G  100-81,11,3,1,21,3-6,0-0,50.0%,5-6,83.3%,0,3,3,1,0,0,0,11,11
@ Alimerka Oviedo,13 may 2023,P  83-66,5,4,2,14,1-2,0-0,50.0%,3-4,75.0%,3,1,4,2,0,0,0,5,9
vs Almansa Con Afanion,5 may 2023,G  81-67,4,1,2,23,2-4,0-0,50.0%,0-0,-,1,0,1,2,0,0,1,4,6
@ Real Valladolid,29 abr 2023,P  92-82,2,5,1,12,1-1,0-0,100.0%,0-0,-,1,4,5,1,0,2,0,2,6
vs Melilla Ciudad Del Deporte 1,21 abr 2023,G  105-78,7,4,3,13,3-4,0-0,75.0%,1-4,25.0%,2,2,4,3,2,2,0,7,10
vs Biele ISB,31 mar 2023,G  80-70,9,6,0,12,2-5,1-1,50.0%,2-4,50.0%,1,5,6,0,0,0,1,9,11
vs Súper Agropal Palencia,17 mar 2023,G  85-80,6,2,0,23,2-4,0-0,50.0%,2-4,50.0%,1,1,2,0,1,2,0,6,3
@ Caceres,10 mar 2023,G  58-61,6,5,2,21,2-3,0-0,66.7%,2-4,50.0%,1,4,5,2,0,2,0,6,8
vs Albacete,5 mar 2023,G  77-68,9,7,2,19,4-6,0-0,66.7%,1-3,33.3%,3,4,7,2,0,2,3,9,15
@ Grupo Alega Cantabria,18 feb 2023,P  84-64,7,3,1,17,1-2,0-0,50.0%,5-6,83.3%,0,3,3,1,0,2,1,7,8
vs Ourense,5 feb 2023,G  76-64,6,6,0,16,3-7,0-0,42.9%,0-0,-,3,3,6,0,0,0,0,6,8
vs Gipuzkoa Basket,1 feb 2023,G  96-90,4,7,3,30,1-2,0-0,50.0%,2-6,33.3%,2,5,7,3,1,2,0,4,8
@ MoraBanc Andorra,28 ene 2023,P  84-72,5,1,1,14,1-2,0-0,50.0%,3-4,75.0%,1,0,1,1,1,2,1,5,5
@ HLA Alicante,21 ene 2023,P  74-70,5,9,2,23,0-3,0-0,0.0%,5-8,62.5%,3,6,9,2,0,1,0,5,9
vs Alimerka Oviedo,13 ene 2023,G  75-71,11,11,1,30,5-10,0-0,50.0%,1-1,100.0%,4,7,11,1,2,6,1,11,15
@ Almansa Con Afanion,7 ene 2023,P  82-77,3,4,3,20,1-2,0-0,50.0%,1-5,20.0%,1,3,4,3,0,1,0,3,4
vs Real Valladolid,27 dic 2022,G  80-77,8,10,0,26,1-2,0-1,33.3%,6-8,75.0%,4,6,10,0,2,3,0,8,13
@ Melilla Ciudad Del Deporte 1,20 dic 2022,P  101-81,18,10,2,28,7-13,0-0,53.8%,4-8,50.0%,4,6,10,2,0,0,2,18,22
vs Leyma Coruña,16 dic 2022,P  81-86,8,8,1,23,2-7,0-0,28.6%,4-6,66.7%,4,4,8,1,0,1,1,8,10
@ Movistar Estudiantes,11 dic 2022,P  77-52,4,4,2,22,2-3,0-0,66.7%,0-0,-,1,3,4,2,0,0,1,4,10
vs Hiopos Lleida,7 dic 2022,G  87-79,9,7,4,25,4-5,0-0,80.0%,1-4,25.0%,3,4,7,4,0,1,2,9,17
@ Biele ISB,3 dic 2022,G  75-92,7,7,3,16,3-4,0-0,75.0%,1-2,50.0%,3,4,7,3,2,2,0,7,15
vs San Pablo Burgos,25 nov 2022,P  65-67,9,11,2,26,4-8,0-0,50.0%,1-2,50.0%,5,6,11,2,1,1,1,9,18
@ Súper Agropal Palencia,18 nov 2022,P  77-63,7,3,0,15,3-7,0-0,42.9%,1-2,50.0%,1,2,3,0,2,3,2,7,6
vs Caceres,4 nov 2022,P  75-79,0,3,0,16,0-2,0-0,0.0%,0-0,-,1,2,3,0,1,2,0,0,0
@ Albacete,29 oct 2022,P  78-74,4,8,1,25,2-4,0-0,50.0%,0-0,-,1,7,8,1,0,5,1,4,7
vs Grupo Alega Cantabria,21 oct 2022,G  76-72,7,9,3,23,3-4,0-0,75.0%,1-5,20.0%,0,9,9,3,1,1,3,7,17
@ Ourense,14 oct 2022,P  78-74,3,2,1,20,1-4,0-0,25.0%,1-6,16.7%,1,1,2,1,2,1,0,3,-1
@ Gipuzkoa Basket,12 oct 2022,G  48-75,3,6,0,19,1-3,0-0,33.3%,1-3,33.3%,1,5,6,0,0,1,0,3,4
vs MoraBanc Andorra,7 oct 2022,P  73-81,5,8,0,22,1-5,0-0,20.0%,3-4,75.0%,3,5,8,0,0,1,3,5,10
