PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs HLA Alicante,19 may 2023,G  100-81,16,2,0,20,2-3,3-5,62.5%,3-4,75.0%,0,2,2,0,1,0,0,16,15
@ Alimerka Oviedo,13 may 2023,P  83-66,16,1,1,26,5-11,2-2,53.8%,0-0,-,0,1,1,1,0,2,0,16,10
vs Almansa Con Afanion,5 may 2023,G  81-67,11,2,1,22,1-4,3-5,44.4%,0-0,-,0,2,2,1,0,0,0,11,9
@ Real Valladolid,29 abr 2023,P  92-82,4,0,0,11,1-2,0-0,50.0%,2-2,100.0%,0,0,0,0,1,0,0,4,4
vs Albacete,5 mar 2023,G  77-68,2,1,0,21,1-3,0-3,16.7%,0-0,-,0,1,1,0,0,2,0,2,-4
@ Grupo Alega Cantabria,18 feb 2023,P  84-64,2,1,1,16,0-0,0-3,0.0%,2-3,66.7%,0,1,1,1,0,1,0,2,-1
vs Ourense,5 feb 2023,G  76-64,8,4,1,18,1-1,2-5,50.0%,0-0,-,0,4,4,1,0,1,0,8,9
vs Gipuzkoa Basket,1 feb 2023,G  96-90,2,1,1,7,1-1,0-1,50.0%,0-0,-,0,1,1,1,0,1,0,2,2
@ MoraBanc Andorra,28 ene 2023,P  84-72,0,0,1,8,0-1,0-1,0.0%,0-0,-,0,0,0,1,0,1,0,0,-2
@ HLA Alicante,21 ene 2023,P  74-70,11,3,2,27,3-5,1-4,44.4%,2-3,66.7%,0,3,3,2,1,4,0,11,7
vs Alimerka Oviedo,13 ene 2023,G  75-71,0,2,0,15,0-0,0-3,0.0%,0-0,-,0,2,2,0,0,2,0,0,-3
@ Almansa Con Afanion,7 ene 2023,P  82-77,5,2,3,19,0-1,1-3,25.0%,2-2,100.0%,0,2,2,3,1,2,0,5,6
vs Real Valladolid,27 dic 2022,G  80-77,12,3,1,22,0-2,2-8,20.0%,6-6,100.0%,0,3,3,1,1,1,0,12,8
@ Movistar Estudiantes,11 dic 2022,P  77-52,4,3,1,19,2-2,0-1,66.7%,0-0,-,0,3,3,1,1,6,0,4,2
vs Hiopos Lleida,7 dic 2022,G  87-79,11,0,2,26,0-1,3-8,33.3%,2-2,100.0%,0,0,0,2,0,3,0,11,4
@ Biele ISB,3 dic 2022,G  75-92,11,1,2,25,3-3,1-5,50.0%,2-2,100.0%,0,1,1,2,1,4,0,11,7
@ Súper Agropal Palencia,18 nov 2022,P  77-63,9,1,0,23,1-3,1-4,28.6%,4-4,100.0%,1,0,1,0,0,1,0,9,4
vs Caceres,4 nov 2022,P  75-79,6,0,2,26,3-4,0-4,37.5%,0-0,-,0,0,0,2,0,1,0,6,2
@ Albacete,29 oct 2022,P  78-74,8,2,3,24,2-4,0-3,28.6%,4-4,100.0%,0,2,2,3,0,4,0,8,4
vs Grupo Alega Cantabria,21 oct 2022,G  76-72,11,1,0,21,0-1,3-5,50.0%,2-2,100.0%,0,1,1,0,1,1,0,11,9
