PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Rioverde Clavijo,8 abr 2023,P  67-60,14,6,2,35,6-10,0-0,60.0%,2-3,66.7%,3,3,6,2,1,1,2,14,19
vs CB Tormes,2 abr 2023,G  82-74,6,7,0,28,2-4,0-0,50.0%,2-2,100.0%,0,7,7,0,0,0,1,6,12
@ Baskonia II,26 mar 2023,G  81-90,13,5,1,31,5-10,0-0,50.0%,3-4,75.0%,0,5,5,1,1,3,1,13,12
vs La Roda,19 mar 2023,G  81-75,9,6,0,19,3-4,0-1,60.0%,3-4,75.0%,4,2,6,0,0,1,3,9,14
@ C.B. Moron,11 mar 2023,P  93-88,5,2,0,11,2-2,0-0,100.0%,1-2,50.0%,0,2,2,0,0,1,1,5,6
@ Melilla Enrique Soler,4 mar 2023,G  52-73,6,2,0,23,3-7,0-0,42.9%,0-0,-,1,1,2,0,1,1,2,6,6
vs CB Zamora,18 feb 2023,P  79-84,1,2,0,8,0-2,0-0,0.0%,1-2,50.0%,0,2,2,0,0,0,0,1,0
@ Navarra,11 feb 2023,P  88-82,6,5,0,11,2-4,0-1,40.0%,2-2,100.0%,2,3,5,0,1,1,0,6,8
vs Clinica Ponferrada,4 feb 2023,G  87-76,7,2,1,12,3-5,0-0,60.0%,1-4,25.0%,1,1,2,1,0,3,0,7,2
vs Biele ISB,7 ene 2023,G  87-72,0,1,0,6,0-0,0-0,-,0-0,-,0,1,1,0,0,1,0,0,0
@ HLA Alicante,28 dic 2022,P  84-80,0,1,0,3,0-0,0-0,-,0-0,-,0,1,1,0,0,0,0,0,1
vs San Pablo Burgos,20 dic 2022,G  95-91,2,0,0,3,1-2,0-0,50.0%,0-0,-,0,0,0,0,0,0,0,2,1
@ Alimerka Oviedo,17 dic 2022,P  75-58,0,1,0,5,0-0,0-0,-,0-0,-,0,1,1,0,0,0,0,0,1
@ Almansa Con Afanion,6 dic 2022,P  73-66,0,0,0,4,0-0,0-1,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
@ Real Valladolid,26 nov 2022,P  86-76,2,2,0,9,1-1,0-0,100.0%,0-0,-,1,1,2,0,0,0,0,2,4
vs Albacete,20 nov 2022,G  89-71,0,3,0,4,0-1,0-0,0.0%,0-0,-,1,2,3,0,0,2,0,0,0
@ Melilla Ciudad Del Deporte 1,6 nov 2022,P  95-77,4,0,2,12,2-4,0-0,50.0%,0-0,-,0,0,0,2,0,0,0,4,4
vs Grupo Alega Cantabria,29 oct 2022,P  66-79,3,3,1,19,1-5,0-0,20.0%,1-2,50.0%,1,2,3,1,1,0,1,3,4
@ Leyma Coruña,23 oct 2022,P  84-51,2,2,0,17,1-4,0-0,25.0%,0-0,-,1,1,2,0,0,1,0,2,0
vs Amics Castello,14 oct 2022,G  78-74,8,2,0,18,4-4,0-0,100.0%,0-0,-,0,2,2,0,0,2,0,8,8
@ Movistar Estudiantes,11 oct 2022,P  104-86,9,1,0,18,4-5,0-0,80.0%,1-2,50.0%,0,1,1,0,0,2,1,9,7
vs Gipuzkoa Basket,7 oct 2022,P  62-68,8,5,0,21,3-3,0-0,100.0%,2-4,50.0%,3,2,5,0,1,2,2,8,12
