PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Guaros de Lara,25 jun 2023,P  96-78,7,7,2,32,1-3,1-3,33.3%,2-2,100.0%,4,3,7,2,0,1,1,7,12
@ Guaros de Lara,24 jun 2023,G  72-77,3,5,0,31,1-3,0-4,14.3%,1-2,50.0%,1,4,5,0,1,1,1,3,2
vs Guaros de Lara,21 jun 2023,G  72-55,11,6,2,28,5-6,0-3,55.6%,1-2,50.0%,2,4,6,2,0,0,1,11,15
vs Guaros de Lara,19 jun 2023,G  87-72,10,2,4,27,2-4,2-4,50.0%,0-0,-,0,2,2,4,3,2,0,10,13
vs Guaros de Lara,18 jun 2023,P  64-71,10,6,0,20,3-5,1-2,57.1%,1-2,50.0%,4,2,6,0,1,2,0,10,11
@ Guaros de Lara,15 jun 2023,P  88-77,0,1,3,24,0-1,0-1,0.0%,0-2,0.0%,0,1,1,3,1,0,1,0,2
@ Guaros de Lara,14 jun 2023,P  73-65,2,10,3,32,1-4,0-3,14.3%,0-0,-,3,7,10,3,1,2,0,2,8
vs Broncos de Caracas,11 jun 2023,G  80-69,6,8,4,25,2-4,0-2,33.3%,2-2,100.0%,1,7,8,4,0,0,1,6,15
@ Broncos de Caracas,8 jun 2023,P  85-73,8,1,6,33,1-1,2-10,27.3%,0-0,-,0,1,1,6,1,0,0,8,8
@ Broncos de Caracas,7 jun 2023,G  73-82,7,4,3,23,1-2,1-2,50.0%,2-2,100.0%,0,4,4,3,4,2,0,7,14
vs Broncos de Caracas,4 jun 2023,P  74-81,14,6,2,33,4-5,1-7,41.7%,3-6,50.0%,3,3,6,2,0,2,1,14,11
vs Broncos de Caracas,3 jun 2023,G  97-93,15,8,7,34,3-6,2-7,38.5%,3-7,42.9%,3,5,8,7,1,0,0,15,19
@ Llaneros Gaiteros,28 may 2023,G  78-81,8,5,1,30,4-6,0-5,36.4%,0-0,-,3,2,5,1,5,2,1,8,11
@ Llaneros Gaiteros,27 may 2023,P  81-79,6,10,3,30,2-3,0-2,40.0%,2-2,100.0%,5,5,10,3,1,2,0,6,15
vs Llaneros Gaiteros,24 may 2023,G  87-68,4,3,4,22,2-5,0-1,33.3%,0-0,-,1,2,3,4,0,2,2,4,7
vs Llaneros Gaiteros,23 may 2023,G  85-79,8,6,6,29,3-5,0-3,37.5%,2-6,33.3%,1,5,6,6,1,1,0,8,11
vs Broncos de Caracas,20 may 2023,P  87-93,5,6,1,17,0-2,1-6,12.5%,2-6,33.3%,4,2,6,1,1,2,0,5,0
@ Toros de Aragua,18 may 2023,G  55-90,8,3,2,18,3-3,0-4,42.9%,2-2,100.0%,2,1,3,2,1,0,1,8,11
vs Toros de Aragua,29 abr 2023,G  82-77,0,2,3,13,0-0,0-1,0.0%,0-0,-,1,1,2,3,2,0,0,0,6
vs Broncos de Caracas,27 abr 2023,G  101-88,9,2,8,31,3-5,1-7,33.3%,0-0,-,1,1,2,8,0,2,1,9,10
vs Heroes de Falcon,25 abr 2023,G  73-61,13,9,2,31,5-8,1-3,54.5%,0-0,-,2,7,9,2,1,2,0,13,18
