PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Almansa Con Afanion,5 abr 2023,G  81-75,3,4,0,15,1-2,0-0,50.0%,1-2,50.0%,2,2,4,0,1,2,0,3,4
@ Caceres,31 mar 2023,P  92-77,5,5,1,19,2-5,0-0,40.0%,1-3,33.3%,4,1,5,1,1,3,0,5,4
vs Real Valladolid,25 mar 2023,G  82-72,3,3,0,7,1-1,0-0,100.0%,1-2,50.0%,1,2,3,0,1,3,0,3,3
@ Albacete,18 mar 2023,G  66-74,2,0,0,7,1-2,0-0,50.0%,0-0,-,0,0,0,0,0,1,0,2,0
@ Grupo Alega Cantabria,5 mar 2023,P  75-69,9,1,1,14,4-7,0-0,57.1%,1-2,50.0%,1,0,1,1,0,1,0,9,6
vs Leyma Coruña,18 feb 2023,P  70-80,0,2,0,9,0-0,0-0,-,0-2,0.0%,0,2,2,0,0,0,0,0,0
vs San Pablo Burgos,20 dic 2022,G  95-91,4,6,0,27,2-5,0-0,40.0%,0-2,0.0%,1,5,6,0,0,0,0,4,5
@ Alimerka Oviedo,17 dic 2022,P  75-58,3,8,1,25,0-5,0-0,0.0%,3-4,75.0%,4,4,8,1,2,1,0,3,7
vs Súper Agropal Palencia,11 dic 2022,P  66-82,4,2,0,21,1-1,0-0,100.0%,2-4,50.0%,0,2,2,0,0,1,0,4,3
@ Almansa Con Afanion,6 dic 2022,P  73-66,8,2,0,14,4-4,0-0,100.0%,0-0,-,2,0,2,0,0,1,0,8,9
vs Caceres,2 dic 2022,G  76-70,7,7,1,27,2-8,0-0,25.0%,3-4,75.0%,4,3,7,1,0,2,0,7,6
@ Real Valladolid,26 nov 2022,P  86-76,16,4,0,31,6-9,0-0,66.7%,4-6,66.7%,1,3,4,0,1,3,0,16,13
vs Albacete,20 nov 2022,G  89-71,6,2,0,17,2-4,0-0,50.0%,2-3,66.7%,1,1,2,0,0,1,0,6,4
@ Melilla Ciudad Del Deporte 1,6 nov 2022,P  95-77,8,2,0,13,1-1,0-0,100.0%,6-7,85.7%,1,1,2,0,1,0,0,8,10
vs Grupo Alega Cantabria,29 oct 2022,P  66-79,3,9,0,15,1-4,0-0,25.0%,1-2,50.0%,7,2,9,0,0,3,0,3,5
@ Leyma Coruña,23 oct 2022,P  84-51,12,12,0,25,4-8,0-0,50.0%,4-7,57.1%,6,6,12,0,0,1,0,12,16
vs Amics Castello,14 oct 2022,G  78-74,10,3,0,22,3-4,0-0,75.0%,4-5,80.0%,0,3,3,0,0,3,0,10,8
@ Movistar Estudiantes,11 oct 2022,P  104-86,13,1,1,22,5-7,0-0,71.4%,3-5,60.0%,0,1,1,1,0,2,0,13,9
vs Gipuzkoa Basket,7 oct 2022,P  62-68,7,2,1,19,3-4,0-0,75.0%,1-2,50.0%,0,2,2,1,0,1,1,7,8
