PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Heroes de Falcon,14 abr 2023,P  72-80,0,2,0,5,0-0,0-0,-,0-2,0.0%,2,0,2,0,0,0,0,0,0
@ Guaros de Lara,13 abr 2023,P  101-90,0,1,0,3,0-1,0-0,0.0%,0-0,-,0,1,1,0,0,0,0,0,0
vs Guaros de Lara,11 abr 2023,P  65-83,4,6,0,14,2-6,0-0,33.3%,0-2,0.0%,4,2,6,0,0,0,0,4,4
@ Llaneros Gaiteros,8 abr 2023,G  74-79,2,4,0,11,1-2,0-0,50.0%,0-0,-,1,3,4,0,0,0,0,2,5
@ Llaneros Gaiteros,7 abr 2023,G  63-67,3,2,0,5,1-2,0-0,50.0%,1-2,50.0%,1,1,2,0,0,1,1,3,3
@ Heroes de Falcon,5 abr 2023,P  81-71,0,2,1,14,0-1,0-0,0.0%,0-0,-,0,2,2,1,0,2,0,0,0
vs Guaros de Lara,1 abr 2023,P  65-80,12,13,0,29,5-10,0-0,50.0%,2-4,50.0%,6,7,13,0,2,3,0,12,17
vs Brillantes de Maracaibo,29 mar 2023,G  85-83,18,8,0,21,8-10,0-0,80.0%,2-4,50.0%,3,5,8,0,1,2,1,18,22
@ Guaros de Lara,27 mar 2023,P  73-68,2,6,0,10,0-1,0-0,0.0%,2-4,50.0%,4,2,6,0,0,1,0,2,4
vs Toros de Aragua,25 mar 2023,G  64-56,7,4,0,15,2-4,0-0,50.0%,3-4,75.0%,3,1,4,0,0,2,2,7,8
vs Llaneros de Guárico,23 mar 2023,P  64-68,2,4,0,11,1-5,0-0,20.0%,0-0,-,1,3,4,0,1,0,2,2,5
@ MoraBanc Andorra,25 nov 2022,P  90-75,0,1,0,4,0-0,0-0,-,0-0,-,0,1,1,0,0,0,0,0,1
vs HLA Alicante,20 nov 2022,G  82-75,2,2,0,8,1-2,0-0,50.0%,0-0,-,1,1,2,0,0,1,0,2,2
@ Alimerka Oviedo,5 nov 2022,G  68-84,4,6,0,14,1-2,0-0,50.0%,2-2,100.0%,4,2,6,0,0,1,0,4,8
vs Gipuzkoa Basket,28 oct 2022,P  69-79,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ MoraBanc Andorra,22 oct 2022,P  86-74,2,1,0,8,1-1,0-0,100.0%,0-0,-,0,1,1,0,0,1,2,2,4
vs HLA Alicante,16 oct 2022,P  65-72,2,3,0,15,1-3,0-0,33.3%,0-0,-,2,1,3,0,0,1,1,2,3
@ Alimerka Oviedo,11 oct 2022,G  68-71,2,0,0,11,1-1,0-0,100.0%,0-0,-,0,0,0,0,2,0,0,2,4
