PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Real Valladolid,19 may 2023,P  81-87,21,3,0,25,1-4,5-7,54.5%,4-6,66.7%,2,1,3,0,0,1,0,21,16
@ Melilla Ciudad Del Deporte 1,14 may 2023,P  97-89,11,1,1,30,4-6,1-4,50.0%,0-0,-,0,1,1,1,0,0,0,11,8
vs Leyma Coruña,5 may 2023,G  102-94,28,4,1,33,1-3,5-7,60.0%,11-11,100.0%,0,4,4,1,0,4,0,28,25
@ Movistar Estudiantes,30 abr 2023,P  90-78,7,0,1,19,2-3,1-3,50.0%,0-2,0.0%,0,0,0,1,0,2,0,7,1
vs Hiopos Lleida,21 abr 2023,P  64-84,15,1,0,35,4-8,2-9,35.3%,1-2,50.0%,0,1,1,0,2,1,0,15,5
@ Biele ISB,16 abr 2023,P  102-97,0,0,1,16,0-0,0-2,0.0%,0-0,-,0,0,0,1,0,1,0,0,-2
vs San Pablo Burgos,9 abr 2023,P  87-95,13,3,1,25,1-6,3-6,33.3%,2-5,40.0%,1,2,3,1,0,0,0,13,6
@ Súper Agropal Palencia,5 abr 2023,P  76-61,10,2,1,23,2-3,1-5,37.5%,3-3,100.0%,0,2,2,1,1,0,0,10,9
vs Ourense,31 mar 2023,G  92-77,13,0,1,29,2-2,2-3,80.0%,3-3,100.0%,0,0,0,1,2,1,0,13,14
vs Albacete,24 mar 2023,G  87-76,6,3,1,19,3-3,0-1,75.0%,0-0,-,1,2,3,1,0,2,0,6,7
@ Grupo Alega Cantabria,18 mar 2023,G  93-96,7,1,1,19,3-3,0-2,60.0%,1-2,50.0%,0,1,1,1,1,1,0,7,6
vs Amics Castello,10 mar 2023,P  58-61,5,1,2,17,1-5,1-4,22.2%,0-1,0.0%,0,1,1,2,2,1,0,5,1
@ Gipuzkoa Basket,5 mar 2023,P  94-88,3,3,0,16,0-0,1-5,20.0%,0-0,-,2,1,3,0,1,0,0,3,3
vs MoraBanc Andorra,17 feb 2023,P  70-82,11,1,2,28,0-1,3-7,37.5%,2-2,100.0%,1,0,1,2,2,0,0,11,11
@ HLA Alicante,5 feb 2023,P  80-68,4,0,0,16,0-1,1-1,50.0%,1-2,50.0%,0,0,0,0,0,1,0,4,1
vs Alimerka Oviedo,1 feb 2023,G  70-68,9,2,1,22,2-5,1-4,33.3%,2-2,100.0%,1,1,2,1,1,0,0,9,7
@ Almansa Con Afanion,28 ene 2023,G  65-76,5,3,0,14,1-1,1-2,66.7%,0-0,-,1,2,3,0,0,0,0,5,7
@ Real Valladolid,21 ene 2023,P  90-86,6,2,0,20,2-2,0-5,28.6%,2-3,66.7%,0,2,2,0,0,2,0,6,0
vs Melilla Ciudad Del Deporte 1,13 ene 2023,G  92-85,8,0,1,15,1-3,2-5,37.5%,0-0,-,0,0,0,1,0,2,0,8,2
@ Leyma Coruña,8 ene 2023,P  95-87,8,0,0,13,1-2,2-3,60.0%,0-0,-,0,0,0,0,0,1,0,8,5
vs Movistar Estudiantes,27 dic 2022,P  62-70,11,1,0,30,1-3,3-7,40.0%,0-0,-,0,1,1,0,1,1,0,11,6
@ Hiopos Lleida,20 dic 2022,P  94-78,7,0,1,16,0-2,1-2,25.0%,4-4,100.0%,0,0,0,1,0,2,0,7,3
vs Biele ISB,16 dic 2022,P  60-86,10,2,1,27,3-5,1-4,44.4%,1-2,50.0%,0,2,2,1,0,1,0,10,6
@ San Pablo Burgos,10 dic 2022,P  73-63,8,0,0,15,0-0,2-5,40.0%,2-2,100.0%,0,0,0,0,0,0,0,8,5
vs Súper Agropal Palencia,7 dic 2022,P  67-78,7,2,1,18,0-2,2-4,33.3%,1-2,50.0%,1,1,2,1,1,0,0,7,6
@ Ourense,2 dic 2022,P  76-70,2,1,1,20,1-4,0-4,12.5%,0-0,-,0,1,1,1,0,1,0,2,-4
