PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Real Valladolid,19 may 2023,P  81-87,7,5,0,19,0-1,2-8,22.2%,1-1,100.0%,0,5,5,0,2,1,0,7,6
vs Leyma Coruña,5 may 2023,G  102-94,18,3,6,34,3-6,4-9,46.7%,0-1,0.0%,0,3,3,6,0,2,0,18,16
@ Movistar Estudiantes,30 abr 2023,P  90-78,11,3,8,33,1-4,3-8,33.3%,0-0,-,1,2,3,8,0,0,0,11,14
vs Hiopos Lleida,21 abr 2023,P  64-84,8,0,4,25,0-2,2-7,22.2%,2-3,66.7%,0,0,0,4,1,5,0,8,0
@ Biele ISB,16 abr 2023,P  102-97,14,1,0,27,2-3,2-6,44.4%,4-4,100.0%,0,1,1,0,1,0,0,14,11
vs San Pablo Burgos,9 abr 2023,P  87-95,19,2,4,24,2-4,5-11,46.7%,0-0,-,1,1,2,4,0,3,0,19,14
@ Súper Agropal Palencia,5 abr 2023,P  76-61,6,0,5,27,1-3,1-4,28.6%,1-2,50.0%,0,0,0,5,3,4,0,6,4
vs Ourense,31 mar 2023,G  92-77,24,1,5,22,5-6,3-6,66.7%,5-5,100.0%,0,1,1,5,1,3,0,24,24
vs Albacete,24 mar 2023,G  87-76,16,3,1,22,1-3,4-6,55.6%,2-2,100.0%,0,3,3,1,1,1,0,16,16
vs Amics Castello,10 mar 2023,P  58-61,9,3,3,29,3-5,1-8,30.8%,0-0,-,1,2,3,3,6,1,0,9,11
@ Gipuzkoa Basket,5 mar 2023,P  94-88,22,1,3,32,3-3,5-10,61.5%,1-2,50.0%,0,1,1,3,0,1,0,22,19
vs MoraBanc Andorra,17 feb 2023,P  70-82,21,4,3,30,3-7,5-9,50.0%,0-0,-,1,3,4,3,1,3,0,21,18
@ HLA Alicante,5 feb 2023,P  80-68,12,6,5,32,2-5,1-6,27.3%,5-5,100.0%,1,5,6,5,1,2,0,12,14
vs Alimerka Oviedo,1 feb 2023,G  70-68,16,0,3,29,5-6,2-9,46.7%,0-2,0.0%,0,0,0,3,2,2,0,16,9
@ Almansa Con Afanion,28 ene 2023,G  65-76,14,1,3,32,1-3,4-9,41.7%,0-0,-,0,1,1,3,2,1,0,14,12
@ Real Valladolid,21 ene 2023,P  90-86,15,0,0,26,1-2,4-10,41.7%,1-1,100.0%,0,0,0,0,0,3,0,15,5
vs Melilla Ciudad Del Deporte 1,13 ene 2023,G  92-85,11,2,1,20,1-3,2-5,37.5%,3-3,100.0%,0,2,2,1,2,0,0,11,11
@ Leyma Coruña,8 ene 2023,P  95-87,21,1,2,27,4-6,2-12,33.3%,7-7,100.0%,0,1,1,2,4,3,0,21,13
