PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Donar Groningen,14 feb 2023,G  65-77,0,1,1,14,0-0,0-2,0.0%,0-0,-,0,1,1,1,2,2,0,0,0
@ LWD Basket,11 feb 2023,G  74-78,8,0,1,22,1-2,2-5,42.9%,0-0,-,0,0,0,1,0,3,0,8,2
vs PrismaWorx BAL,27 ene 2023,G  99-50,14,3,3,21,0-0,4-7,57.1%,2-2,100.0%,0,3,3,3,1,1,0,14,17
vs Movistar Estudiantes,27 dic 2022,P  62-70,5,0,1,17,0-2,1-1,33.3%,2-3,66.7%,0,0,0,1,0,1,0,5,2
@ Hiopos Lleida,20 dic 2022,P  94-78,4,2,2,25,1-2,0-2,25.0%,2-2,100.0%,0,2,2,2,1,3,0,4,3
vs Biele ISB,16 dic 2022,P  60-86,10,2,1,18,1-1,2-6,42.9%,2-2,100.0%,0,2,2,1,0,0,0,10,9
@ San Pablo Burgos,10 dic 2022,P  73-63,9,3,3,32,1-5,1-5,20.0%,4-4,100.0%,0,3,3,3,3,2,0,9,8
vs Súper Agropal Palencia,7 dic 2022,P  67-78,4,2,1,18,2-3,0-2,40.0%,0-0,-,0,2,2,1,1,4,0,4,1
@ Ourense,2 dic 2022,P  76-70,18,1,1,23,3-7,3-3,60.0%,3-3,100.0%,1,0,1,1,1,0,0,18,17
@ Albacete,26 nov 2022,G  60-64,4,2,0,21,2-4,0-0,50.0%,0-0,-,0,2,2,0,0,0,0,4,4
vs Grupo Alega Cantabria,20 nov 2022,P  66-79,2,8,1,27,0-6,0-2,0.0%,2-2,100.0%,1,7,8,1,0,1,0,2,2
@ Amics Castello,4 nov 2022,G  75-79,8,3,1,19,3-5,0-2,42.9%,2-3,66.7%,0,3,3,1,0,4,0,8,3
vs Gipuzkoa Basket,28 oct 2022,P  69-79,10,2,2,26,2-2,1-5,42.9%,3-4,75.0%,0,2,2,2,0,3,0,10,6
@ MoraBanc Andorra,22 oct 2022,P  86-74,11,5,0,28,2-6,2-4,40.0%,1-2,50.0%,1,4,5,0,1,0,0,11,10
vs HLA Alicante,16 oct 2022,P  65-72,9,1,3,28,0-1,2-5,33.3%,3-3,100.0%,1,0,1,3,0,2,0,9,7
vs Almansa Con Afanion,7 oct 2022,P  71-86,14,1,2,23,2-6,2-6,33.3%,4-4,100.0%,1,0,1,2,1,1,0,14,9
