PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs OCA Global CB Salou,8 abr 2023,G  79-62,9,4,0,23,3-6,1-6,33.3%,0-0,-,1,3,4,0,0,0,0,9,5
@ Alginet,2 abr 2023,P  92-85,12,4,3,32,3-8,1-6,28.6%,3-6,50.0%,2,2,4,3,0,0,0,12,6
vs Hestia Menorca,25 mar 2023,P  78-97,14,3,2,30,2-7,3-6,38.5%,1-1,100.0%,1,2,3,2,0,1,0,14,10
@ Godella,18 mar 2023,P  103-60,12,5,1,25,2-6,2-5,36.4%,2-2,100.0%,2,3,5,1,1,7,2,12,7
vs CBA Gran Canaria,12 mar 2023,P  67-82,18,9,1,33,2-7,4-10,35.3%,2-2,100.0%,2,7,9,1,0,0,1,18,18
@ Levitec Huesca,4 mar 2023,P  75-66,9,7,0,27,3-8,1-6,28.6%,0-0,-,0,7,7,0,2,0,0,9,8
vs Sant Antoni,18 feb 2023,P  70-98,20,5,1,35,8-10,1-7,52.9%,1-3,33.3%,0,5,5,1,0,1,1,20,16
vs L'Hospitalet,11 feb 2023,G  96-85,24,8,0,46,5-10,3-7,47.1%,5-7,71.4%,1,7,8,0,1,4,1,24,19
@ Fibwi Palma,5 feb 2023,P  101-86,8,4,3,34,1-7,2-8,20.0%,0-0,-,1,3,4,3,1,0,0,8,4
vs Maderas Sorli Benicarlo,21 ene 2023,P  71-80,10,5,2,29,2-3,2-4,57.1%,0-0,-,2,3,5,2,1,1,0,10,14
@ Leyma Coruña,8 ene 2023,P  95-87,0,2,0,6,0-0,0-1,0.0%,0-0,-,1,1,2,0,0,0,0,0,1
vs Movistar Estudiantes,27 dic 2022,P  62-70,0,0,0,4,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ Hiopos Lleida,20 dic 2022,P  94-78,0,2,1,4,0-0,0-0,-,0-0,-,0,2,2,1,0,0,0,0,3
vs Biele ISB,16 dic 2022,P  60-86,7,1,1,14,2-2,1-4,50.0%,0-0,-,0,1,1,1,2,1,0,7,7
@ San Pablo Burgos,10 dic 2022,P  73-63,0,1,1,9,0-3,0-1,0.0%,0-0,-,1,0,1,1,0,0,0,0,-2
vs Súper Agropal Palencia,7 dic 2022,P  67-78,6,2,1,14,1-1,1-3,50.0%,1-2,50.0%,1,1,2,1,0,0,0,6,6
@ Ourense,2 dic 2022,P  76-70,4,5,1,17,1-1,0-2,33.3%,2-2,100.0%,2,3,5,1,0,1,0,4,7
@ Albacete,26 nov 2022,G  60-64,3,0,0,9,0-0,1-1,100.0%,0-0,-,0,0,0,0,0,0,0,3,3
vs Grupo Alega Cantabria,20 nov 2022,P  66-79,2,3,0,9,1-1,0-2,33.3%,0-1,0.0%,1,2,3,0,1,1,0,2,2
@ Amics Castello,4 nov 2022,G  75-79,5,1,0,10,2-2,0-1,66.7%,1-1,100.0%,0,1,1,0,0,0,0,5,5
vs Gipuzkoa Basket,28 oct 2022,P  69-79,0,2,0,9,0-1,0-2,0.0%,0-0,-,1,1,2,0,0,0,0,0,-1
@ MoraBanc Andorra,22 oct 2022,P  86-74,5,2,0,10,1-1,1-1,100.0%,0-0,-,0,2,2,0,0,0,0,5,7
vs HLA Alicante,16 oct 2022,P  65-72,6,3,0,18,0-0,2-6,33.3%,0-0,-,0,3,3,0,0,1,0,6,4
@ Alimerka Oviedo,11 oct 2022,G  68-71,4,2,0,13,1-1,0-0,100.0%,2-2,100.0%,0,2,2,0,0,0,0,4,6
vs Almansa Con Afanion,7 oct 2022,P  71-86,8,5,1,29,4-4,0-2,66.7%,0-0,-,2,3,5,1,2,2,0,8,12
