PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Real Valladolid,19 may 2023,P  81-87,0,1,2,9,0-1,0-0,0.0%,0-0,-,0,1,1,2,0,1,0,0,1
@ Melilla Ciudad Del Deporte 1,14 may 2023,P  97-89,12,6,2,25,4-7,0-1,50.0%,4-6,66.7%,3,3,6,2,2,0,0,12,16
vs Leyma Coruña,5 may 2023,G  102-94,3,0,0,7,0-2,1-2,25.0%,0-0,-,0,0,0,0,1,1,0,3,0
@ Movistar Estudiantes,30 abr 2023,P  90-78,16,6,3,33,6-9,1-3,58.3%,1-2,50.0%,2,4,6,3,1,0,0,16,20
vs Hiopos Lleida,21 abr 2023,P  64-84,6,2,0,7,1-1,0-0,100.0%,4-6,66.7%,1,1,2,0,1,0,0,6,7
@ Biele ISB,16 abr 2023,P  102-97,4,2,0,14,1-2,0-1,33.3%,2-2,100.0%,1,1,2,0,0,0,0,4,4
vs San Pablo Burgos,9 abr 2023,P  87-95,0,2,0,9,0-1,0-0,0.0%,0-2,0.0%,1,1,2,0,0,1,0,0,-2
@ Súper Agropal Palencia,5 abr 2023,P  76-61,2,1,0,9,1-2,0-1,33.3%,0-0,-,0,1,1,0,0,0,0,2,1
vs Ourense,31 mar 2023,G  92-77,4,6,1,13,2-3,0-1,50.0%,0-0,-,0,6,6,1,0,0,0,4,9
vs Albacete,24 mar 2023,G  87-76,7,3,0,10,3-3,0-2,60.0%,1-2,50.0%,2,1,3,0,0,0,0,7,7
@ Grupo Alega Cantabria,18 mar 2023,G  93-96,2,1,0,15,1-3,0-0,33.3%,0-0,-,1,0,1,0,0,0,0,2,1
vs Amics Castello,10 mar 2023,P  58-61,0,2,0,9,0-2,0-0,0.0%,0-2,0.0%,1,1,2,0,0,0,0,0,-2
@ Gipuzkoa Basket,5 mar 2023,P  94-88,4,2,0,18,2-3,0-0,66.7%,0-0,-,0,2,2,0,0,2,0,4,3
@ HLA Alicante,5 feb 2023,P  80-68,0,1,0,14,0-1,0-2,0.0%,0-0,-,1,0,1,0,0,1,0,0,-3
vs Alimerka Oviedo,1 feb 2023,G  70-68,2,2,0,9,1-3,0-0,33.3%,0-0,-,1,1,2,0,0,1,0,2,1
@ Almansa Con Afanion,28 ene 2023,G  65-76,7,7,1,21,1-5,1-4,22.2%,2-4,50.0%,0,7,7,1,0,1,0,7,5
@ Real Valladolid,21 ene 2023,P  90-86,1,3,0,10,0-2,0-1,0.0%,1-2,50.0%,1,2,3,0,2,0,0,1,2
vs Melilla Ciudad Del Deporte 1,13 ene 2023,G  92-85,2,2,0,14,0-2,0-0,0.0%,2-4,50.0%,0,2,2,0,1,0,0,2,1
@ Leyma Coruña,8 ene 2023,P  95-87,9,4,0,24,3-3,1-2,80.0%,0-0,-,2,2,4,0,0,2,0,9,10
vs Movistar Estudiantes,27 dic 2022,P  62-70,3,1,0,13,1-3,0-0,33.3%,1-2,50.0%,1,0,1,0,1,1,0,3,1
@ Hiopos Lleida,20 dic 2022,P  94-78,9,4,0,18,3-4,1-2,66.7%,0-0,-,1,3,4,0,0,0,1,9,12
vs Biele ISB,16 dic 2022,P  60-86,6,2,1,27,3-4,0-2,50.0%,0-0,-,2,0,2,1,1,2,0,6,5
@ San Pablo Burgos,10 dic 2022,P  73-63,3,1,0,8,0-3,1-1,25.0%,0-0,-,0,1,1,0,0,0,0,3,1
vs Súper Agropal Palencia,7 dic 2022,P  67-78,0,3,0,19,0-2,0-1,0.0%,0-0,-,1,2,3,0,0,3,0,0,-3
@ Ourense,2 dic 2022,P  76-70,2,1,3,16,1-3,0-0,33.3%,0-0,-,0,1,1,3,1,1,0,2,4
@ Albacete,26 nov 2022,G  60-64,3,3,0,19,1-2,0-3,20.0%,1-2,50.0%,1,2,3,0,0,0,0,3,1
vs Grupo Alega Cantabria,20 nov 2022,P  66-79,7,6,0,28,3-7,0-0,42.9%,1-1,100.0%,2,4,6,0,1,0,0,7,10
