PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Movistar Estudiantes,16 abr 2023,P  80-54,4,4,0,15,2-6,0-0,33.3%,0-0,-,1,3,4,0,0,3,1,4,2
@ Súper Agropal Palencia,24 mar 2023,P  94-72,8,7,0,25,2-9,0-0,22.2%,4-4,100.0%,2,5,7,0,0,1,0,8,7
vs Caceres,18 mar 2023,P  93-96,13,2,1,23,2-3,0-1,50.0%,9-10,90.0%,1,1,2,1,0,1,0,13,12
@ Albacete,11 mar 2023,G  74-80,19,10,2,32,7-10,0-0,70.0%,5-6,83.3%,5,5,10,2,2,3,0,19,26
vs Ourense,5 mar 2023,G  75-69,24,16,3,34,10-14,0-0,71.4%,4-5,80.0%,7,9,16,3,2,0,0,24,40
vs Amics Castello,18 feb 2023,G  84-64,15,12,2,25,6-8,0-0,75.0%,3-5,60.0%,4,8,12,2,2,2,0,15,25
@ Gipuzkoa Basket,5 feb 2023,P  96-70,14,4,0,20,7-7,0-0,100.0%,0-0,-,2,2,4,0,2,2,0,14,18
vs MoraBanc Andorra,1 feb 2023,P  62-80,8,6,0,20,4-6,0-0,66.7%,0-2,0.0%,2,4,6,0,1,0,0,8,11
@ HLA Alicante,27 ene 2023,P  78-77,11,8,0,23,5-6,0-0,83.3%,1-1,100.0%,4,4,8,0,0,1,1,11,18
@ Alimerka Oviedo,21 ene 2023,G  62-69,4,6,0,15,1-1,0-0,100.0%,2-2,100.0%,2,4,6,0,2,1,1,4,12
vs Almansa Con Afanion,14 ene 2023,G  71-68,2,4,0,16,0-2,0-0,0.0%,2-2,100.0%,3,1,4,0,1,3,1,2,3
@ Real Valladolid,7 ene 2023,P  67-60,4,7,1,22,2-3,0-0,66.7%,0-0,-,2,5,7,1,0,3,1,4,9
vs Melilla Ciudad Del Deporte 1,28 dic 2022,G  83-80,17,7,0,18,6-12,0-0,50.0%,5-6,83.3%,4,3,7,0,2,0,1,17,20
@ Leyma Coruña,21 dic 2022,P  109-95,5,3,0,19,2-5,0-0,40.0%,1-2,50.0%,2,1,3,0,1,0,1,5,6
vs Movistar Estudiantes,17 dic 2022,P  76-82,4,3,0,21,2-7,0-0,28.6%,0-0,-,1,2,3,0,0,2,0,4,0
@ Hiopos Lleida,11 dic 2022,P  91-79,5,3,0,12,1-2,0-0,50.0%,3-4,75.0%,2,1,3,0,0,1,0,5,5
vs Biele ISB,6 dic 2022,G  77-49,10,3,1,10,4-5,0-0,80.0%,2-2,100.0%,0,3,3,1,1,1,0,10,13
vs Súper Agropal Palencia,26 nov 2022,P  67-77,5,8,1,23,2-4,0-0,50.0%,1-2,50.0%,4,4,8,1,1,1,0,5,11
@ Caceres,20 nov 2022,G  66-79,8,5,0,23,2-4,1-1,60.0%,1-2,50.0%,3,2,5,0,0,1,0,8,9
vs Albacete,5 nov 2022,G  72-66,8,6,1,23,3-5,0-0,60.0%,2-6,33.3%,3,3,6,1,1,0,2,8,12
@ Ourense,29 oct 2022,G  66-79,11,12,1,24,3-5,0-0,60.0%,5-6,83.3%,5,7,12,1,0,3,0,11,18
@ Amics Castello,21 oct 2022,P  76-72,10,11,0,26,4-8,0-0,50.0%,2-4,50.0%,2,9,11,0,1,1,1,10,16
vs Gipuzkoa Basket,16 oct 2022,G  74-72,12,8,1,27,5-7,0-0,71.4%,2-3,66.7%,2,6,8,1,1,4,0,12,15
@ MoraBanc Andorra,12 oct 2022,P  88-47,8,6,1,21,4-7,0-0,57.1%,0-0,-,0,6,6,1,0,0,0,8,12
vs HLA Alicante,7 oct 2022,G  76-70,11,6,2,22,4-7,0-0,57.1%,3-5,60.0%,3,3,6,2,1,1,0,11,14
