PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Alimerka Oviedo,19 may 2023,P  76-90,7,8,3,22,1-2,1-2,50.0%,2-2,100.0%,0,8,8,3,0,4,0,7,12
@ Almansa Con Afanion,13 may 2023,P  91-90,8,5,5,27,2-3,1-2,60.0%,1-1,100.0%,0,5,5,5,2,1,0,8,17
vs Real Valladolid,6 may 2023,G  72-71,9,5,3,29,3-6,0-2,37.5%,3-3,100.0%,0,5,5,3,0,1,0,9,11
@ Melilla Ciudad Del Deporte 1,30 abr 2023,G  89-95,7,0,6,24,2-5,1-2,42.9%,0-0,-,0,0,0,6,0,1,0,7,8
vs Leyma Coruña,23 abr 2023,P  84-86,5,3,6,25,1-2,1-4,33.3%,0-0,-,0,3,3,6,1,2,2,5,11
@ Movistar Estudiantes,16 abr 2023,P  80-54,0,1,0,13,0-1,0-1,0.0%,0-0,-,0,1,1,0,1,0,0,0,0
vs Hiopos Lleida,9 abr 2023,G  68-67,3,3,3,20,1-1,0-3,25.0%,1-2,50.0%,1,2,3,3,2,1,0,3,6
@ Biele ISB,5 abr 2023,P  85-74,4,0,5,26,2-5,0-1,33.3%,0-0,-,0,0,0,5,1,0,0,4,6
vs San Pablo Burgos,2 abr 2023,P  61-102,5,2,3,21,2-3,0-1,50.0%,1-2,50.0%,0,2,2,3,3,2,0,5,8
@ Súper Agropal Palencia,24 mar 2023,P  94-72,3,2,1,18,0-0,1-2,50.0%,0-2,0.0%,0,2,2,1,0,2,0,3,1
vs Caceres,18 mar 2023,P  93-96,8,3,4,24,2-3,0-3,33.3%,4-7,57.1%,1,2,3,4,1,2,1,8,8
@ Albacete,11 mar 2023,G  74-80,8,1,7,35,3-7,0-4,27.3%,2-2,100.0%,0,1,1,7,3,2,0,8,9
vs Ourense,5 mar 2023,G  75-69,8,6,6,30,4-10,0-1,36.4%,0-0,-,2,4,6,6,2,2,0,8,13
vs Amics Castello,18 feb 2023,G  84-64,2,2,6,27,1-2,0-3,20.0%,0-0,-,1,1,2,6,1,3,0,2,4
@ Gipuzkoa Basket,5 feb 2023,P  96-70,0,1,1,18,0-2,0-2,0.0%,0-0,-,0,1,1,1,0,2,1,0,-3
vs MoraBanc Andorra,1 feb 2023,P  62-80,9,4,6,29,4-9,0-3,33.3%,1-1,100.0%,1,3,4,6,0,1,0,9,10
@ HLA Alicante,27 ene 2023,P  78-77,20,3,9,36,1-3,5-6,66.7%,3-4,75.0%,0,3,3,9,3,2,0,20,29
@ Alimerka Oviedo,21 ene 2023,G  62-69,16,2,4,32,1-4,3-4,50.0%,5-5,100.0%,0,2,2,4,1,1,0,16,18
vs Almansa Con Afanion,14 ene 2023,G  71-68,8,5,4,28,2-6,1-2,37.5%,1-2,50.0%,1,4,5,4,1,0,0,8,12
@ Real Valladolid,7 ene 2023,P  67-60,4,2,2,26,1-4,0-1,20.0%,2-5,40.0%,1,1,2,2,1,4,0,4,-2
vs Melilla Ciudad Del Deporte 1,28 dic 2022,G  83-80,8,3,6,29,2-6,1-2,37.5%,1-2,50.0%,0,3,3,6,0,1,0,8,10
@ Leyma Coruña,21 dic 2022,P  109-95,8,1,5,21,4-7,0-4,36.4%,0-3,0.0%,0,1,1,5,3,1,0,8,6
vs Movistar Estudiantes,17 dic 2022,P  76-82,9,3,3,34,4-8,0-2,40.0%,1-2,50.0%,0,3,3,3,3,1,0,9,10
@ Hiopos Lleida,11 dic 2022,P  91-79,18,3,6,33,5-7,2-5,58.3%,2-2,100.0%,0,3,3,6,2,1,0,18,23
vs Biele ISB,6 dic 2022,G  77-49,7,3,4,22,3-7,0-2,33.3%,1-1,100.0%,0,3,3,4,2,2,0,7,8
@ San Pablo Burgos,3 dic 2022,P  89-62,10,2,5,27,2-4,2-5,44.4%,0-0,-,0,2,2,5,1,7,0,10,6
vs Súper Agropal Palencia,26 nov 2022,P  67-77,14,1,2,30,4-7,1-3,50.0%,3-4,75.0%,0,1,1,2,0,3,0,14,8
@ Caceres,20 nov 2022,G  66-79,7,6,1,29,2-6,1-4,30.0%,0-0,-,1,5,6,1,1,0,0,7,8
vs Albacete,5 nov 2022,G  72-66,9,4,5,30,3-5,0-3,37.5%,3-4,75.0%,0,4,4,5,1,3,2,9,12
@ Ourense,29 oct 2022,G  66-79,11,1,2,30,4-8,0-3,36.4%,3-4,75.0%,0,1,1,2,1,1,0,11,6
@ Amics Castello,21 oct 2022,P  76-72,3,5,5,29,1-3,0-1,25.0%,1-2,50.0%,2,3,5,5,1,1,3,3,12
vs Gipuzkoa Basket,16 oct 2022,G  74-72,10,5,8,24,1-3,2-4,42.9%,2-2,100.0%,0,5,5,8,0,2,1,10,18
@ MoraBanc Andorra,12 oct 2022,P  88-47,4,0,0,19,2-5,0-2,28.6%,0-2,0.0%,0,0,0,0,0,3,1,4,-5
vs HLA Alicante,7 oct 2022,G  76-70,12,7,6,30,1-2,3-4,66.7%,1-3,33.3%,1,6,7,6,0,1,1,12,21
