PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Gipuzkoa Basket,12 may 2023,P  79-81,14,2,3,24,0-2,4-6,50.0%,2-3,66.7%,1,1,2,3,0,1,0,14,13
@ MoraBanc Andorra,6 may 2023,P  74-59,14,2,1,31,1-3,4-8,45.5%,0-0,-,1,1,2,1,3,2,1,14,13
@ Ourense,29 abr 2023,P  86-77,9,0,2,28,1-4,2-4,37.5%,1-2,50.0%,0,0,0,2,0,1,0,9,4
vs Alimerka Oviedo,21 abr 2023,G  78-69,9,6,0,21,1-2,2-7,33.3%,1-3,33.3%,2,4,6,0,0,4,0,9,3
@ Almansa Con Afanion,15 abr 2023,P  87-74,22,6,1,31,2-6,5-10,43.8%,3-4,75.0%,2,4,6,1,0,1,0,22,18
vs Real Valladolid,9 abr 2023,P  70-71,10,3,3,27,2-5,2-7,33.3%,0-0,-,2,1,3,3,0,1,0,10,7
@ Melilla Ciudad Del Deporte 1,5 abr 2023,G  70-88,8,5,1,28,0-1,2-8,22.2%,2-2,100.0%,0,5,5,1,1,3,0,8,5
vs Leyma Coruña,31 mar 2023,G  91-76,17,4,4,29,2-4,3-7,45.5%,4-5,80.0%,1,3,4,4,2,2,0,17,18
@ Movistar Estudiantes,26 mar 2023,P  70-65,4,4,6,32,0-2,1-8,10.0%,1-2,50.0%,1,3,4,6,1,1,0,4,4
vs Hiopos Lleida,17 mar 2023,G  79-76,13,5,2,34,1-2,3-7,44.4%,2-2,100.0%,5,0,5,2,4,0,0,13,19
@ Biele ISB,12 mar 2023,G  68-70,6,3,0,30,0-1,2-7,25.0%,0-0,-,0,3,3,0,3,1,0,6,5
vs San Pablo Burgos,5 mar 2023,P  69-90,8,1,1,25,0-3,2-7,20.0%,2-2,100.0%,0,1,1,1,2,1,0,8,3
@ Súper Agropal Palencia,17 feb 2023,P  87-79,16,1,3,26,2-5,3-6,45.5%,3-3,100.0%,0,1,1,3,0,2,0,16,12
@ Albacete,31 ene 2023,P  72-65,5,3,3,20,1-1,1-5,33.3%,0-0,-,1,2,3,3,0,2,1,5,6
vs Grupo Alega Cantabria,27 ene 2023,G  78-77,20,3,1,29,0-1,5-9,50.0%,5-5,100.0%,1,2,3,1,0,1,0,20,18
vs Amics Castello,21 ene 2023,G  74-70,7,5,3,31,1-5,1-4,22.2%,2-2,100.0%,0,5,5,3,1,2,1,7,8
@ Gipuzkoa Basket,15 ene 2023,P  77-67,9,7,0,27,3-6,1-5,36.4%,0-0,-,2,5,7,0,2,2,0,9,9
vs MoraBanc Andorra,7 ene 2023,G  73-66,15,1,6,32,3-4,3-6,60.0%,0-0,-,0,1,1,6,4,2,0,15,20
vs Ourense,28 dic 2022,G  84-80,19,7,5,34,1-3,5-9,50.0%,2-2,100.0%,0,7,7,5,2,1,0,19,26
@ Alimerka Oviedo,22 dic 2022,G  68-69,6,4,0,28,0-3,2-3,33.3%,0-0,-,1,3,4,0,4,4,0,6,6
vs Almansa Con Afanion,16 dic 2022,G  101-55,4,5,1,20,2-3,0-3,33.3%,0-0,-,1,4,5,1,1,0,2,4,9
@ Real Valladolid,10 dic 2022,P  68-52,0,2,2,13,0-1,0-5,0.0%,0-0,-,2,0,2,2,1,0,0,0,-1
vs Melilla Ciudad Del Deporte 1,7 dic 2022,G  77-60,11,4,2,25,5-6,0-8,35.7%,1-1,100.0%,1,3,4,2,1,0,1,11,10
@ Leyma Coruña,2 dic 2022,P  86-69,3,4,0,20,0-1,1-2,33.3%,0-0,-,0,4,4,0,2,1,0,3,6
vs Movistar Estudiantes,25 nov 2022,G  89-85,5,6,2,26,0-1,1-5,16.7%,2-2,100.0%,1,5,6,2,3,3,1,5,9
@ Hiopos Lleida,20 nov 2022,P  82-75,14,2,1,25,1-2,4-10,41.7%,0-0,-,0,2,2,1,1,2,0,14,9
vs Biele ISB,4 nov 2022,G  84-73,13,4,3,22,1-2,3-6,50.0%,2-2,100.0%,1,3,4,3,3,0,1,13,20
@ San Pablo Burgos,29 oct 2022,G  98-101,20,3,1,31,3-6,4-11,41.2%,2-2,100.0%,1,2,3,1,0,0,0,20,14
vs Súper Agropal Palencia,21 oct 2022,P  54-82,0,2,0,11,0-0,0-1,0.0%,0-0,-,1,1,2,0,1,2,0,0,0
@ Caceres,16 oct 2022,G  65-72,0,0,2,18,0-2,0-2,0.0%,0-0,-,0,0,0,2,0,2,0,0,-4
vs Albacete,11 oct 2022,G  86-77,7,5,1,22,2-2,1-3,60.0%,0-0,-,3,2,5,1,0,0,2,7,13
@ Grupo Alega Cantabria,7 oct 2022,P  76-70,7,7,2,22,2-5,1-4,33.3%,0-0,-,4,3,7,2,1,2,0,7,9
