PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Ourense,19 may 2023,G  56-82,13,6,4,22,5-7,1-3,60.0%,0-0,-,0,6,6,4,2,1,0,13,20
vs Biele ISB,12 may 2023,G  91-78,4,3,0,17,2-2,0-3,40.0%,0-0,-,1,2,3,0,1,0,0,4,5
@ San Pablo Burgos,5 may 2023,P  90-78,14,3,0,21,4-5,2-3,75.0%,0-0,-,1,2,3,0,0,0,0,14,15
vs Súper Agropal Palencia,28 abr 2023,G  88-81,7,3,1,15,2-4,1-2,50.0%,0-0,-,1,2,3,1,1,0,0,7,9
@ Caceres,21 abr 2023,G  64-84,8,4,0,25,1-3,1-4,28.6%,3-4,75.0%,0,4,4,0,1,1,1,8,7
vs Albacete,14 abr 2023,G  89-79,10,5,1,20,5-5,0-6,45.5%,0-0,-,2,3,5,1,2,0,1,10,13
@ Grupo Alega Cantabria,9 abr 2023,P  68-67,8,3,0,15,2-3,0-2,40.0%,4-4,100.0%,1,2,3,0,0,1,0,8,7
vs Amics Castello,5 abr 2023,P  77-88,3,1,0,11,1-4,0-2,16.7%,1-2,50.0%,0,1,1,0,0,2,0,3,-4
@ Gipuzkoa Basket,1 abr 2023,P  68-59,7,2,1,18,2-2,1-3,60.0%,0-0,-,1,1,2,1,0,1,1,7,8
vs MoraBanc Andorra,24 mar 2023,G  88-80,6,2,2,19,0-0,1-6,16.7%,3-4,75.0%,0,2,2,2,1,0,0,6,5
vs Baskonia Vitoria-Gasteiz,11 dic 2022,P  68-96,8,2,0,8,3-3,0-0,100.0%,2-2,100.0%,0,2,2,0,1,0,0,8,11
@ Monbus Obradoiro,5 nov 2022,G  58-85,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs La Laguna Tenerife,29 oct 2022,P  70-86,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Coviran Granada,22 oct 2022,G  94-76,0,0,0,4,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ Rio Breogan,16 oct 2022,G  53-71,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Casademont Zaragoza (M),8 oct 2022,G  88-72,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,1,0,0,0,1
