PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Movistar Estudiantes,19 may 2023,P  63-82,5,1,1,27,1-6,0-6,8.3%,3-3,100.0%,0,1,1,1,0,1,0,5,-5
@ Hiopos Lleida,12 may 2023,P  91-78,20,2,4,33,5-10,2-9,36.8%,4-5,80.0%,0,2,2,4,1,3,0,20,11
vs Ourense,5 may 2023,P  76-80,17,5,0,29,5-6,1-7,46.2%,4-5,80.0%,1,4,5,0,1,4,0,17,11
vs San Pablo Burgos,30 abr 2023,P  76-88,19,1,1,31,3-5,4-15,35.0%,1-1,100.0%,1,0,1,1,0,3,0,19,5
@ Súper Agropal Palencia,21 abr 2023,P  103-63,15,2,1,26,1-6,3-5,36.4%,4-5,80.0%,1,1,2,1,0,4,0,15,6
vs Caceres,16 abr 2023,G  102-97,16,1,0,26,2-4,2-6,40.0%,6-6,100.0%,1,0,1,0,0,0,0,16,11
@ Albacete,9 abr 2023,G  74-79,18,0,1,33,2-7,3-11,27.8%,5-7,71.4%,0,0,0,1,1,1,0,18,4
vs Grupo Alega Cantabria,5 abr 2023,G  85-74,28,3,4,27,5-8,5-12,50.0%,3-4,75.0%,2,1,3,4,0,3,0,28,21
@ Amics Castello,31 mar 2023,P  80-70,14,3,1,30,3-8,2-8,31.3%,2-4,50.0%,1,2,3,1,2,0,0,14,7
@ MoraBanc Andorra,18 mar 2023,P  89-61,18,3,2,29,1-7,3-5,33.3%,7-8,87.5%,0,3,3,2,1,4,0,18,11
vs HLA Alicante,12 mar 2023,P  68-70,18,0,2,30,1-4,4-10,35.7%,4-7,57.1%,0,0,0,2,1,1,0,18,8
@ Alimerka Oviedo,5 mar 2023,P  84-78,14,2,3,28,2-6,2-4,40.0%,4-6,66.7%,1,1,2,3,2,3,0,14,10
vs Almansa Con Afanion,17 feb 2023,G  72-54,15,4,1,26,4-7,2-7,42.9%,1-2,50.0%,0,4,4,1,0,2,0,15,9
@ Real Valladolid,5 feb 2023,P  80-61,14,2,0,25,2-4,2-7,36.4%,4-7,57.1%,0,2,2,0,1,3,0,14,4
vs Melilla Ciudad Del Deporte 1,1 feb 2023,G  97-86,17,4,1,33,3-6,2-6,41.7%,5-8,62.5%,1,3,4,1,1,0,0,17,13
@ Leyma Coruña,27 ene 2023,P  78-73,21,1,1,33,2-9,5-10,36.8%,2-3,66.7%,1,0,1,1,1,1,0,21,10
@ Movistar Estudiantes,20 ene 2023,P  75-55,11,0,2,34,1-4,3-12,25.0%,0-0,-,0,0,0,2,0,2,0,11,-1
vs Hiopos Lleida,13 ene 2023,G  80-74,20,2,0,21,3-5,4-6,63.6%,2-2,100.0%,0,2,2,0,0,1,0,20,17
@ Ourense,7 ene 2023,P  87-72,21,5,4,29,6-14,2-6,40.0%,3-3,100.0%,1,4,5,4,1,1,1,21,19
@ San Pablo Burgos,29 dic 2022,P  85-59,20,3,2,33,3-4,2-8,41.7%,8-11,72.7%,0,3,3,2,1,0,0,20,16
vs Súper Agropal Palencia,20 dic 2022,P  84-87,23,0,0,30,2-5,4-7,50.0%,7-7,100.0%,0,0,0,0,2,2,0,23,17
@ Caceres,16 dic 2022,G  60-86,23,6,1,24,3-5,5-7,66.7%,2-3,66.7%,1,5,6,1,0,1,0,23,24
vs Albacete,11 dic 2022,P  67-76,7,3,0,24,2-5,1-6,27.3%,0-0,-,1,2,3,0,0,2,0,7,0
@ Grupo Alega Cantabria,6 dic 2022,P  77-49,8,1,0,26,1-6,2-5,27.3%,0-0,-,1,0,1,0,0,2,0,8,-1
vs Amics Castello,3 dic 2022,P  75-92,11,3,1,28,2-4,1-7,27.3%,4-4,100.0%,2,1,3,1,2,1,0,11,8
@ Gipuzkoa Basket,27 nov 2022,P  85-76,26,2,0,28,2-4,5-8,58.3%,7-9,77.8%,1,1,2,0,1,1,0,26,21
vs MoraBanc Andorra,20 nov 2022,P  70-97,13,1,1,23,4-6,1-3,55.6%,2-2,100.0%,0,1,1,1,0,1,0,13,10
@ HLA Alicante,4 nov 2022,P  84-73,13,2,3,31,3-6,0-3,33.3%,7-9,77.8%,0,2,2,3,0,2,0,13,8
vs Alimerka Oviedo,30 oct 2022,G  94-85,27,1,2,29,5-10,3-6,50.0%,8-11,72.7%,1,0,1,2,2,1,0,27,20
@ Almansa Con Afanion,22 oct 2022,P  80-61,8,2,2,27,2-4,1-5,33.3%,1-1,100.0%,0,2,2,2,2,1,0,8,7
vs Real Valladolid,16 oct 2022,P  68-78,12,4,1,26,3-7,1-4,36.4%,3-4,75.0%,1,3,4,1,0,3,0,12,6
@ Melilla Ciudad Del Deporte 1,12 oct 2022,P  95-69,18,4,3,26,3-5,2-5,50.0%,6-6,100.0%,0,4,4,3,0,4,0,18,16
vs Leyma Coruña,7 oct 2022,P  72-87,19,4,1,22,1-2,4-6,62.5%,5-6,83.3%,0,4,4,1,0,3,0,19,17
