PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Movistar Estudiantes,1 abr 2023,G  85-51,0,1,2,10,0-0,0-2,0.0%,0-0,-,0,1,1,2,0,0,0,0,1
vs Biele ISB,18 mar 2023,G  89-61,10,7,0,17,3-8,1-4,33.3%,1-1,100.0%,5,2,7,0,0,1,0,10,8
vs Albacete,5 feb 2023,G  83-70,0,4,2,8,0-0,0-3,0.0%,0-0,-,1,3,4,2,0,1,0,0,2
@ Grupo Alega Cantabria,1 feb 2023,G  62-80,0,1,0,5,0-0,0-0,-,0-0,-,0,1,1,0,0,0,0,0,1
vs Amics Castello,28 ene 2023,G  84-72,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ HLA Alicante,7 ene 2023,P  73-66,2,2,0,7,1-1,0-2,33.3%,0-0,-,1,1,2,0,0,0,0,2,2
@ Almansa Con Afanion,20 dic 2022,G  75-82,0,1,0,5,0-0,0-0,-,0-0,-,0,1,1,0,0,1,0,0,0
@ Melilla Ciudad Del Deporte 1,11 dic 2022,G  63-85,2,1,0,7,1-2,0-0,50.0%,0-0,-,0,1,1,0,0,0,0,2,2
vs Hiopos Lleida,25 nov 2022,G  90-75,1,0,0,7,0-0,0-1,0.0%,1-2,50.0%,0,0,0,0,0,0,0,1,-1
@ Biele ISB,20 nov 2022,G  70-97,15,4,0,23,1-2,4-7,55.6%,1-2,50.0%,1,3,4,0,1,2,0,15,13
vs San Pablo Burgos,5 nov 2022,G  88-82,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ Súper Agropal Palencia,28 oct 2022,P  72-63,0,1,0,5,0-0,0-0,-,0-0,-,0,1,1,0,0,1,0,0,0
vs Caceres,22 oct 2022,G  86-74,2,0,0,8,1-1,0-2,33.3%,0-0,-,0,0,0,0,0,0,0,2,0
@ Albacete,15 oct 2022,G  63-93,0,3,1,6,0-0,0-0,-,0-0,-,0,3,3,1,0,0,0,0,4
vs Grupo Alega Cantabria,12 oct 2022,G  88-47,5,0,0,16,1-1,1-2,66.7%,0-0,-,0,0,0,0,1,2,0,5,3
@ Amics Castello,7 oct 2022,G  73-81,5,3,1,9,0-0,0-1,0.0%,5-5,100.0%,0,3,3,1,0,0,1,5,9
