PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Gipuzkoa Basket,19 may 2023,G  62-79,4,3,7,28,1-5,0-2,14.3%,2-2,100.0%,0,3,3,7,2,2,0,4,8
vs Ourense,13 may 2023,G  95-61,11,3,4,22,4-5,1-3,62.5%,0-0,-,0,3,3,4,1,4,0,11,12
vs HLA Alicante,6 may 2023,G  74-59,2,5,4,20,1-6,0-1,14.3%,0-0,-,2,3,5,4,1,1,0,2,5
@ Alimerka Oviedo,29 abr 2023,G  63-79,6,4,3,15,0-2,1-2,25.0%,3-4,75.0%,0,4,4,3,0,5,0,6,4
vs Almansa Con Afanion,22 abr 2023,P  78-82,5,4,6,24,1-3,1-2,40.0%,0-0,-,1,3,4,6,1,2,0,5,11
@ Real Valladolid,15 abr 2023,G  74-81,7,6,4,17,1-1,1-3,50.0%,2-2,100.0%,1,5,6,4,0,0,0,7,15
vs Melilla Ciudad Del Deporte 1,9 abr 2023,G  92-82,12,3,4,18,1-1,3-7,50.0%,1-4,25.0%,1,2,3,4,1,2,0,12,11
@ Leyma Coruña,5 abr 2023,G  66-70,7,0,3,18,0-0,2-5,40.0%,1-2,50.0%,0,0,0,3,0,1,0,7,5
vs Movistar Estudiantes,1 abr 2023,G  85-51,10,2,3,14,2-3,2-5,50.0%,0-0,-,0,2,2,3,0,0,0,10,11
vs Súper Agropal Palencia,4 mar 2023,G  97-89,3,3,0,9,1-1,0-1,50.0%,1-2,50.0%,0,3,3,0,1,1,0,3,4
@ Caceres,17 feb 2023,G  70-82,9,6,9,27,2-2,1-3,60.0%,2-4,50.0%,0,6,6,9,3,4,0,9,19
vs Albacete,5 feb 2023,G  83-70,6,5,2,15,2-4,0-1,40.0%,2-2,100.0%,0,5,5,2,0,2,0,6,8
@ Grupo Alega Cantabria,1 feb 2023,G  62-80,9,4,4,20,3-7,1-3,40.0%,0-0,-,1,3,4,4,1,0,0,9,12
vs Amics Castello,28 ene 2023,G  84-72,7,3,6,24,2-3,0-3,33.3%,3-4,75.0%,0,3,3,6,2,0,0,7,13
vs Gipuzkoa Basket,20 ene 2023,G  72-67,11,2,4,24,3-9,1-2,36.4%,2-2,100.0%,0,2,2,4,0,2,0,11,8
@ Ourense,14 ene 2023,G  62-72,1,1,1,11,0-2,0-3,0.0%,1-2,50.0%,0,1,1,1,0,0,0,1,-3
@ HLA Alicante,7 ene 2023,P  73-66,12,2,5,26,2-4,1-5,33.3%,5-7,71.4%,0,2,2,5,3,1,0,12,13
vs Alimerka Oviedo,29 dic 2022,G  79-60,4,3,0,25,2-4,0-3,28.6%,0-0,-,0,3,3,0,1,2,0,4,1
@ Almansa Con Afanion,20 dic 2022,G  75-82,0,6,1,20,0-3,0-2,0.0%,0-0,-,1,5,6,1,0,0,0,0,2
vs Real Valladolid,17 dic 2022,G  94-70,10,3,2,26,2-6,2-4,40.0%,0-0,-,0,3,3,2,2,2,0,10,9
@ Melilla Ciudad Del Deporte 1,11 dic 2022,G  63-85,12,1,1,22,4-13,0-0,30.8%,4-4,100.0%,0,1,1,1,2,2,0,12,5
vs Leyma Coruña,7 dic 2022,G  77-70,14,2,4,23,7-7,0-2,77.8%,0-0,-,0,2,2,4,2,2,0,14,18
@ Movistar Estudiantes,4 dic 2022,G  72-79,18,3,1,24,6-15,1-2,41.2%,3-5,60.0%,1,2,3,1,1,2,0,18,9
vs Hiopos Lleida,25 nov 2022,G  90-75,8,2,9,24,4-6,0-1,57.1%,0-0,-,0,2,2,9,1,1,0,8,16
@ Biele ISB,20 nov 2022,G  70-97,11,3,8,25,2-2,2-4,66.7%,1-2,50.0%,1,2,3,8,2,0,0,11,21
vs San Pablo Burgos,5 nov 2022,G  88-82,8,2,7,27,1-5,2-6,27.3%,0-0,-,0,2,2,7,1,2,0,8,8
@ Súper Agropal Palencia,28 oct 2022,P  72-63,4,2,4,24,1-4,0-3,14.3%,2-2,100.0%,1,1,2,4,2,1,0,4,5
vs Caceres,22 oct 2022,G  86-74,10,0,1,17,1-4,2-4,37.5%,2-2,100.0%,0,0,0,1,0,2,0,10,4
@ Albacete,15 oct 2022,G  63-93,8,2,4,21,1-3,2-8,27.3%,0-0,-,0,2,2,4,0,1,1,8,6
vs Grupo Alega Cantabria,12 oct 2022,G  88-47,15,3,0,18,4-6,2-5,54.5%,1-3,33.3%,0,3,3,0,4,1,0,15,14
@ Amics Castello,7 oct 2022,G  73-81,5,1,3,24,2-2,0-3,40.0%,1-2,50.0%,0,1,1,3,1,3,0,5,3
