PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Sant Antoni,8 abr 2023,G  90-95,30,7,3,29,1-4,6-10,50.0%,10-13,76.9%,1,6,7,3,1,2,0,30,29
@ Levitec Huesca,25 mar 2023,G  97-101,10,2,3,29,3-5,1-4,44.4%,1-2,50.0%,0,2,2,3,0,2,0,10,7
vs Mollet,18 mar 2023,G  103-60,10,4,7,19,2-3,2-4,57.1%,0-0,-,1,3,4,7,0,1,0,10,17
@ L'Hospitalet,11 mar 2023,G  61-73,27,4,2,25,3-7,5-7,57.1%,6-7,85.7%,1,3,4,2,3,1,0,27,28
vs Fibwi Palma,4 mar 2023,G  87-66,24,4,6,30,2-6,6-14,40.0%,2-3,66.7%,1,3,4,6,1,1,0,24,21
@ Caceres,17 feb 2023,G  70-82,0,0,0,4,0-1,0-0,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
vs Albacete,5 feb 2023,G  83-70,0,3,0,8,0-0,0-2,0.0%,0-0,-,2,1,3,0,1,0,0,0,2
vs Amics Castello,28 ene 2023,G  84-72,0,0,0,1,0-0,0-1,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
vs Gipuzkoa Basket,20 ene 2023,G  72-67,0,0,0,4,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ HLA Alicante,7 ene 2023,P  73-66,0,0,0,3,0-0,0-1,0.0%,0-0,-,0,0,0,0,0,1,0,0,-2
@ Almansa Con Afanion,20 dic 2022,G  75-82,0,1,2,10,0-0,0-0,-,0-0,-,0,1,1,2,0,1,0,0,2
@ Melilla Ciudad Del Deporte 1,11 dic 2022,G  63-85,0,0,0,4,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Leyma Coruña,7 dic 2022,G  77-70,3,2,2,10,0-0,1-2,50.0%,0-2,0.0%,0,2,2,2,0,0,0,3,4
@ Movistar Estudiantes,4 dic 2022,G  72-79,0,0,0,2,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Hiopos Lleida,25 nov 2022,G  90-75,0,0,0,9,0-1,0-0,0.0%,0-0,-,0,0,0,0,0,1,0,0,-2
@ Biele ISB,20 nov 2022,G  70-97,0,1,1,13,0-0,0-0,-,0-0,-,0,1,1,1,0,0,0,0,2
vs Hottur,20 oct 2022,P  89-91,0,2,6,17,0-2,0-3,0.0%,0-0,-,2,0,2,6,2,2,0,0,3
@ Haukar,14 oct 2022,P  90-84,10,3,6,24,2-3,2-5,50.0%,0-2,0.0%,0,3,3,6,2,2,0,10,13
