PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Ourense,13 may 2023,G  95-61,2,0,0,2,1-1,0-0,100.0%,0-0,-,0,0,0,0,1,0,0,2,3
vs HLA Alicante,6 may 2023,G  74-59,6,8,7,22,3-8,0-4,25.0%,0-0,-,2,6,8,7,2,2,0,6,12
@ Alimerka Oviedo,29 abr 2023,G  63-79,5,7,6,26,2-2,0-2,50.0%,1-1,100.0%,0,7,7,6,4,4,0,5,16
vs Almansa Con Afanion,22 abr 2023,P  78-82,8,3,6,27,2-2,0-3,40.0%,4-6,66.7%,1,2,3,6,3,3,0,8,12
@ Real Valladolid,15 abr 2023,G  74-81,9,6,4,23,3-4,0-3,42.9%,3-4,75.0%,1,5,6,4,0,3,0,9,11
@ Leyma Coruña,5 abr 2023,G  66-70,12,8,3,31,5-5,0-2,71.4%,2-3,66.7%,0,8,8,3,2,1,0,12,21
vs Movistar Estudiantes,1 abr 2023,G  85-51,6,6,7,23,3-5,0-2,42.9%,0-0,-,1,5,6,7,2,7,0,6,10
@ Hiopos Lleida,24 mar 2023,P  88-80,9,8,10,30,2-5,1-2,42.9%,2-4,50.0%,1,7,8,10,2,2,0,9,21
vs Biele ISB,18 mar 2023,G  89-61,5,6,9,18,1-1,0-4,20.0%,3-4,75.0%,0,6,6,9,2,2,0,5,15
@ San Pablo Burgos,11 mar 2023,G  73-95,7,5,9,22,3-3,0-0,100.0%,1-1,100.0%,0,5,5,9,3,4,0,7,20
vs Súper Agropal Palencia,4 mar 2023,G  97-89,9,11,9,27,1-4,1-3,28.6%,4-4,100.0%,2,9,11,9,0,3,0,9,21
vs Albacete,5 feb 2023,G  83-70,5,3,6,26,1-3,1-1,50.0%,0-0,-,1,2,3,6,1,4,0,5,9
@ Grupo Alega Cantabria,1 feb 2023,G  62-80,3,6,7,23,1-6,0-2,12.5%,1-2,50.0%,1,5,6,7,0,3,1,3,6
vs Amics Castello,28 ene 2023,G  84-72,5,4,7,18,1-1,1-2,66.7%,0-0,-,0,4,4,7,2,1,0,5,16
vs Gipuzkoa Basket,20 ene 2023,G  72-67,14,8,3,28,3-6,2-4,50.0%,2-2,100.0%,3,5,8,3,2,3,0,14,19
@ Ourense,14 ene 2023,G  62-72,17,6,7,29,7-7,1-4,72.7%,0-1,0.0%,0,6,6,7,0,2,0,17,24
@ HLA Alicante,7 ene 2023,P  73-66,10,5,4,25,5-8,0-3,45.5%,0-0,-,0,5,5,4,0,2,1,10,12
vs Alimerka Oviedo,29 dic 2022,G  79-60,14,5,11,25,5-9,0-0,55.6%,4-4,100.0%,1,4,5,11,2,2,0,14,26
@ Almansa Con Afanion,20 dic 2022,G  75-82,9,2,11,25,2-2,1-1,100.0%,2-2,100.0%,0,2,2,11,2,3,0,9,21
vs Real Valladolid,17 dic 2022,G  94-70,2,2,5,20,1-2,0-1,33.3%,0-0,-,0,2,2,5,2,3,0,2,6
@ Melilla Ciudad Del Deporte 1,11 dic 2022,G  63-85,13,4,7,21,4-7,1-1,62.5%,2-2,100.0%,0,4,4,7,2,2,0,13,21
vs Leyma Coruña,7 dic 2022,G  77-70,3,4,2,25,1-2,0-2,25.0%,1-2,50.0%,0,4,4,2,0,0,0,3,5
@ Movistar Estudiantes,4 dic 2022,G  72-79,4,5,6,19,0-4,1-1,20.0%,1-2,50.0%,0,5,5,6,0,1,0,4,9
vs Caceres,22 oct 2022,G  86-74,4,2,1,15,1-2,0-1,33.3%,2-2,100.0%,1,1,2,1,1,0,0,4,6
@ Albacete,15 oct 2022,G  63-93,1,5,6,19,0-1,0-0,0.0%,1-2,50.0%,1,4,5,6,1,2,0,1,9
vs Grupo Alega Cantabria,12 oct 2022,G  88-47,2,1,3,14,1-1,0-0,100.0%,0-0,-,0,1,1,3,1,1,0,2,6
@ Amics Castello,7 oct 2022,G  73-81,5,8,5,26,1-1,1-2,66.7%,0-0,-,0,8,8,5,1,4,0,5,14
