PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Biele ISB,19 may 2023,G  63-82,10,0,1,18,2-7,2-4,36.4%,0-0,-,0,0,0,1,0,0,0,10,4
vs San Pablo Burgos,14 may 2023,G  104-96,17,4,1,29,6-9,0-2,54.5%,5-7,71.4%,2,2,4,1,1,3,0,17,13
@ Súper Agropal Palencia,5 may 2023,P  74-66,14,2,1,22,4-5,1-6,45.5%,3-4,75.0%,0,2,2,1,1,0,0,14,11
vs Caceres,30 abr 2023,G  90-78,15,2,1,22,4-7,1-4,45.5%,4-4,100.0%,1,1,2,1,0,0,0,15,12
@ Albacete,22 abr 2023,P  100-95,3,2,4,19,0-2,1-3,20.0%,0-0,-,0,2,2,4,0,0,0,3,5
vs Grupo Alega Cantabria,16 abr 2023,G  80-54,12,3,0,21,4-7,1-4,45.5%,1-1,100.0%,1,2,3,0,3,0,0,12,12
@ Amics Castello,9 abr 2023,P  87-86,13,5,3,23,3-4,2-6,50.0%,1-3,33.3%,1,4,5,3,1,1,0,13,14
vs Gipuzkoa Basket,5 abr 2023,G  79-56,14,2,3,19,4-6,2-7,46.2%,0-1,0.0%,0,2,2,3,0,2,0,14,9
@ MoraBanc Andorra,1 abr 2023,P  85-51,5,2,0,17,1-4,1-5,22.2%,0-0,-,1,1,2,0,0,2,0,5,-2
vs HLA Alicante,26 mar 2023,G  70-65,20,6,2,28,2-4,2-4,50.0%,10-11,90.9%,1,5,6,2,1,1,0,20,23
@ Alimerka Oviedo,18 mar 2023,P  68-66,16,2,1,25,2-5,3-7,41.7%,3-3,100.0%,0,2,2,1,1,1,0,16,12
vs Almansa Con Afanion,12 mar 2023,P  75-78,9,5,2,20,4-4,0-3,57.1%,1-1,100.0%,0,5,5,2,0,1,0,9,12
@ Real Valladolid,5 mar 2023,P  81-75,5,2,0,22,1-4,0-4,12.5%,3-5,60.0%,0,2,2,0,0,1,0,5,-3
@ Leyma Coruña,5 feb 2023,P  74-66,12,3,0,30,4-9,0-4,30.8%,4-4,100.0%,0,3,3,0,0,1,0,12,5
@ Ourense,1 feb 2023,G  76-86,16,4,5,26,2-5,4-6,54.5%,0-0,-,0,4,4,5,0,2,0,16,18
vs Hiopos Lleida,29 ene 2023,G  94-75,17,3,3,28,6-9,1-5,50.0%,2-3,66.7%,0,3,3,3,0,2,0,17,13
vs Biele ISB,20 ene 2023,G  75-55,10,0,2,17,5-9,0-2,45.5%,0-0,-,0,0,0,2,0,1,0,10,5
@ San Pablo Burgos,14 ene 2023,G  78-86,20,2,4,22,5-6,3-8,57.1%,1-1,100.0%,0,2,2,4,1,1,0,20,20
vs Súper Agropal Palencia,8 ene 2023,P  73-83,6,3,1,24,2-8,0-3,18.2%,2-3,66.7%,1,2,3,1,0,0,0,6,0
@ Caceres,27 dic 2022,G  62-70,23,3,3,31,5-10,3-5,53.3%,4-4,100.0%,0,3,3,3,0,0,0,23,22
vs Albacete,20 dic 2022,G  68-63,5,5,0,19,2-6,0-5,18.2%,1-2,50.0%,1,4,5,0,0,0,0,5,0
@ Grupo Alega Cantabria,17 dic 2022,G  76-82,12,3,1,22,2-4,2-6,40.0%,2-2,100.0%,0,3,3,1,1,2,0,12,9
vs Amics Castello,11 dic 2022,G  77-52,11,1,1,17,2-4,2-4,50.0%,1-2,50.0%,0,1,1,1,1,1,0,11,8
@ Gipuzkoa Basket,7 dic 2022,G  64-68,14,2,3,32,5-11,1-5,37.5%,1-2,50.0%,1,1,2,3,4,1,0,14,11
vs MoraBanc Andorra,4 dic 2022,P  72-79,20,7,1,27,3-10,4-7,41.2%,2-2,100.0%,2,5,7,1,0,4,0,20,14
@ HLA Alicante,25 nov 2022,P  89-85,6,2,3,19,1-3,0-4,14.3%,4-4,100.0%,0,2,2,3,0,1,0,6,4
vs Alimerka Oviedo,20 nov 2022,G  90-60,10,4,2,20,3-5,1-3,50.0%,1-1,100.0%,0,4,4,2,1,0,0,10,13
@ Almansa Con Afanion,5 nov 2022,G  70-75,13,5,2,24,3-6,2-3,55.6%,1-1,100.0%,0,5,5,2,1,2,1,13,16
vs Real Valladolid,30 oct 2022,G  81-70,16,4,1,21,4-7,2-6,46.2%,2-3,66.7%,1,3,4,1,0,1,0,16,12
@ Melilla Ciudad Del Deporte 1,23 oct 2022,G  79-97,16,1,0,20,5-6,2-4,70.0%,0-0,-,1,0,1,0,0,0,0,16,14
vs Leyma Coruña,16 oct 2022,G  81-73,7,1,1,12,2-4,1-4,37.5%,0-0,-,0,1,1,1,0,2,0,7,2
vs Ourense,11 oct 2022,G  104-86,13,2,3,18,4-5,1-4,55.6%,2-2,100.0%,0,2,2,3,2,0,0,13,16
@ Hiopos Lleida,7 oct 2022,P  96-66,2,0,1,16,1-6,0-2,12.5%,0-0,-,0,0,0,1,0,0,0,2,-4
