PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Grupo Alega Cantabria,19 may 2023,G  76-90,12,4,4,26,4-6,1-4,50.0%,1-1,100.0%,0,4,4,4,3,1,1,12,18
vs Amics Castello,13 may 2023,G  83-66,15,6,4,22,4-8,1-5,38.5%,4-5,80.0%,1,5,6,4,2,1,0,15,17
@ Gipuzkoa Basket,7 may 2023,P  64-63,10,1,0,21,4-7,0-1,50.0%,2-2,100.0%,0,1,1,0,0,1,1,10,7
vs MoraBanc Andorra,29 abr 2023,P  63-79,7,1,3,27,3-6,0-4,30.0%,1-2,50.0%,0,1,1,3,0,3,0,7,0
@ HLA Alicante,21 abr 2023,P  78-69,10,4,4,24,1-4,2-4,37.5%,2-3,66.7%,1,3,4,4,2,0,0,10,14
@ Ourense,15 abr 2023,G  62-67,7,6,1,27,2-2,1-6,37.5%,0-0,-,2,4,6,1,1,1,1,7,10
vs Almansa Con Afanion,9 abr 2023,G  98-88,14,4,6,35,2-4,2-4,50.0%,4-5,80.0%,0,4,4,6,0,1,0,14,18
@ Real Valladolid,5 abr 2023,P  89-72,7,3,3,29,0-3,1-6,11.1%,4-4,100.0%,1,2,3,3,1,0,0,7,6
vs Melilla Ciudad Del Deporte 1,1 abr 2023,P  69-78,17,5,1,25,2-4,4-10,42.9%,1-2,50.0%,3,2,5,1,1,2,0,17,13
@ Leyma Coruña,24 mar 2023,P  87-62,13,1,3,26,2-7,3-6,38.5%,0-0,-,0,1,1,3,4,2,0,13,11
vs Movistar Estudiantes,18 mar 2023,G  68-66,13,3,2,31,4-8,1-4,41.7%,2-2,100.0%,1,2,3,2,1,4,0,13,8
@ Hiopos Lleida,10 mar 2023,P  76-65,3,5,2,28,0-6,1-3,11.1%,0-1,0.0%,0,5,5,2,0,2,0,3,-1
vs Biele ISB,5 mar 2023,G  84-78,17,3,2,27,4-4,3-5,77.8%,0-0,-,1,2,3,2,0,2,0,17,18
@ San Pablo Burgos,18 feb 2023,P  89-64,17,4,3,32,3-4,3-5,66.7%,2-3,66.7%,2,2,4,3,0,6,0,17,14
vs Súper Agropal Palencia,4 feb 2023,P  56-67,17,0,1,26,4-6,3-10,43.8%,0-0,-,0,0,0,1,1,1,0,17,9
@ Caceres,1 feb 2023,P  70-68,14,1,3,32,2-4,2-7,36.4%,4-6,66.7%,0,1,1,3,2,1,0,14,10
vs Albacete,27 ene 2023,G  63-57,2,0,2,20,1-3,0-3,16.7%,0-0,-,0,0,0,2,1,0,0,2,0
vs Grupo Alega Cantabria,21 ene 2023,P  62-69,5,2,2,12,1-2,1-2,50.0%,0-0,-,1,1,2,2,1,2,0,5,6
@ Amics Castello,13 ene 2023,P  75-71,2,5,2,26,1-5,0-5,10.0%,0-2,0.0%,1,4,5,2,1,3,1,2,-3
vs Gipuzkoa Basket,7 ene 2023,P  71-86,13,0,1,19,2-8,2-4,33.3%,3-3,100.0%,0,0,0,1,0,3,0,13,3
@ MoraBanc Andorra,29 dic 2022,P  79-60,16,2,4,29,5-8,2-6,50.0%,0-0,-,0,2,2,4,3,1,0,16,17
vs HLA Alicante,22 dic 2022,P  68-69,15,8,2,30,2-6,3-5,45.5%,2-3,66.7%,2,6,8,2,0,1,0,15,17
vs Ourense,17 dic 2022,G  75-58,16,4,3,29,5-7,2-6,53.8%,0-2,0.0%,1,3,4,3,1,3,0,16,13
@ Almansa Con Afanion,10 dic 2022,G  94-101,20,4,4,38,6-8,2-9,47.1%,2-2,100.0%,1,3,4,4,0,3,1,20,17
vs Real Valladolid,6 dic 2022,P  64-81,7,3,5,31,2-4,0-4,25.0%,3-4,75.0%,1,2,3,5,2,2,0,7,8
@ Melilla Ciudad Del Deporte 1,2 dic 2022,G  67-70,14,2,1,31,7-13,0-1,50.0%,0-0,-,2,0,2,1,5,3,0,14,12
vs Leyma Coruña,27 nov 2022,G  93-83,16,1,1,13,3-4,2-5,55.6%,4-4,100.0%,0,1,1,1,0,1,0,16,13
@ Movistar Estudiantes,20 nov 2022,P  90-60,17,4,2,30,3-4,1-5,44.4%,8-8,100.0%,1,3,4,2,3,3,0,17,18
vs Hiopos Lleida,5 nov 2022,P  68-84,6,2,2,18,3-6,0-5,27.3%,0-0,-,1,1,2,2,2,0,0,6,4
