PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Melilla Ciudad Del Deporte 1,19 may 2023,G  115-86,15,1,3,21,6-9,1-2,63.6%,0-0,-,1,0,1,3,1,2,1,15,15
@ Leyma Coruña,14 may 2023,P  81-69,9,1,4,24,1-2,1-6,25.0%,4-6,66.7%,0,1,1,4,0,2,1,9,5
vs Movistar Estudiantes,5 may 2023,G  74-66,3,2,1,19,0-1,1-1,50.0%,0-0,-,0,2,2,1,0,1,0,3,4
@ Hiopos Lleida,28 abr 2023,P  88-81,10,1,4,15,1-2,2-3,60.0%,2-2,100.0%,0,1,1,4,0,0,0,10,13
vs Biele ISB,21 abr 2023,G  103-63,7,1,5,26,2-2,1-2,75.0%,0-0,-,0,1,1,5,2,3,0,7,11
@ San Pablo Burgos,15 abr 2023,P  89-65,5,0,5,29,1-4,1-3,28.6%,0-0,-,0,0,0,5,0,4,0,5,1
vs Ourense,9 abr 2023,G  86-80,10,1,0,17,2-3,2-3,66.7%,0-0,-,0,1,1,0,2,1,0,10,10
vs Caceres,5 abr 2023,G  76-61,9,1,3,22,3-4,1-4,50.0%,0-0,-,1,0,1,3,1,2,0,9,8
@ Albacete,31 mar 2023,G  80-88,8,3,0,24,0-1,1-3,25.0%,5-7,71.4%,1,2,3,0,0,1,0,8,5
vs Grupo Alega Cantabria,24 mar 2023,G  94-72,7,0,2,14,2-3,0-2,40.0%,3-3,100.0%,0,0,0,2,2,0,0,7,8
@ Amics Castello,17 mar 2023,P  85-80,1,0,3,12,0-1,0-1,0.0%,1-2,50.0%,0,0,0,3,0,0,0,1,1
vs Gipuzkoa Basket,10 mar 2023,G  85-74,12,2,5,26,3-4,2-5,55.6%,0-0,-,1,1,2,5,1,1,0,12,15
@ MoraBanc Andorra,4 mar 2023,P  97-89,5,1,3,17,1-2,0-1,33.3%,3-4,75.0%,0,1,1,3,1,1,0,5,6
vs HLA Alicante,17 feb 2023,G  87-79,5,1,3,20,1-1,1-3,50.0%,0-0,-,0,1,1,3,3,1,0,5,9
@ Alimerka Oviedo,4 feb 2023,G  56-67,11,2,0,19,4-4,0-2,66.7%,3-4,75.0%,0,2,2,0,0,0,0,11,10
vs Almansa Con Afanion,1 feb 2023,G  84-60,10,6,4,25,1-3,2-5,37.5%,2-2,100.0%,3,3,6,4,3,2,0,10,16
@ Real Valladolid,28 ene 2023,P  76-70,4,1,0,8,2-3,0-1,50.0%,0-0,-,1,0,1,0,0,1,0,4,2
@ Melilla Ciudad Del Deporte 1,20 ene 2023,G  78-89,8,3,1,16,2-2,1-2,75.0%,1-2,50.0%,1,2,3,1,2,3,0,8,9
vs Leyma Coruña,13 ene 2023,G  89-82,3,2,4,15,0-0,0-3,0.0%,3-4,75.0%,1,1,2,4,0,2,0,3,3
@ Movistar Estudiantes,8 ene 2023,G  73-83,4,4,3,15,1-4,0-2,16.7%,2-2,100.0%,1,3,4,3,1,1,0,4,6
vs Hiopos Lleida,30 dic 2022,G  85-71,4,2,1,12,2-3,0-2,40.0%,0-0,-,0,2,2,1,2,3,0,4,3
@ Biele ISB,20 dic 2022,G  84-87,12,3,3,20,3-6,2-5,45.5%,0-0,-,1,2,3,3,1,2,0,12,11
vs San Pablo Burgos,16 dic 2022,G  84-69,0,5,3,13,0-0,0-1,0.0%,0-0,-,0,5,5,3,0,0,0,0,7
@ Ourense,11 dic 2022,G  66-82,7,6,3,22,1-4,1-4,25.0%,2-2,100.0%,3,3,6,3,0,2,0,7,8
@ Caceres,7 dic 2022,G  67-78,9,1,1,19,2-4,0-0,50.0%,5-5,100.0%,0,1,1,1,1,3,0,9,7
vs Albacete,2 dic 2022,G  101-81,19,1,10,29,5-6,3-3,88.9%,0-0,-,0,1,1,10,1,1,0,19,29
@ Grupo Alega Cantabria,26 nov 2022,G  67-77,6,0,5,27,2-5,0-1,33.3%,2-3,66.7%,0,0,0,5,1,4,0,6,3
vs Amics Castello,18 nov 2022,G  77-63,6,4,3,23,0-0,2-5,40.0%,0-0,-,0,4,4,3,1,2,0,6,9
@ Gipuzkoa Basket,6 nov 2022,P  75-66,4,7,0,19,1-3,0-1,25.0%,2-2,100.0%,1,6,7,0,0,0,0,4,8
vs MoraBanc Andorra,28 oct 2022,G  72-63,7,4,1,18,1-8,1-3,18.2%,2-2,100.0%,1,3,4,1,0,0,0,7,3
@ HLA Alicante,21 oct 2022,G  54-82,6,4,3,20,1-3,1-5,25.0%,1-4,25.0%,0,4,4,3,2,3,0,6,3
vs Alimerka Oviedo,16 oct 2022,G  88-63,2,3,5,18,1-1,0-7,12.5%,0-0,-,1,2,3,5,2,2,1,2,4
@ Almansa Con Afanion,12 oct 2022,G  74-89,16,1,4,17,3-6,2-2,62.5%,4-4,100.0%,0,1,1,4,1,1,0,16,18
vs Real Valladolid,7 oct 2022,G  75-65,0,1,2,12,0-2,0-1,0.0%,0-0,-,1,0,1,2,0,1,0,0,-1
