PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Caceres,19 may 2023,G  81-87,20,3,4,31,6-11,0-1,50.0%,8-8,100.0%,1,2,3,4,1,0,0,20,22
vs Albacete,12 may 2023,G  83-70,10,2,7,23,4-4,0-1,80.0%,2-2,100.0%,0,2,2,7,1,1,0,10,18
@ Grupo Alega Cantabria,6 may 2023,P  72-71,7,3,3,24,2-4,1-3,42.9%,0-2,0.0%,0,3,3,3,0,0,0,7,7
vs Amics Castello,29 abr 2023,G  92-82,12,3,8,22,2-5,1-2,42.9%,5-5,100.0%,0,3,3,8,2,1,0,12,20
@ Gipuzkoa Basket,23 abr 2023,G  82-94,20,5,4,26,4-5,4-6,72.7%,0-0,-,0,5,5,4,1,2,0,20,25
vs MoraBanc Andorra,15 abr 2023,P  74-81,6,4,2,10,1-4,1-4,25.0%,1-2,50.0%,0,4,4,2,1,1,0,6,5
vs Alimerka Oviedo,5 abr 2023,G  89-72,4,0,0,3,2-2,0-0,100.0%,0-0,-,0,0,0,0,0,0,0,4,4
@ Almansa Con Afanion,1 abr 2023,P  76-60,1,1,2,18,0-0,0-1,0.0%,1-2,50.0%,0,1,1,2,1,2,0,1,1
@ Ourense,25 mar 2023,P  82-72,3,5,3,20,0-1,0-1,0.0%,3-3,100.0%,1,4,5,3,0,2,0,3,7
vs Melilla Ciudad Del Deporte 1,18 mar 2023,G  85-66,19,2,3,24,5-10,1-2,50.0%,6-7,85.7%,0,2,2,3,3,1,0,19,19
@ Leyma Coruña,10 mar 2023,P  102-71,13,0,1,19,3-5,1-3,50.0%,4-4,100.0%,0,0,0,1,0,0,0,13,10
vs Movistar Estudiantes,5 mar 2023,G  81-75,9,2,1,14,3-6,0-1,42.9%,3-4,75.0%,0,2,2,1,0,1,0,9,6
@ Hiopos Lleida,17 feb 2023,P  85-77,17,4,4,30,5-10,1-1,54.5%,4-5,80.0%,1,3,4,4,2,4,0,17,17
vs Biele ISB,5 feb 2023,G  80-61,4,1,4,19,2-3,0-2,40.0%,0-0,-,0,1,1,4,2,0,0,4,8
@ San Pablo Burgos,1 feb 2023,P  77-58,2,1,1,9,1-3,0-1,25.0%,0-0,-,0,1,1,1,0,1,0,2,0
vs Súper Agropal Palencia,28 ene 2023,G  76-70,10,2,2,17,0-3,2-6,22.2%,4-4,100.0%,1,1,2,2,0,2,0,10,5
vs Caceres,21 ene 2023,G  90-86,2,1,1,11,1-3,0-1,25.0%,0-0,-,0,1,1,1,0,2,0,2,-1
@ Albacete,14 ene 2023,G  61-68,4,5,1,23,2-6,0-2,25.0%,0-0,-,0,5,5,1,0,2,0,4,2
vs Grupo Alega Cantabria,7 ene 2023,G  67-60,4,1,1,15,2-5,0-2,28.6%,0-1,0.0%,0,1,1,1,0,0,0,4,0
@ Amics Castello,27 dic 2022,P  80-77,19,4,3,28,6-8,2-3,72.7%,1-3,33.3%,0,4,4,3,1,2,0,19,20
vs Gipuzkoa Basket,21 dic 2022,G  79-64,21,2,0,27,4-6,3-5,63.6%,4-4,100.0%,0,2,2,0,3,1,0,21,21
@ MoraBanc Andorra,17 dic 2022,P  94-70,0,2,3,19,0-3,0-4,0.0%,0-0,-,0,2,2,3,0,2,0,0,-4
vs HLA Alicante,10 dic 2022,G  68-52,8,2,0,22,3-8,0-3,27.3%,2-2,100.0%,0,2,2,0,1,0,0,8,3
@ Alimerka Oviedo,6 dic 2022,G  64-81,2,3,6,25,1-3,0-1,25.0%,0-0,-,0,3,3,6,0,1,0,2,7
vs Almansa Con Afanion,3 dic 2022,G  77-75,10,2,2,17,2-3,1-1,75.0%,3-4,75.0%,1,1,2,2,2,1,0,10,13
vs Ourense,26 nov 2022,G  86-76,8,3,2,18,1-1,2-2,100.0%,0-0,-,1,2,3,2,1,2,0,8,12
@ Melilla Ciudad Del Deporte 1,20 nov 2022,P  80-75,12,0,1,20,3-6,2-6,41.7%,0-0,-,0,0,0,1,0,1,0,12,5
vs Leyma Coruña,5 nov 2022,G  73-64,4,2,1,22,0-2,1-4,16.7%,1-1,100.0%,0,2,2,1,0,1,0,4,1
@ Movistar Estudiantes,30 oct 2022,P  81-70,16,4,3,23,3-6,1-4,40.0%,7-7,100.0%,1,3,4,3,1,2,0,16,16
vs Hiopos Lleida,22 oct 2022,G  97-57,15,0,4,17,3-4,3-6,60.0%,0-0,-,0,0,0,4,0,2,0,15,13
@ Biele ISB,16 oct 2022,G  68-78,13,1,2,16,2-3,1-1,75.0%,6-7,85.7%,0,1,1,2,0,0,0,13,14
vs San Pablo Burgos,11 oct 2022,G  75-61,8,4,2,22,3-5,0-5,30.0%,2-2,100.0%,1,3,4,2,1,1,0,8,7
@ Súper Agropal Palencia,7 oct 2022,P  75-65,7,2,3,18,2-4,1-3,42.9%,0-0,-,0,2,2,3,0,1,0,7,7
