PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Leyma Coruña,19 may 2023,G  86-80,17,2,1,21,2-4,2-4,50.0%,7-8,87.5%,0,2,2,1,0,0,0,17,15
@ Movistar Estudiantes,14 may 2023,P  104-96,16,3,0,29,3-7,2-6,38.5%,4-8,50.0%,1,2,3,0,4,0,0,16,11
vs Hiopos Lleida,5 may 2023,G  90-78,15,5,3,24,2-3,2-5,50.0%,5-7,71.4%,0,5,5,3,3,4,0,15,16
@ Biele ISB,30 abr 2023,G  76-88,17,4,1,21,6-7,0-1,75.0%,5-7,71.4%,1,3,4,1,0,0,0,17,18
vs Ourense,22 abr 2023,G  96-49,13,4,3,23,5-6,1-3,66.7%,0-0,-,0,4,4,3,1,1,0,13,17
vs Súper Agropal Palencia,15 abr 2023,G  89-65,7,4,3,27,0-5,2-2,28.6%,1-2,50.0%,1,3,4,3,1,0,0,7,9
@ Caceres,9 abr 2023,G  87-95,9,6,0,21,1-5,1-3,25.0%,4-4,100.0%,2,4,6,0,0,0,0,9,9
vs Albacete,5 abr 2023,P  81-91,13,1,0,23,6-8,0-1,66.7%,1-2,50.0%,0,1,1,0,2,1,0,13,11
@ Grupo Alega Cantabria,2 abr 2023,G  61-102,16,2,0,18,4-4,2-3,85.7%,2-4,50.0%,0,2,2,0,2,0,1,16,18
vs Amics Castello,25 mar 2023,G  98-48,24,4,3,20,6-8,3-6,64.3%,3-3,100.0%,2,2,4,3,1,0,0,24,27
@ Gipuzkoa Basket,19 mar 2023,P  84-79,7,6,2,26,2-5,1-4,33.3%,0-0,-,4,2,6,2,1,1,0,7,9
vs MoraBanc Andorra,11 mar 2023,P  73-95,18,4,0,25,4-9,2-4,46.2%,4-4,100.0%,3,1,4,0,3,1,0,18,17
@ HLA Alicante,5 mar 2023,G  69-90,11,0,0,20,3-4,1-2,66.7%,2-2,100.0%,0,0,0,0,1,2,0,11,8
vs Alimerka Oviedo,18 feb 2023,G  89-64,11,1,2,28,3-6,1-6,33.3%,2-4,50.0%,0,1,1,2,1,2,0,11,3
@ Almansa Con Afanion,4 feb 2023,G  66-75,20,4,0,23,4-6,2-3,66.7%,6-7,85.7%,0,4,4,0,0,1,0,20,19
vs Real Valladolid,1 feb 2023,G  77-58,11,3,2,23,4-6,0-1,57.1%,3-4,75.0%,3,0,3,2,2,1,1,11,14
@ Melilla Ciudad Del Deporte 1,27 ene 2023,G  67-88,14,3,3,20,4-6,1-2,62.5%,3-3,100.0%,0,3,3,3,0,3,1,14,15
vs Movistar Estudiantes,14 ene 2023,P  78-86,1,0,0,3,0-0,0-0,-,1-2,50.0%,0,0,0,0,0,0,0,1,0
@ Hiopos Lleida,8 ene 2023,P  85-79,0,2,0,6,0-0,0-2,0.0%,0-0,-,1,1,2,0,0,1,0,0,-1
vs Biele ISB,29 dic 2022,G  85-59,5,2,0,10,2-3,0-1,50.0%,1-4,25.0%,1,1,2,0,0,0,1,5,3
@ Ourense,20 dic 2022,P  95-91,4,0,1,10,2-4,0-1,40.0%,0-1,0.0%,0,0,0,1,0,1,0,4,0
@ Súper Agropal Palencia,16 dic 2022,P  84-69,2,0,0,12,1-1,0-2,33.3%,0-2,0.0%,0,0,0,0,0,0,0,2,-2
vs Caceres,10 dic 2022,G  73-63,4,1,0,8,1-2,0-2,25.0%,2-2,100.0%,0,1,1,0,2,0,0,4,4
@ Albacete,6 dic 2022,G  82-91,6,0,0,14,3-3,0-1,75.0%,0-0,-,0,0,0,0,0,0,0,6,5
vs Grupo Alega Cantabria,3 dic 2022,G  89-62,12,4,1,22,4-5,0-3,50.0%,4-6,66.7%,1,3,4,1,1,0,0,12,12
@ Amics Castello,25 nov 2022,G  65-67,0,0,0,3,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Gipuzkoa Basket,20 nov 2022,G  83-74,0,0,0,8,0-1,0-1,0.0%,0-0,-,0,0,0,0,0,0,0,0,-2
@ MoraBanc Andorra,5 nov 2022,P  88-82,7,4,2,17,3-6,0-1,42.9%,1-1,100.0%,0,4,4,2,0,1,0,7,8
vs HLA Alicante,29 oct 2022,P  98-101,10,2,2,14,2-3,2-3,66.7%,0-0,-,0,2,2,2,0,1,0,10,11
@ Alimerka Oviedo,22 oct 2022,G  59-70,5,1,0,17,2-9,0-2,18.2%,1-2,50.0%,0,1,1,0,1,2,0,5,-5
vs Almansa Con Afanion,15 oct 2022,G  86-72,9,0,2,22,4-4,0-3,57.1%,1-2,50.0%,0,0,0,2,1,0,0,9,8
@ Real Valladolid,11 oct 2022,P  75-61,16,3,2,19,3-4,1-3,57.1%,7-7,100.0%,0,3,3,2,1,2,0,16,17
vs Melilla Ciudad Del Deporte 1,8 oct 2022,G  74-70,0,2,1,4,0-0,0-1,0.0%,0-0,-,0,2,2,1,0,0,0,0,2
