PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Leyma Coruña,19 may 2023,G  86-80,10,2,0,18,2-2,1-2,75.0%,3-5,60.0%,0,2,2,0,0,0,0,10,9
@ Movistar Estudiantes,14 may 2023,P  104-96,17,7,0,26,2-3,4-5,75.0%,1-1,100.0%,3,4,7,0,1,0,0,17,23
vs Hiopos Lleida,5 may 2023,G  90-78,11,1,2,14,3-3,1-2,80.0%,2-2,100.0%,0,1,1,2,1,2,0,11,12
@ Biele ISB,30 abr 2023,G  76-88,3,3,1,19,0-2,1-4,16.7%,0-0,-,0,3,3,1,0,0,0,3,2
vs Ourense,22 abr 2023,G  96-49,5,5,1,17,1-2,0-4,16.7%,3-4,75.0%,2,3,5,1,0,1,0,5,4
vs Súper Agropal Palencia,15 abr 2023,G  89-65,5,3,0,17,1-2,1-4,33.3%,0-0,-,0,3,3,0,2,0,0,5,6
@ Gipuzkoa Basket,19 mar 2023,P  84-79,3,3,3,24,0-0,1-4,25.0%,0-0,-,0,3,3,3,0,0,0,3,6
vs MoraBanc Andorra,11 mar 2023,P  73-95,10,1,2,25,1-1,2-4,60.0%,2-2,100.0%,0,1,1,2,0,1,0,10,10
@ HLA Alicante,5 mar 2023,G  69-90,7,1,0,18,0-0,2-4,50.0%,1-2,50.0%,0,1,1,0,3,1,0,7,7
vs Alimerka Oviedo,18 feb 2023,G  89-64,16,3,0,26,2-3,4-7,60.0%,0-0,-,0,3,3,0,1,0,0,16,16
@ Almansa Con Afanion,4 feb 2023,G  66-75,10,4,1,24,1-4,2-3,42.9%,2-3,66.7%,2,2,4,1,0,1,0,10,9
vs Real Valladolid,1 feb 2023,G  77-58,3,2,1,20,0-1,1-1,50.0%,0-0,-,0,2,2,1,1,1,0,3,5
@ Melilla Ciudad Del Deporte 1,27 ene 2023,G  67-88,11,2,0,18,1-2,3-4,66.7%,0-0,-,1,1,2,0,2,1,1,11,13
@ Leyma Coruña,20 ene 2023,P  95-81,12,2,2,26,0-0,4-9,44.4%,0-0,-,2,0,2,2,1,2,0,12,10
vs Movistar Estudiantes,14 ene 2023,P  78-86,2,2,1,16,1-2,0-3,20.0%,0-0,-,2,0,2,1,0,0,0,2,1
@ Hiopos Lleida,8 ene 2023,P  85-79,18,7,3,33,1-4,5-9,46.2%,1-2,50.0%,2,5,7,3,1,1,0,18,20
vs Biele ISB,29 dic 2022,G  85-59,2,2,2,18,1-1,0-3,25.0%,0-0,-,0,2,2,2,1,1,0,2,3
@ Ourense,20 dic 2022,P  95-91,5,4,1,27,0-2,1-4,16.7%,2-2,100.0%,1,3,4,1,1,0,0,5,6
@ Súper Agropal Palencia,16 dic 2022,P  84-69,0,4,1,25,0-0,0-2,0.0%,0-0,-,0,4,4,1,1,2,0,0,2
vs Caceres,10 dic 2022,G  73-63,0,2,1,12,0-0,0-2,0.0%,0-2,0.0%,1,1,2,1,2,0,0,0,1
@ Albacete,6 dic 2022,G  82-91,9,5,1,30,1-2,2-4,50.0%,1-1,100.0%,1,4,5,1,1,1,0,9,12
vs Grupo Alega Cantabria,3 dic 2022,G  89-62,10,6,1,22,2-4,2-5,44.4%,0-0,-,4,2,6,1,2,0,0,10,14
@ Amics Castello,25 nov 2022,G  65-67,0,2,0,7,0-0,0-1,0.0%,0-0,-,0,2,2,0,0,0,0,0,1
vs Gipuzkoa Basket,20 nov 2022,G  83-74,3,0,0,5,0-0,1-2,50.0%,0-0,-,0,0,0,0,0,0,0,3,2
@ MoraBanc Andorra,5 nov 2022,P  88-82,6,2,0,17,1-3,1-2,40.0%,1-1,100.0%,1,1,2,0,0,0,0,6,5
vs HLA Alicante,29 oct 2022,P  98-101,6,8,0,35,3-4,0-4,37.5%,0-0,-,1,7,8,0,1,0,0,6,10
@ Alimerka Oviedo,22 oct 2022,G  59-70,10,1,1,24,1-2,2-4,50.0%,2-2,100.0%,1,0,1,1,0,1,0,10,8
vs Almansa Con Afanion,15 oct 2022,G  86-72,2,1,2,15,0-1,0-3,0.0%,2-2,100.0%,0,1,1,2,0,0,0,2,1
@ Real Valladolid,11 oct 2022,P  75-61,10,0,0,15,2-3,2-4,57.1%,0-0,-,0,0,0,0,0,0,0,10,7
vs Melilla Ciudad Del Deporte 1,8 oct 2022,G  74-70,0,2,1,22,0-0,0-2,0.0%,0-0,-,0,2,2,1,2,0,0,0,3
