PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Almansa Con Afanion,4 feb 2023,G  66-75,0,0,0,5,0-1,0-2,0.0%,0-0,-,0,0,0,0,0,0,0,0,-3
vs Real Valladolid,1 feb 2023,G  77-58,0,0,0,6,0-1,0-3,0.0%,0-0,-,0,0,0,0,1,0,0,0,-3
@ Melilla Ciudad Del Deporte 1,27 ene 2023,G  67-88,0,0,0,6,0-1,0-0,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
@ Leyma Coruña,20 ene 2023,P  95-81,0,1,1,14,0-2,0-2,0.0%,0-0,-,0,1,1,1,0,0,0,0,-2
vs Movistar Estudiantes,14 ene 2023,P  78-86,0,4,1,9,0-0,0-3,0.0%,0-0,-,1,3,4,1,0,1,0,0,1
vs Biele ISB,29 dic 2022,G  85-59,13,5,0,17,1-1,3-8,44.4%,2-5,40.0%,2,3,5,0,1,1,0,13,10
@ Súper Agropal Palencia,16 dic 2022,P  84-69,3,3,0,12,0-1,1-6,14.3%,0-0,-,1,2,3,0,0,0,0,3,0
vs Grupo Alega Cantabria,3 dic 2022,G  89-62,6,2,0,17,0-0,2-3,66.7%,0-1,0.0%,2,0,2,0,0,3,0,6,3
@ Amics Castello,25 nov 2022,G  65-67,11,1,1,26,1-1,3-7,50.0%,0-0,-,0,1,1,1,0,0,0,11,9
vs Gipuzkoa Basket,20 nov 2022,G  83-74,5,3,0,29,1-1,1-6,28.6%,0-0,-,0,3,3,0,0,1,0,5,2
@ MoraBanc Andorra,5 nov 2022,P  88-82,17,1,1,28,1-3,5-8,54.5%,0-0,-,0,1,1,1,0,1,0,17,13
vs HLA Alicante,29 oct 2022,P  98-101,16,3,2,29,1-5,3-7,33.3%,5-5,100.0%,2,1,3,2,0,4,0,16,9
@ Alimerka Oviedo,22 oct 2022,G  59-70,8,3,2,21,2-2,1-4,50.0%,1-1,100.0%,0,3,3,2,2,2,0,8,10
vs Almansa Con Afanion,15 oct 2022,G  86-72,8,3,1,24,1-2,2-3,60.0%,0-0,-,0,3,3,1,0,0,0,8,10
@ Real Valladolid,11 oct 2022,P  75-61,9,2,1,29,1-1,2-8,33.3%,1-3,33.3%,1,1,2,1,1,1,0,9,4
vs Melilla Ciudad Del Deporte 1,8 oct 2022,G  74-70,17,0,0,29,1-2,5-9,54.5%,0-2,0.0%,0,0,0,0,0,1,0,17,9
