PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Grupo Alega Cantabria,10 may 2024,G  92-89,2,3,0,11,1-3,0-1,25.0%,0-0,-,1,2,3,0,0,0,0,2,2
@ Leyma Coruña,5 may 2024,P  95-82,4,4,0,19,2-5,0-1,33.3%,0-0,-,1,3,4,0,0,1,0,4,3
vs HLA Alicante,28 abr 2024,G  70-64,17,9,3,35,7-10,0-1,63.6%,3-6,50.0%,1,8,9,3,1,0,2,17,25
@ Rioverde Clavijo,21 abr 2024,G  93-96,20,6,3,32,9-11,0-1,75.0%,2-3,66.7%,3,3,6,3,0,1,1,20,25
vs Hestia Menorca,14 abr 2024,P  83-84,7,1,0,20,0-3,1-1,25.0%,4-4,100.0%,0,1,1,0,0,1,0,7,4
vs Melilla Ciudad Del Deporte 1,5 abr 2024,G  90-85,16,6,3,29,3-9,2-3,41.7%,4-5,80.0%,1,5,6,3,1,2,1,16,17
@ Movistar Estudiantes,31 mar 2024,P  95-79,11,3,1,20,4-8,1-2,50.0%,0-0,-,0,3,3,1,0,0,0,11,10
@ Alimerka Oviedo,24 mar 2024,G  80-81,10,3,0,27,3-7,0-1,37.5%,4-4,100.0%,1,2,3,0,0,1,0,10,7
vs UBU Tizona Burgos,17 mar 2024,P  72-112,20,4,0,28,6-8,0-0,75.0%,8-10,80.0%,0,4,4,0,0,1,0,20,19
vs Ourense,13 mar 2024,P  78-81,6,5,0,20,2-4,0-2,33.3%,2-2,100.0%,2,3,5,0,3,2,0,6,8
@ Gipuzkoa Basket,8 mar 2024,P  92-78,20,4,0,28,7-11,0-1,58.3%,6-7,85.7%,2,2,4,0,2,1,0,20,19
vs Real Valladolid,1 mar 2024,P  80-84,15,4,0,30,5-8,0-3,45.5%,5-6,83.3%,1,3,4,0,1,2,0,15,11
@ Caceres,16 feb 2024,G  81-84,9,7,0,33,2-6,0-2,25.0%,5-5,100.0%,2,5,7,0,0,2,1,9,9
vs Hiopos Lleida,9 feb 2024,P  92-98,28,6,1,32,7-10,3-5,66.7%,5-5,100.0%,3,3,6,1,1,1,1,28,31
@ Real Betis,2 feb 2024,P  98-77,10,2,2,28,3-5,1-2,57.1%,1-1,100.0%,1,1,2,2,3,2,0,10,12
vs Fuenlabrada,19 ene 2024,G  77-73,16,4,0,32,2-5,3-4,55.6%,3-4,75.0%,0,4,4,0,0,1,0,16,14
@ HLA Alicante,13 ene 2024,P  86-64,9,4,0,29,2-6,0-3,22.2%,5-6,83.3%,1,3,4,0,0,1,0,9,4
vs Leyma Coruña,5 ene 2024,P  74-83,7,3,2,24,2-6,0-2,25.0%,3-3,100.0%,1,2,3,2,0,1,0,7,5
@ Melilla Ciudad Del Deporte 1,29 dic 2023,P  76-65,13,6,1,28,3-7,1-3,40.0%,4-6,66.7%,3,3,6,1,1,2,0,13,11
@ UBU Tizona Burgos,21 dic 2023,P  80-66,16,7,1,34,5-10,1-2,50.0%,3-3,100.0%,2,5,7,1,1,3,0,16,16
vs Gipuzkoa Basket,16 dic 2023,P  80-90,14,2,1,35,3-7,0-0,42.9%,8-11,72.7%,1,1,2,1,0,1,0,14,9
@ Real Valladolid,2 dic 2023,P  89-71,2,4,1,22,1-4,0-1,20.0%,0-0,-,1,3,4,1,0,3,0,2,0
vs Movistar Estudiantes,29 nov 2023,P  68-84,6,3,1,27,1-5,1-3,25.0%,1-2,50.0%,0,3,3,1,0,1,2,6,4
@ Grupo Alega Cantabria,25 nov 2023,P  91-80,21,4,4,35,7-12,0-3,46.7%,7-8,87.5%,1,3,4,4,0,2,0,21,18
vs Rioverde Clavijo,17 nov 2023,G  79-72,10,6,1,34,3-7,0-3,30.0%,4-4,100.0%,1,5,6,1,1,2,1,10,10
@ Hiopos Lleida,12 nov 2023,P  97-82,15,9,0,28,6-13,0-1,42.9%,3-3,100.0%,6,3,9,0,1,1,0,15,16
@ Fuenlabrada,31 oct 2023,G  85-98,14,4,0,26,4-7,0-1,50.0%,6-6,100.0%,0,4,4,0,1,2,0,14,13
vs San Pablo Burgos,27 oct 2023,P  81-94,23,7,0,33,6-8,2-3,72.7%,5-6,83.3%,1,6,7,0,0,0,0,23,26
@ Hestia Menorca,21 oct 2023,P  85-65,2,4,1,21,0-2,0-0,0.0%,2-3,66.7%,1,3,4,1,0,1,0,2,3
vs Caceres,13 oct 2023,G  90-86,24,8,0,35,7-12,1-3,53.3%,7-7,100.0%,1,7,8,0,2,0,0,24,27
@ Ourense,7 oct 2023,P  93-80,18,5,0,29,6-8,1-1,77.8%,3-3,100.0%,1,4,5,0,0,3,0,18,18
