PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Grupo Alega Cantabria,10 may 2024,G  92-89,3,4,2,15,1-3,0-3,16.7%,1-1,100.0%,1,3,4,2,0,1,0,3,3
@ Leyma Coruña,5 may 2024,P  95-82,14,3,1,21,1-3,3-9,33.3%,3-4,75.0%,0,3,3,1,0,1,0,14,8
vs HLA Alicante,28 abr 2024,G  70-64,6,1,4,21,1-1,1-6,28.6%,1-2,50.0%,0,1,1,4,2,5,0,6,2
@ Rioverde Clavijo,21 abr 2024,G  93-96,22,1,0,26,3-7,3-5,50.0%,7-7,100.0%,0,1,1,0,0,1,0,22,16
vs Hestia Menorca,14 abr 2024,P  83-84,21,1,2,32,6-6,3-7,69.2%,0-0,-,1,0,1,2,0,1,0,21,19
@ San Pablo Burgos,10 abr 2024,P  91-67,10,5,2,19,2-6,2-4,40.0%,0-0,-,0,5,5,2,0,2,0,10,9
vs Melilla Ciudad Del Deporte 1,5 abr 2024,G  90-85,23,3,4,25,3-7,5-11,44.4%,2-3,66.7%,1,2,3,4,1,0,0,23,20
@ Movistar Estudiantes,31 mar 2024,P  95-79,8,4,1,23,2-4,0-3,28.6%,4-4,100.0%,1,3,4,1,1,1,0,8,8
@ Alimerka Oviedo,24 mar 2024,G  80-81,13,4,1,23,2-6,3-8,35.7%,0-0,-,0,4,4,1,1,0,0,13,10
vs UBU Tizona Burgos,17 mar 2024,P  72-112,3,1,0,14,0-3,0-3,0.0%,3-4,75.0%,0,1,1,0,0,0,0,3,-3
vs Ourense,13 mar 2024,P  78-81,20,3,0,27,2-4,4-7,54.5%,4-4,100.0%,1,2,3,0,0,1,0,20,17
@ Gipuzkoa Basket,8 mar 2024,P  92-78,16,3,1,29,3-11,3-5,37.5%,1-1,100.0%,0,3,3,1,1,1,0,16,10
vs Real Valladolid,1 mar 2024,P  80-84,18,4,3,30,4-7,3-8,46.7%,1-2,50.0%,1,3,4,3,1,3,0,18,14
@ Caceres,16 feb 2024,G  81-84,14,0,1,26,4-5,2-5,60.0%,0-0,-,0,0,0,1,1,0,0,14,12
vs Hiopos Lleida,9 feb 2024,P  92-98,19,2,0,23,4-5,3-6,63.6%,2-3,66.7%,0,2,2,0,0,0,0,19,16
@ Real Betis,2 feb 2024,P  98-77,2,1,0,13,1-2,0-1,33.3%,0-0,-,0,1,1,0,1,1,0,2,1
vs Fuenlabrada,19 ene 2024,G  77-73,2,2,2,14,0-1,0-2,0.0%,2-2,100.0%,0,2,2,2,0,0,0,2,3
@ HLA Alicante,13 ene 2024,P  86-64,5,2,0,17,2-3,0-1,50.0%,1-2,50.0%,0,2,2,0,1,2,0,5,3
@ Melilla Ciudad Del Deporte 1,29 dic 2023,P  76-65,23,6,1,36,6-9,2-4,61.5%,5-5,100.0%,1,5,6,1,0,1,0,23,24
@ UBU Tizona Burgos,21 dic 2023,P  80-66,10,1,0,19,3-5,0-2,42.9%,4-4,100.0%,1,0,1,0,2,2,0,10,7
vs Gipuzkoa Basket,16 dic 2023,P  80-90,11,3,3,24,1-4,3-4,50.0%,0-0,-,0,3,3,3,1,2,0,11,12
vs Real Betis,8 dic 2023,P  88-100,12,1,2,25,3-10,1-3,30.8%,3-4,75.0%,0,1,1,2,0,1,0,12,4
@ Real Valladolid,2 dic 2023,P  89-71,3,2,1,18,0-2,1-4,16.7%,0-0,-,0,2,2,1,0,1,0,3,0
vs Movistar Estudiantes,29 nov 2023,P  68-84,6,1,1,22,3-8,0-1,33.3%,0-0,-,0,1,1,1,0,1,0,6,1
@ Grupo Alega Cantabria,25 nov 2023,P  91-80,14,6,0,25,2-6,2-4,40.0%,4-4,100.0%,0,6,6,0,2,0,0,14,16
vs Rioverde Clavijo,17 nov 2023,G  79-72,3,0,2,17,0-3,0-1,0.0%,3-3,100.0%,0,0,0,2,0,1,0,3,0
@ Hiopos Lleida,12 nov 2023,P  97-82,15,0,3,23,3-6,2-7,38.5%,3-4,75.0%,0,0,0,3,2,0,0,15,11
vs Alimerka Oviedo,4 nov 2023,G  83-61,10,2,1,18,0-4,3-6,30.0%,1-2,50.0%,0,2,2,1,0,0,0,10,5
@ Fuenlabrada,31 oct 2023,G  85-98,10,0,0,19,2-3,2-4,57.1%,0-0,-,0,0,0,0,0,0,0,10,7
vs San Pablo Burgos,27 oct 2023,P  81-94,16,4,1,22,6-10,1-5,46.7%,1-1,100.0%,1,3,4,1,1,0,0,16,14
@ Hestia Menorca,21 oct 2023,P  85-65,2,0,1,10,1-2,0-2,25.0%,0-0,-,0,0,0,1,0,0,0,2,0
vs Caceres,13 oct 2023,G  90-86,5,1,3,18,2-5,0-2,28.6%,1-1,100.0%,0,1,1,3,2,0,0,5,6
@ Ourense,7 oct 2023,P  93-80,13,5,1,22,2-5,3-5,50.0%,0-0,-,0,5,5,1,1,1,0,13,14
