PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Hiopos Lleida,9 feb 2024,P  92-98,3,3,0,5,0-0,1-1,100.0%,0-0,-,0,3,3,0,0,2,0,3,4
vs Leyma Coruña,5 ene 2024,P  74-83,4,1,0,8,1-3,0-0,33.3%,2-2,100.0%,0,1,1,0,0,0,0,4,3
@ Melilla Ciudad Del Deporte 1,29 dic 2023,P  76-65,6,7,1,21,3-5,0-0,60.0%,0-0,-,1,6,7,1,1,1,0,6,12
@ UBU Tizona Burgos,21 dic 2023,P  80-66,0,1,0,2,0-1,0-0,0.0%,0-0,-,1,0,1,0,0,0,0,0,0
vs Gipuzkoa Basket,16 dic 2023,P  80-90,0,4,1,21,0-4,0-1,0.0%,0-2,0.0%,1,3,4,1,1,0,0,0,-1
vs Real Betis,8 dic 2023,P  88-100,9,4,1,20,3-5,0-1,50.0%,3-3,100.0%,2,2,4,1,0,1,0,9,10
@ Real Valladolid,2 dic 2023,P  89-71,9,7,1,25,4-7,0-0,57.1%,1-2,50.0%,2,5,7,1,2,2,0,9,13
vs Movistar Estudiantes,29 nov 2023,P  68-84,7,10,4,29,3-8,0-0,37.5%,1-2,50.0%,2,8,10,4,1,0,0,7,16
@ Grupo Alega Cantabria,25 nov 2023,P  91-80,2,1,0,13,1-5,0-0,20.0%,0-0,-,1,0,1,0,0,3,0,2,-4
vs Rioverde Clavijo,17 nov 2023,G  79-72,2,6,0,11,1-3,0-0,33.3%,0-2,0.0%,4,2,6,0,0,2,0,2,2
@ Hiopos Lleida,12 nov 2023,P  97-82,8,6,1,20,4-8,0-0,50.0%,0-0,-,3,3,6,1,0,2,0,8,9
vs Alimerka Oviedo,4 nov 2023,G  83-61,11,10,3,20,4-8,1-1,55.6%,0-0,-,3,7,10,3,3,1,1,11,23
@ Fuenlabrada,31 oct 2023,G  85-98,8,9,1,21,3-10,0-0,30.0%,2-2,100.0%,2,7,9,1,1,2,0,8,10
vs San Pablo Burgos,27 oct 2023,P  81-94,1,4,0,6,0-2,0-0,0.0%,1-2,50.0%,3,1,4,0,0,0,0,1,2
@ Hestia Menorca,21 oct 2023,P  85-65,0,0,0,8,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Caceres,13 oct 2023,G  90-86,16,11,1,24,7-10,0-1,63.6%,2-4,50.0%,5,6,11,1,0,2,0,16,20
@ Ourense,7 oct 2023,P  93-80,14,6,4,30,5-10,0-0,50.0%,4-4,100.0%,2,4,6,4,1,3,0,14,17
