PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Calgary Surge,4 ago 2024,P  69-78,5,4,0,17,0-0,1-5,20.0%,2-2,100.0%,0,4,4,0,0,1,0,5,4
vs Winnipeg Sea Bears,30 jul 2024,G  89-86,5,2,0,10,1-2,1-4,33.3%,0-0,-,0,2,2,0,0,0,0,5,3
@ Saskatchewan Rattlers,19 jul 2024,G  87-91,2,3,0,10,1-1,0-0,100.0%,0-0,-,0,3,3,0,0,1,0,2,4
@ Niagara River Lions,14 jul 2024,P  105-104,0,2,0,8,0-0,0-1,0.0%,0-0,-,0,2,2,0,0,2,0,0,-1
@ Scarborough Shooting Stars,13 jul 2024,P  103-92,5,1,0,14,1-1,1-2,66.7%,0-0,-,0,1,1,0,0,0,0,5,5
vs Calgary Surge,10 jul 2024,P  58-87,6,2,0,11,0-0,2-5,40.0%,0-0,-,0,2,2,0,0,0,0,6,5
vs Brampton Honey Badgers,8 jul 2024,G  99-79,2,3,0,12,0-0,0-1,0.0%,2-3,66.7%,1,2,3,0,0,0,0,2,3
vs Vancouver Bandits,6 jul 2024,G  99-82,9,4,1,18,0-0,3-4,75.0%,0-0,-,2,2,4,1,0,1,0,9,12
@ Winnipeg Sea Bears,4 jul 2024,P  102-101,2,2,1,11,1-1,0-2,33.3%,0-0,-,1,1,2,1,0,0,1,2,4
vs Saskatchewan Rattlers,1 jul 2024,G  88-81,8,3,1,17,2-2,1-3,60.0%,1-1,100.0%,3,0,3,1,0,1,0,8,9
@ Vancouver Bandits,30 jun 2024,G  88-107,8,3,0,21,1-2,2-5,42.9%,0-0,-,1,2,3,0,0,1,0,8,6
vs Calgary Surge,23 jun 2024,P  80-91,6,4,1,14,1-2,1-4,33.3%,1-2,50.0%,1,3,4,1,1,1,0,6,6
vs Ottawa BlackJacks,21 jun 2024,G  92-91,10,6,1,18,3-6,1-2,50.0%,1-1,100.0%,1,5,6,1,0,1,0,10,12
@ Winnipeg Sea Bears,16 jun 2024,G  87-97,14,9,1,23,2-4,3-6,50.0%,1-1,100.0%,4,5,9,1,0,0,0,14,19
@ Calgary Surge,15 jun 2024,G  84-91,5,1,0,10,1-2,1-4,33.3%,0-0,-,0,1,1,0,0,0,0,5,2
vs Niagara River Lions,10 jun 2024,P  79-100,7,1,0,21,2-3,1-3,50.0%,0-0,-,1,0,1,0,1,2,1,7,5
vs Vancouver Bandits,5 jun 2024,P  90-93,5,7,0,14,1-1,1-1,100.0%,0-0,-,1,6,7,0,0,1,0,5,11
vs Saskatchewan Rattlers,2 jun 2024,G  93-77,6,3,0,16,0-1,2-4,40.0%,0-0,-,0,3,3,0,1,0,0,6,7
@ Montreal Alliance,30 may 2024,G  77-81,3,0,1,9,0-1,0-1,0.0%,3-3,100.0%,0,0,0,1,1,0,0,3,3
@ Ottawa BlackJacks,29 may 2024,G  84-92,2,1,0,8,1-1,0-1,50.0%,0-0,-,0,1,1,0,0,0,0,2,2
vs Gipuzkoa Basket,10 may 2024,P  76-87,14,1,0,25,4-5,1-2,71.4%,3-5,60.0%,0,1,1,0,1,1,0,14,11
@ Rioverde Clavijo,5 may 2024,G  78-82,20,7,2,35,6-9,1-8,41.2%,5-7,71.4%,2,5,7,2,2,0,0,20,19
vs San Pablo Burgos,27 abr 2024,P  64-91,14,5,0,27,5-12,1-6,33.3%,1-2,50.0%,1,4,5,0,1,1,0,14,6
@ Caceres,19 abr 2024,G  71-77,22,12,2,33,5-8,3-7,53.3%,3-3,100.0%,3,9,12,2,1,3,2,22,29
vs Grupo Alega Cantabria,14 abr 2024,P  65-72,4,2,0,19,2-3,0-2,40.0%,0-0,-,0,2,2,0,0,1,0,4,2
@ HLA Alicante,10 abr 2024,P  91-82,12,7,1,29,2-2,2-7,44.4%,2-2,100.0%,2,5,7,1,0,2,0,12,13
vs Leyma Coruña,6 abr 2024,P  84-87,21,4,1,28,6-7,2-7,57.1%,3-4,75.0%,1,3,4,1,2,2,0,21,19
@ Fuenlabrada,29 mar 2024,P  76-66,17,8,2,30,1-3,4-10,38.5%,3-3,100.0%,0,8,8,2,0,1,1,17,19
vs Movistar Estudiantes,23 mar 2024,G  92-71,13,5,2,19,1-2,3-5,57.1%,2-2,100.0%,1,4,5,2,1,0,1,13,19
@ Real Valladolid,16 mar 2024,P  81-71,8,3,0,24,1-1,2-8,33.3%,0-0,-,2,1,3,0,0,0,0,8,5
@ Amics Castello,13 mar 2024,G  78-81,8,3,3,30,1-1,1-7,25.0%,3-3,100.0%,0,3,3,3,1,1,0,8,8
vs Hiopos Lleida,9 mar 2024,P  73-80,7,4,1,30,2-3,1-6,33.3%,0-0,-,0,4,4,1,1,3,0,7,4
@ UBU Tizona Burgos,3 mar 2024,P  85-80,21,4,2,32,1-3,5-11,42.9%,4-5,80.0%,1,3,4,2,2,3,0,21,17
vs Alimerka Oviedo,17 feb 2024,G  88-83,4,4,2,30,2-5,0-4,22.2%,0-2,0.0%,1,3,4,2,1,3,0,4,-1
@ Real Betis,9 feb 2024,P  72-48,8,8,1,23,2-2,0-3,40.0%,4-4,100.0%,1,7,8,1,1,4,1,8,12
vs Hestia Menorca,3 feb 2024,P  61-66,7,5,0,26,2-3,1-3,50.0%,0-0,-,3,2,5,0,0,1,0,7,8
@ Melilla Ciudad Del Deporte 1,19 ene 2024,G  67-81,17,5,2,34,1-3,5-8,54.5%,0-0,-,0,5,5,2,0,0,0,17,19
vs Real Valladolid,12 ene 2024,G  99-77,26,2,3,28,2-2,6-6,100.0%,4-4,100.0%,1,1,2,3,0,0,0,26,31
@ Movistar Estudiantes,7 ene 2024,P  97-56,10,4,0,23,3-3,1-4,57.1%,1-1,100.0%,0,4,4,0,0,0,0,10,11
@ Leyma Coruña,29 dic 2023,P  106-77,0,5,4,27,0-0,0-4,0.0%,0-0,-,1,4,5,4,0,3,0,0,2
vs HLA Alicante,20 dic 2023,G  77-68,10,12,2,33,2-4,2-6,40.0%,0-0,-,3,9,12,2,0,1,0,10,17
@ San Pablo Burgos,16 dic 2023,P  105-55,11,2,0,16,2-4,2-3,57.1%,1-3,33.3%,2,0,2,0,0,3,0,11,5
vs Melilla Ciudad Del Deporte 1,9 dic 2023,P  59-65,0,3,0,18,0-1,0-3,0.0%,0-0,-,0,3,3,0,0,0,0,0,-1
@ Hiopos Lleida,3 dic 2023,P  90-55,2,5,0,22,0-2,0-4,0.0%,2-2,100.0%,2,3,5,0,1,1,0,2,1
vs UBU Tizona Burgos,28 nov 2023,P  72-79,8,6,2,26,0-2,1-2,25.0%,5-5,100.0%,2,4,6,2,0,1,0,8,12
@ Gipuzkoa Basket,24 nov 2023,P  99-65,8,1,0,30,1-3,2-7,30.0%,0-0,-,0,1,1,0,1,2,0,8,1
vs Real Betis,18 nov 2023,G  84-83,11,4,1,29,2-3,2-3,66.7%,1-4,25.0%,1,3,4,1,0,2,1,11,10
@ Hestia Menorca,12 nov 2023,G  50-74,6,4,0,32,1-1,1-5,33.3%,1-2,50.0%,0,4,4,0,1,0,1,6,7
vs Fuenlabrada,4 nov 2023,P  68-80,6,5,1,30,0-1,0-3,0.0%,6-8,75.0%,0,5,5,1,0,1,0,6,5
@ Alimerka Oviedo,31 oct 2023,P  87-78,14,4,2,27,1-1,4-8,55.6%,0-0,-,0,4,4,2,1,0,0,14,17
vs Caceres,27 oct 2023,G  73-61,11,7,1,30,1-4,2-8,25.0%,3-4,75.0%,3,4,7,1,0,1,0,11,8
vs Rioverde Clavijo,21 oct 2023,G  68-51,4,4,1,19,0-4,1-2,16.7%,1-1,100.0%,2,2,4,1,1,3,0,4,2
@ Grupo Alega Cantabria,14 oct 2023,G  76-80,4,9,1,19,0-0,1-3,33.3%,1-2,50.0%,1,8,9,1,0,1,0,4,10
vs Amics Castello,7 oct 2023,G  93-80,12,6,5,29,3-6,1-5,36.4%,3-4,75.0%,2,4,6,5,3,0,0,12,18
