PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Real Betis,10 may 2024,P  80-62,0,0,0,8,0-2,0-2,0.0%,0-0,-,0,0,0,0,0,0,0,0,-4
vs Hiopos Lleida,3 may 2024,P  77-100,11,1,3,19,1-2,3-5,57.1%,0-0,-,0,1,1,3,0,1,0,11,11
@ Movistar Estudiantes,28 abr 2024,P  89-73,15,1,3,32,3-4,3-7,54.5%,0-0,-,0,1,1,3,1,2,0,15,13
vs Ourense,19 abr 2024,P  71-77,2,2,3,10,1-2,0-1,33.3%,0-0,-,0,2,2,3,0,1,0,2,4
@ Alimerka Oviedo,14 abr 2024,P  89-71,14,2,1,24,2-7,3-6,38.5%,1-4,25.0%,0,2,2,1,0,1,0,14,5
vs Fuenlabrada,10 abr 2024,P  71-97,13,5,2,31,2-5,3-7,41.7%,0-0,-,3,2,5,2,1,3,0,13,11
@ San Pablo Burgos,6 abr 2024,P  109-102,27,2,9,41,4-6,4-10,50.0%,7-9,77.8%,0,2,2,9,0,3,0,27,25
vs UBU Tizona Burgos,31 mar 2024,P  64-66,5,2,1,15,2-3,0-4,28.6%,1-2,50.0%,0,2,2,1,0,0,0,5,2
@ Leyma Coruña,24 mar 2024,P  97-80,6,2,5,27,3-4,0-5,33.3%,0-1,0.0%,0,2,2,5,1,0,0,6,7
vs Hestia Menorca,17 mar 2024,G  63-56,9,1,0,17,3-4,0-3,42.9%,3-4,75.0%,0,1,1,0,1,1,0,9,5
@ Rioverde Clavijo,13 mar 2024,P  78-76,9,2,2,21,3-6,1-4,40.0%,0-0,-,2,0,2,2,0,2,0,9,5
vs Grupo Alega Cantabria,8 mar 2024,P  71-73,0,0,2,11,0-1,0-0,0.0%,0-0,-,0,0,0,2,0,1,0,0,0
@ Melilla Ciudad Del Deporte 1,3 mar 2024,P  95-79,8,1,4,28,1-5,2-7,25.0%,0-0,-,0,1,1,4,2,2,0,8,4
vs Amics Castello,16 feb 2024,P  81-84,8,2,4,29,1-2,2-6,37.5%,0-0,-,1,1,2,4,1,1,0,8,9
@ Real Valladolid,10 feb 2024,P  99-72,19,1,3,29,6-8,2-8,50.0%,1-2,50.0%,0,1,1,3,1,0,0,19,15
@ HLA Alicante,2 feb 2024,P  88-73,15,1,5,30,0-3,5-7,50.0%,0-0,-,0,1,1,5,1,6,0,15,11
vs Gipuzkoa Basket,19 ene 2024,P  68-86,13,2,1,26,2-4,3-6,50.0%,0-0,-,0,2,2,1,1,1,0,13,11
@ Hiopos Lleida,12 ene 2024,P  95-71,7,5,5,27,2-9,1-4,23.1%,0-0,-,1,4,5,5,4,2,0,7,9
vs Alimerka Oviedo,7 ene 2024,G  86-78,13,4,5,29,2-5,3-3,62.5%,0-0,-,1,3,4,5,0,4,0,13,15
@ Hestia Menorca,30 dic 2023,P  86-67,2,1,3,24,0-1,0-1,0.0%,2-2,100.0%,1,0,1,3,1,3,0,2,2
vs Real Betis,21 dic 2023,G  64-61,2,2,5,22,1-2,0-1,33.3%,0-0,-,0,2,2,5,1,2,0,2,6
vs Real Valladolid,15 dic 2023,P  79-87,10,2,0,26,2-10,2-6,25.0%,0-0,-,2,0,2,0,1,1,0,10,0
@ Grupo Alega Cantabria,9 dic 2023,P  95-75,22,0,4,27,5-6,4-7,69.2%,0-0,-,0,0,0,4,3,3,0,22,22
vs San Pablo Burgos,3 dic 2023,P  60-81,12,2,4,29,6-10,0-4,42.9%,0-0,-,0,2,2,4,0,4,0,12,6
@ Fuenlabrada,29 nov 2023,P  94-67,10,1,2,28,4-9,0-3,33.3%,2-2,100.0%,0,1,1,2,0,4,0,10,1
vs HLA Alicante,24 nov 2023,P  75-84,10,0,1,23,3-6,0-3,33.3%,4-7,57.1%,0,0,0,1,0,3,0,10,-1
@ Gipuzkoa Basket,19 nov 2023,P  88-64,9,2,1,27,3-10,1-8,22.2%,0-0,-,0,2,2,1,0,4,0,9,-6
vs Leyma Coruña,10 nov 2023,G  84-81,10,1,7,25,3-10,1-6,25.0%,1-3,33.3%,0,1,1,7,2,1,0,10,5
@ UBU Tizona Burgos,5 nov 2023,P  92-87,18,0,7,32,6-12,1-6,38.9%,3-4,75.0%,0,0,0,7,2,3,0,18,12
vs Rioverde Clavijo,1 nov 2023,G  85-78,9,1,5,27,3-7,0-0,42.9%,3-4,75.0%,0,1,1,5,2,6,0,9,6
@ Ourense,27 oct 2023,P  73-61,0,0,4,20,0-1,0-2,0.0%,0-0,-,0,0,0,4,0,2,0,0,-1
vs Melilla Ciudad Del Deporte 1,20 oct 2023,G  90-76,13,3,7,24,5-8,0-3,45.5%,3-4,75.0%,1,2,3,7,4,0,0,13,20
@ Amics Castello,13 oct 2023,P  90-86,22,3,4,29,4-8,4-10,44.4%,2-2,100.0%,2,1,3,4,3,4,0,22,18
vs Movistar Estudiantes,6 oct 2023,P  60-83,7,3,3,23,3-10,0-2,25.0%,1-2,50.0%,0,3,3,3,1,0,0,7,4
