PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Real Betis,10 may 2024,P  80-62,9,9,2,27,3-9,1-2,36.4%,0-0,-,0,9,9,2,0,4,0,9,9
vs Hiopos Lleida,3 may 2024,P  77-100,4,2,0,9,2-4,0-0,50.0%,0-0,-,0,2,2,0,0,0,0,4,4
@ Movistar Estudiantes,28 abr 2024,P  89-73,8,2,2,18,3-5,0-0,60.0%,2-2,100.0%,1,1,2,2,0,1,0,8,9
vs Ourense,19 abr 2024,P  71-77,10,9,0,28,4-11,0-0,36.4%,2-2,100.0%,2,7,9,0,0,2,0,10,10
@ Alimerka Oviedo,14 abr 2024,P  89-71,2,3,3,23,0-0,0-0,-,2-2,100.0%,0,3,3,3,1,3,0,2,6
vs Fuenlabrada,10 abr 2024,P  71-97,8,5,2,19,4-7,0-1,50.0%,0-0,-,1,4,5,2,2,2,0,8,11
@ San Pablo Burgos,6 abr 2024,P  109-102,9,3,0,18,3-4,0-0,75.0%,3-3,100.0%,1,2,3,0,0,2,0,9,9
vs UBU Tizona Burgos,31 mar 2024,P  64-66,9,11,0,20,4-9,0-0,44.4%,1-2,50.0%,5,6,11,0,0,2,0,9,12
@ Leyma Coruña,24 mar 2024,P  97-80,11,3,1,25,5-7,0-0,71.4%,1-2,50.0%,1,2,3,1,0,2,0,11,10
vs Hestia Menorca,17 mar 2024,G  63-56,2,5,0,16,1-7,0-0,14.3%,0-0,-,0,5,5,0,0,0,0,2,1
@ Rioverde Clavijo,13 mar 2024,P  78-76,15,11,1,26,6-11,0-0,54.5%,3-4,75.0%,6,5,11,1,0,1,0,15,20
vs Grupo Alega Cantabria,8 mar 2024,P  71-73,9,2,1,20,3-4,0-0,75.0%,3-4,75.0%,0,2,2,1,0,3,0,9,7
@ Melilla Ciudad Del Deporte 1,3 mar 2024,P  95-79,7,3,0,23,3-5,0-0,60.0%,1-2,50.0%,2,1,3,0,1,2,0,7,6
vs Amics Castello,16 feb 2024,P  81-84,11,6,0,22,5-12,0-0,41.7%,1-2,50.0%,3,3,6,0,0,3,0,11,6
@ Trouville,10 dic 2023,G  77-92,5,4,1,12,2-6,0-0,33.3%,1-2,50.0%,2,2,4,1,0,3,0,5,2
vs Club Nacional de Montevideo,7 dic 2023,P  91-99,18,10,2,29,7-13,0-0,53.8%,4-6,66.7%,5,5,10,2,0,0,0,18,22
vs Club Atletico Penarol,5 dic 2023,P  72-79,2,1,0,7,1-1,0-0,100.0%,0-0,-,0,1,1,0,0,1,0,2,2
@ Larre Borges,1 dic 2023,G  75-85,6,10,1,28,3-5,0-0,60.0%,0-0,-,0,10,10,1,0,1,2,6,16
vs Cordon,27 nov 2023,G  75-67,4,1,3,11,2-3,0-0,66.7%,0-0,-,0,1,1,3,1,2,0,4,6
@ Bigua,12 nov 2023,P  87-82,7,4,1,26,3-6,0-0,50.0%,1-2,50.0%,0,4,4,1,1,2,0,7,7
vs Urupan,7 nov 2023,G  78-67,14,9,2,21,6-10,0-0,60.0%,2-6,33.3%,2,7,9,2,1,5,0,14,13
@ Hebraica Macabi,3 nov 2023,P  70-64,6,6,0,26,2-9,0-0,22.2%,2-2,100.0%,2,4,6,0,0,1,0,6,4
vs Aguada,31 oct 2023,G  85-70,12,2,0,24,5-7,0-0,71.4%,2-2,100.0%,0,2,2,0,0,2,0,12,10
@ Goes Montevideo,25 oct 2023,G  73-87,14,9,0,22,7-9,0-0,77.8%,0-2,0.0%,2,7,9,0,1,2,0,14,18
