PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Grupo Alega Cantabria,9 dic 2023,P  95-75,0,3,0,13,0-1,0-1,0.0%,0-0,-,0,3,3,0,0,0,0,0,1
vs San Pablo Burgos,3 dic 2023,P  60-81,6,8,0,20,3-3,0-2,60.0%,0-3,0.0%,2,6,8,0,0,2,0,6,7
@ Fuenlabrada,29 nov 2023,P  94-67,4,3,0,23,2-3,0-6,22.2%,0-0,-,0,3,3,0,0,1,0,4,-1
vs HLA Alicante,24 nov 2023,P  75-84,7,2,0,21,3-3,0-2,60.0%,1-2,50.0%,1,1,2,0,0,0,1,7,7
@ Gipuzkoa Basket,19 nov 2023,P  88-64,2,2,0,14,1-1,0-1,50.0%,0-0,-,0,2,2,0,2,1,0,2,4
vs Leyma Coruña,10 nov 2023,G  84-81,0,0,1,12,0-0,0-2,0.0%,0-0,-,0,0,0,1,0,0,1,0,0
@ UBU Tizona Burgos,5 nov 2023,P  92-87,2,3,0,14,1-1,0-0,100.0%,0-0,-,1,2,3,0,1,1,0,2,5
vs Rioverde Clavijo,1 nov 2023,G  85-78,2,0,0,11,1-2,0-2,25.0%,0-0,-,0,0,0,0,0,2,0,2,-3
@ Ourense,27 oct 2023,P  73-61,0,2,0,16,0-3,0-3,0.0%,0-0,-,0,2,2,0,1,2,0,0,-5
vs Melilla Ciudad Del Deporte 1,20 oct 2023,G  90-76,5,3,1,20,1-4,1-5,22.2%,0-0,-,2,1,3,1,1,0,0,5,3
@ Amics Castello,13 oct 2023,P  90-86,6,3,0,16,1-2,1-2,50.0%,1-2,50.0%,2,1,3,0,0,1,0,6,5
vs Movistar Estudiantes,6 oct 2023,P  60-83,3,3,0,16,0-0,1-4,25.0%,0-0,-,0,3,3,0,0,1,0,3,2
