PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Amics Castello,10 may 2024,P  92-89,9,1,1,15,1-6,2-2,37.5%,1-2,50.0%,0,1,1,1,0,0,0,9,5
vs UBU Tizona Burgos,4 may 2024,P  67-94,16,0,0,27,4-6,1-3,55.6%,5-6,83.3%,0,0,0,0,2,2,0,16,11
@ Hiopos Lleida,26 abr 2024,P  88-77,15,0,6,25,3-4,3-6,60.0%,0-0,-,0,0,0,6,0,1,0,15,16
vs Movistar Estudiantes,20 abr 2024,P  67-81,6,3,1,27,2-5,0-3,25.0%,2-2,100.0%,1,2,3,1,0,3,0,6,1
@ Ourense,14 abr 2024,G  65-72,12,1,3,20,3-5,0-3,37.5%,6-6,100.0%,0,1,1,3,0,2,0,12,9
@ Rioverde Clavijo,10 abr 2024,P  99-84,10,3,3,25,3-7,1-4,36.4%,1-1,100.0%,1,2,3,3,1,0,0,10,10
vs Gipuzkoa Basket,6 abr 2024,P  96-106,20,0,2,28,3-6,4-7,53.8%,2-2,100.0%,0,0,0,2,0,2,0,20,14
vs Alimerka Oviedo,29 mar 2024,G  84-83,9,2,2,21,2-3,1-4,42.9%,2-2,100.0%,1,1,2,2,1,1,0,9,9
@ Hestia Menorca,23 mar 2024,P  84-68,11,0,2,18,3-5,1-2,57.1%,2-2,100.0%,0,0,0,2,1,3,0,11,8
vs Real Betis,17 mar 2024,P  67-78,10,2,1,21,2-2,2-7,44.4%,0-0,-,0,2,2,1,0,2,0,10,6
@ Melilla Ciudad Del Deporte 1,13 mar 2024,G  71-84,16,1,4,23,3-4,3-7,54.5%,1-2,50.0%,0,1,1,4,0,2,0,16,13
@ Caceres,8 mar 2024,G  71-73,18,2,0,23,1-1,5-7,75.0%,1-2,50.0%,0,2,2,0,0,0,0,18,17
vs HLA Alicante,3 mar 2024,P  65-82,11,0,0,15,2-2,1-3,60.0%,4-6,66.7%,0,0,0,0,1,0,0,11,8
@ Real Valladolid,17 feb 2024,P  84-79,5,1,1,19,1-4,0-2,16.7%,3-4,75.0%,0,1,1,1,0,1,0,5,0
vs Fuenlabrada,10 feb 2024,G  81-74,0,1,0,6,0-0,0-1,0.0%,0-0,-,0,1,1,0,0,1,0,0,-1
@ San Pablo Burgos,3 feb 2024,P  88-69,7,1,1,16,2-6,1-1,42.9%,0-0,-,0,1,1,1,0,0,0,7,5
vs Leyma Coruña,20 ene 2024,P  81-83,2,0,0,12,1-3,0-3,16.7%,0-0,-,0,0,0,0,0,1,0,2,-4
@ Alimerka Oviedo,14 ene 2024,P  86-81,0,0,1,4,0-0,0-1,0.0%,0-0,-,0,0,0,1,0,0,0,0,0
vs Rioverde Clavijo,7 ene 2024,P  71-75,0,0,0,7,0-1,0-0,0.0%,0-0,-,0,0,0,0,0,1,0,0,-2
@ Gipuzkoa Basket,29 dic 2023,P  76-67,9,1,2,19,3-4,1-2,66.7%,0-0,-,0,1,1,2,0,2,0,9,8
vs Hestia Menorca,22 dic 2023,G  95-77,11,3,3,17,1-4,3-3,57.1%,0-0,-,1,2,3,3,0,3,0,11,11
@ Real Betis,15 dic 2023,P  80-70,4,0,1,15,2-4,0-2,33.3%,0-0,-,0,0,0,1,0,0,0,4,1
vs Caceres,9 dic 2023,G  95-75,6,1,1,16,0-1,2-2,66.7%,0-0,-,0,1,1,1,1,2,0,6,6
@ Movistar Estudiantes,3 dic 2023,P  101-61,11,1,3,25,3-3,1-2,80.0%,2-2,100.0%,0,1,1,3,0,1,0,11,13
vs Melilla Ciudad Del Deporte 1,29 nov 2023,G  75-69,2,0,2,10,0-2,0-2,0.0%,2-3,66.7%,0,0,0,2,0,1,0,2,-2
vs Amics Castello,25 nov 2023,G  91-80,15,1,2,21,3-4,1-2,66.7%,6-8,75.0%,0,1,1,2,0,2,0,15,12
@ UBU Tizona Burgos,18 nov 2023,P  93-84,2,0,0,16,1-4,0-1,20.0%,0-0,-,0,0,0,0,0,1,0,2,-3
vs Real Valladolid,12 nov 2023,P  81-82,2,0,4,17,1-3,0-0,33.3%,0-0,-,0,0,0,4,0,0,0,2,4
vs San Pablo Burgos,5 nov 2023,P  72-84,9,0,2,24,3-5,1-2,57.1%,0-0,-,0,0,0,2,0,1,0,9,7
@ HLA Alicante,1 nov 2023,P  89-79,16,1,2,23,3-4,2-3,71.4%,4-4,100.0%,1,0,1,2,0,0,0,16,17
vs Hiopos Lleida,28 oct 2023,G  75-63,3,1,1,17,0-4,1-1,20.0%,0-0,-,1,0,1,1,0,1,0,3,0
@ Leyma Coruña,22 oct 2023,P  119-90,25,1,0,23,5-6,3-5,72.7%,6-6,100.0%,0,1,1,0,2,3,0,25,22
vs Ourense,14 oct 2023,P  76-80,3,0,0,8,0-0,1-3,33.3%,0-0,-,0,0,0,0,0,0,0,3,1
