PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs UBU Tizona Burgos,4 may 2024,P  67-94,7,3,1,18,2-2,0-0,100.0%,3-4,75.0%,0,3,3,1,0,1,0,7,9
vs Movistar Estudiantes,20 abr 2024,P  67-81,11,8,2,24,4-7,0-0,57.1%,3-3,100.0%,1,7,8,2,2,3,0,11,17
@ Ourense,14 abr 2024,G  65-72,6,5,1,27,2-4,0-0,50.0%,2-2,100.0%,1,4,5,1,0,1,0,6,9
@ Rioverde Clavijo,10 abr 2024,P  99-84,4,5,1,17,1-3,0-0,33.3%,2-2,100.0%,3,2,5,1,0,2,0,4,6
vs Gipuzkoa Basket,6 abr 2024,P  96-106,10,7,1,23,5-7,0-0,71.4%,0-0,-,2,5,7,1,0,1,0,10,15
vs Alimerka Oviedo,29 mar 2024,G  84-83,12,4,1,24,4-6,0-0,66.7%,4-4,100.0%,1,3,4,1,0,0,1,12,16
@ Hestia Menorca,23 mar 2024,P  84-68,13,9,3,30,4-8,0-0,50.0%,5-6,83.3%,4,5,9,3,1,1,0,13,20
vs Real Betis,17 mar 2024,P  67-78,4,6,0,15,1-3,0-0,33.3%,2-2,100.0%,0,6,6,0,0,1,0,4,7
@ Melilla Ciudad Del Deporte 1,13 mar 2024,G  71-84,5,7,1,23,1-5,0-0,20.0%,3-4,75.0%,2,5,7,1,1,1,0,5,8
@ Caceres,8 mar 2024,G  71-73,2,3,0,16,1-4,0-0,25.0%,0-0,-,1,2,3,0,1,1,0,2,2
vs HLA Alicante,3 mar 2024,P  65-82,7,6,1,16,3-4,0-0,75.0%,1-2,50.0%,2,4,6,1,0,1,0,7,11
@ Real Valladolid,17 feb 2024,P  84-79,8,12,4,22,4-8,0-0,50.0%,0-0,-,3,9,12,4,1,1,0,8,20
vs Fuenlabrada,10 feb 2024,G  81-74,12,3,2,17,5-5,0-0,100.0%,2-3,66.7%,0,3,3,2,0,0,0,12,16
@ San Pablo Burgos,3 feb 2024,P  88-69,9,6,0,21,3-7,0-0,42.9%,3-4,75.0%,3,3,6,0,0,2,0,9,8
vs CSM Petrolul Ploiesti,19 ene 2024,G  86-79,11,5,1,15,1-5,0-0,20.0%,9-12,75.0%,3,2,5,1,0,1,0,11,9
vs CS Valcea 1924,9 ene 2024,P  70-96,5,7,1,20,2-4,0-0,50.0%,1-4,25.0%,2,5,7,1,0,3,0,5,5
vs CSM Constanta (M),5 ene 2024,P  71-91,16,9,2,25,6-7,0-0,85.7%,4-6,66.7%,3,6,9,2,2,4,1,16,23
@ FC Arges Pitesti,26 dic 2023,P  91-62,12,6,0,18,3-5,0-0,60.0%,6-8,75.0%,2,4,6,0,0,3,1,12,12
@ CSM Constanta (M),19 dic 2023,G  86-93,14,8,1,25,3-5,0-0,60.0%,8-12,66.7%,2,6,8,1,0,2,0,14,15
vs CSU Sibiu,15 dic 2023,P  76-79,6,3,1,13,3-4,0-0,75.0%,0-0,-,1,2,3,1,0,0,1,6,10
@ CSM CSU Oradea,8 dic 2023,P  90-73,6,3,0,9,2-2,0-0,100.0%,2-2,100.0%,1,2,3,0,0,0,0,6,9
@ CS Valcea 1924,29 nov 2023,G  77-78,7,6,0,21,3-6,0-0,50.0%,1-2,50.0%,2,4,6,0,0,1,4,7,12
@ CSM 2007 Focsani,24 nov 2023,G  74-81,0,3,1,14,0-3,0-0,0.0%,0-0,-,1,2,3,1,0,3,0,0,-2
@ CSM Petrolul Ploiesti,16 nov 2023,G  74-86,4,7,1,24,2-4,0-0,50.0%,0-0,-,1,6,7,1,0,1,0,4,9
vs CSM 2007 Focsani,12 nov 2023,G  71-64,26,13,4,34,12-13,0-1,85.7%,2-3,66.7%,3,10,13,4,1,2,1,26,40
vs CSM Targu Mures,9 nov 2023,P  69-70,10,10,1,24,3-7,0-0,42.9%,4-4,100.0%,3,7,10,1,0,2,0,10,15
vs FC Arges Pitesti,27 oct 2023,P  80-82,6,3,2,19,3-5,0-0,60.0%,0-0,-,2,1,3,2,0,4,0,6,5
@ CSU Sibiu,13 oct 2023,P  68-63,2,2,2,16,1-5,0-0,20.0%,0-0,-,1,1,2,2,0,1,0,2,1
vs CSM CSU Oradea,10 oct 2023,P  69-74,8,8,0,25,3-6,0-0,50.0%,2-2,100.0%,2,6,8,0,0,2,0,8,11
