PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Real Betis,15 dic 2023,P  80-70,2,1,0,7,1-1,0-0,100.0%,0-0,-,0,1,1,0,1,1,0,2,3
vs Caceres,9 dic 2023,G  95-75,4,4,1,20,2-4,0-0,50.0%,0-0,-,0,4,4,1,1,0,0,4,8
@ Movistar Estudiantes,3 dic 2023,P  101-61,6,4,1,12,2-3,0-0,66.7%,2-2,100.0%,0,4,4,1,0,0,0,6,10
vs Melilla Ciudad Del Deporte 1,29 nov 2023,G  75-69,11,2,2,18,3-3,0-0,100.0%,5-9,55.6%,1,1,2,2,1,0,1,11,13
@ UBU Tizona Burgos,18 nov 2023,P  93-84,0,1,0,14,0-1,0-0,0.0%,0-0,-,0,1,1,0,1,3,0,0,-2
vs Real Valladolid,12 nov 2023,P  81-82,7,2,0,22,3-5,0-0,60.0%,1-1,100.0%,2,0,2,0,0,1,0,7,6
vs San Pablo Burgos,5 nov 2023,P  72-84,10,5,0,20,5-8,0-0,62.5%,0-0,-,2,3,5,0,0,0,1,10,13
@ HLA Alicante,1 nov 2023,P  89-79,4,2,0,10,2-3,0-0,66.7%,0-0,-,1,1,2,0,0,1,0,4,4
vs Hiopos Lleida,28 oct 2023,G  75-63,4,7,1,21,2-3,0-0,66.7%,0-0,-,2,5,7,1,1,3,0,4,9
vs Ourense,14 oct 2023,P  76-80,1,6,1,18,0-2,0-0,0.0%,1-4,25.0%,1,5,6,1,0,0,0,1,3
@ Fuenlabrada,7 oct 2023,G  73-78,4,1,0,12,2-2,0-0,100.0%,0-0,-,1,0,1,0,0,3,0,4,2
