PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ UBU Tizona Burgos,10 may 2024,P  110-76,0,1,0,7,0-0,0-1,0.0%,0-0,-,0,1,1,0,0,1,0,0,-1
vs Ourense,5 may 2024,P  78-82,0,1,0,3,0-0,0-0,-,0-0,-,1,0,1,0,0,1,0,0,0
vs Amics Castello,21 abr 2024,P  93-96,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Grupo Alega Cantabria,10 abr 2024,G  99-84,0,0,0,2,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Alimerka Oviedo,17 mar 2024,P  78-81,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Caceres,13 mar 2024,G  78-76,0,0,0,3,0-0,0-0,-,0-0,-,0,0,0,0,1,0,0,0,1
@ Real Valladolid,8 mar 2024,P  86-72,3,1,0,6,1-1,0-0,100.0%,1-4,25.0%,0,1,1,0,0,0,0,3,1
vs Leyma Coruña,3 mar 2024,P  88-94,0,0,0,5,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ Gipuzkoa Basket,18 feb 2024,P  84-66,5,3,0,19,1-2,1-2,50.0%,0-0,-,1,2,3,0,0,0,0,5,6
vs HLA Alicante,11 feb 2024,P  69-86,0,0,0,7,0-1,0-0,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
@ Movistar Estudiantes,4 feb 2024,P  84-59,0,2,1,10,0-0,0-1,0.0%,0-0,-,0,2,2,1,0,0,0,0,2
vs San Pablo Burgos,21 ene 2024,P  62-79,0,2,2,16,0-0,0-0,-,0-0,-,1,1,2,2,0,0,0,0,4
vs UBU Tizona Burgos,12 ene 2024,P  61-78,4,4,1,13,1-2,0-0,50.0%,2-2,100.0%,2,2,4,1,2,2,0,4,8
@ Grupo Alega Cantabria,7 ene 2024,G  71-75,1,6,0,13,0-1,0-0,0.0%,1-2,50.0%,2,4,6,0,0,1,0,1,4
@ Hiopos Lleida,29 dic 2023,P  79-72,0,0,0,4,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Fuenlabrada,21 dic 2023,P  58-67,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ Leyma Coruña,15 dic 2023,P  100-77,2,1,0,5,1-1,0-0,100.0%,0-0,-,0,1,1,0,0,1,0,2,2
vs Gipuzkoa Basket,2 dic 2023,P  56-76,0,2,0,3,0-0,0-0,-,0-0,-,1,1,2,0,0,0,0,0,2
@ Alimerka Oviedo,28 nov 2023,P  80-59,2,3,1,8,1-1,0-0,100.0%,0-0,-,3,0,3,1,0,1,0,2,5
@ San Pablo Burgos,11 nov 2023,P  83-66,2,3,1,16,0-2,0-0,0.0%,2-2,100.0%,2,1,3,1,0,1,0,2,3
vs Movistar Estudiantes,5 nov 2023,P  73-77,2,0,0,5,1-1,0-0,100.0%,0-0,-,0,0,0,0,0,0,0,2,2
@ Caceres,1 nov 2023,P  85-78,4,1,0,5,2-2,0-0,100.0%,0-0,-,1,0,1,0,0,0,0,4,5
vs Hestia Menorca,29 oct 2023,G  64-55,0,3,0,7,0-1,0-0,0.0%,0-0,-,2,1,3,0,0,0,0,0,2
@ Ourense,21 oct 2023,P  68-51,3,1,3,8,1-1,0-0,100.0%,1-1,100.0%,1,0,1,3,0,0,1,3,8
vs Real Betis,15 oct 2023,G  62-56,0,0,0,2,0-0,0-0,-,0-0,-,0,0,0,0,0,1,0,0,-1
@ HLA Alicante,6 oct 2023,P  92-56,0,1,1,10,0-0,0-1,0.0%,0-0,-,0,1,1,1,0,2,0,0,-1
