PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs C.B. Moron,6 abr 2024,G  70-69,7,5,0,13,3-5,0-0,60.0%,1-3,33.3%,3,2,5,0,0,0,0,7,8
@ Zornotza,30 mar 2024,P  97-83,12,10,0,19,4-8,1-1,55.6%,1-3,33.3%,5,5,10,0,1,2,2,12,17
@ Almansa Con Afanion,27 mar 2024,G  57-78,6,6,1,21,3-5,0-0,60.0%,0-0,-,4,2,6,1,0,1,2,6,12
vs La Roda,16 mar 2024,P  71-81,0,4,1,11,0-3,0-0,0.0%,0-2,0.0%,4,0,4,1,0,2,0,0,-2
@ Huelva Comercio Viridis,10 mar 2024,P  93-86,0,2,0,8,0-2,0-0,0.0%,0-0,-,1,1,2,0,0,0,0,0,0
vs Ciudad de Huelva,2 mar 2024,P  86-95,9,0,0,12,4-7,0-0,57.1%,1-1,100.0%,0,0,0,0,1,0,0,9,7
@ Biele ISB,17 feb 2024,P  80-77,3,1,0,10,1-1,0-0,100.0%,1-2,50.0%,1,0,1,0,0,1,1,3,3
vs Juventud Alcala,10 feb 2024,G  68-67,6,1,0,19,3-5,0-0,60.0%,0-1,0.0%,1,0,1,0,0,4,2,6,2
@ CB Zamora,4 feb 2024,P  111-76,8,4,0,16,1-4,1-3,28.6%,3-3,100.0%,2,2,4,0,0,1,0,8,6
vs Albacete,28 ene 2024,P  63-81,5,3,0,14,1-4,1-1,40.0%,0-0,-,2,1,3,0,1,1,0,5,5
@ Clinica Ponferrada,13 ene 2024,G  90-94,5,5,0,9,2-3,0-0,66.7%,1-2,50.0%,1,4,5,0,0,2,0,5,6
vs Algeciras,6 ene 2024,P  58-59,6,3,0,13,3-7,0-0,42.9%,0-0,-,1,2,3,0,1,1,1,6,6
vs Fuenlabrada,21 dic 2023,P  58-67,0,0,0,8,0-1,0-0,0.0%,0-0,-,0,0,0,0,0,2,0,0,-3
@ Leyma Coruña,15 dic 2023,P  100-77,2,0,1,17,1-3,0-0,33.3%,0-0,-,0,0,0,1,0,1,1,2,1
vs Real Valladolid,10 dic 2023,P  69-77,1,1,0,21,0-0,0-0,-,1-2,50.0%,0,1,1,0,0,1,2,1,2
vs Gipuzkoa Basket,2 dic 2023,P  56-76,0,4,0,8,0-0,0-0,-,0-0,-,1,3,4,0,0,0,0,0,4
@ Alimerka Oviedo,28 nov 2023,P  80-59,8,5,0,17,4-6,0-1,57.1%,0-0,-,3,2,5,0,1,3,0,8,8
vs Melilla Ciudad Del Deporte 1,24 nov 2023,P  62-64,0,0,0,5,0-0,0-0,-,0-0,-,0,0,0,0,0,1,0,0,-1
@ Amics Castello,17 nov 2023,P  79-72,6,2,2,12,3-4,0-0,75.0%,0-0,-,1,1,2,2,0,0,0,6,9
