PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Metros de Santiago,16 ago 2024,P  83-90,9,4,2,22,3-5,0-4,33.3%,3-3,100.0%,,,4,2,0,2,0,9,3
vs Reales de La Vega,13 ago 2024,P  90-102,19,3,3,30,3-5,3-6,54.5%,4-5,80.0%,,,3,3,0,3,1,19,14
@ Cañeros Del Este,11 ago 2024,P  100-92,19,4,5,34,1-3,3-4,57.1%,8-9,88.9%,,,4,5,1,2,0,19,19
vs Titanes Licey,10 ago 2024,G  94-89,24,5,2,26,5-8,2-2,70.0%,8-8,100.0%,,,5,2,0,5,0,24,18
vs Marineros de Puerto Plata,7 ago 2024,G  107-85,19,2,4,21,4-6,3-5,63.6%,2-3,66.7%,,,2,4,0,2,0,19,16
@ Metros de Santiago,6 ago 2024,P  95-82,13,2,2,22,4-7,1-2,55.6%,2-3,66.7%,,,2,2,1,3,0,13,8
@ Reales de La Vega,4 ago 2024,P  85-71,11,7,4,25,2-7,2-7,28.6%,1-1,100.0%,,,7,4,1,2,0,11,4
vs Cañeros Del Este,1 ago 2024,G  101-75,16,3,2,26,2-3,3-6,55.6%,3-3,100.0%,,,3,2,0,2,0,16,12
@ Titanes Licey,31 jul 2024,G  91-93,18,6,3,25,6-9,0-3,50.0%,6-11,54.5%,,,6,3,4,4,0,18,10
vs Leones de Santo Domingo,28 jul 2024,G  99-92,11,1,0,26,2-5,1-1,50.0%,4-4,100.0%,,,1,0,1,3,0,11,6
vs Reales de La Vega,27 jul 2024,G  93-75,15,5,6,32,5-8,0-4,41.7%,5-5,100.0%,,,5,6,4,4,0,15,14
@ Soles de Santo Domingo Este,25 jul 2024,G  101-119,23,1,2,32,5-8,3-5,61.5%,4-4,100.0%,,,1,2,3,1,0,23,22
@ Titanes Licey,18 jul 2024,P  88-77,5,5,3,24,1-2,0-7,11.1%,3-4,75.0%,,,5,3,1,2,0,5,-2
vs Marineros de Puerto Plata,14 jul 2024,G  83-73,23,6,3,30,2-5,4-7,50.0%,7-8,87.5%,,,6,3,0,1,0,23,18
vs Caceres,10 may 2024,G  80-62,26,3,2,25,4-7,5-6,69.2%,3-5,60.0%,0.0,3.0,3,2,0,2,0,26,23
@ Hestia Menorca,4 may 2024,G  75-84,18,4,2,23,4-6,1-3,55.6%,7-7,100.0%,1.0,3.0,4,2,1,2,0,18,19
vs Real Valladolid,26 abr 2024,G  70-69,13,7,4,24,2-8,1-4,25.0%,6-7,85.7%,3.0,4.0,7,4,3,3,0,13,14
@ Gipuzkoa Basket,21 abr 2024,G  93-99,22,5,1,24,2-5,1-3,37.5%,15-16,93.8%,1.0,4.0,5,1,2,3,0,22,21
vs San Pablo Burgos,14 abr 2024,P  76-88,10,2,2,28,2-8,0-2,20.0%,6-7,85.7%,2.0,0.0,2,2,2,2,0,10,5
vs Hiopos Lleida,10 abr 2024,P  73-74,14,1,0,21,3-6,0-0,50.0%,8-8,100.0%,0.0,1.0,1,0,1,2,0,14,11
@ Alimerka Oviedo,6 abr 2024,P  86-81,11,8,3,36,4-12,0-3,26.7%,3-4,75.0%,0.0,8.0,8,3,1,3,0,11,8
@ HLA Alicante,29 mar 2024,G  73-78,19,7,1,34,5-7,2-5,58.3%,3-4,75.0%,2.0,5.0,7,1,2,2,1,19,22
vs Rioverde Clavijo,23 mar 2024,G  94-85,26,4,1,26,9-12,2-2,78.6%,2-3,66.7%,2.0,2.0,4,1,0,1,0,26,26
@ Grupo Alega Cantabria,17 mar 2024,G  67-78,3,5,1,23,0-2,0-1,0.0%,3-4,75.0%,1.0,4.0,5,1,0,2,0,3,3
@ UBU Tizona Burgos,13 mar 2024,P  101-80,26,1,0,26,7-11,2-7,50.0%,6-8,75.0%,0.0,1.0,1,0,0,1,0,26,15
vs Melilla Ciudad Del Deporte 1,8 mar 2024,G  86-70,22,1,2,24,5-7,2-2,77.8%,6-6,100.0%,0.0,1.0,1,2,0,3,0,22,20
vs Fuenlabrada,3 mar 2024,G  79-78,9,2,1,22,2-4,1-3,42.9%,2-2,100.0%,1.0,1.0,2,1,1,2,0,9,7
@ Leyma Coruña,18 feb 2024,P  92-78,14,4,1,31,2-7,2-5,33.3%,4-4,100.0%,1.0,3.0,4,1,1,0,0,14,12
vs Ourense,9 feb 2024,G  72-48,18,5,2,30,3-6,3-4,60.0%,3-3,100.0%,1.0,4.0,5,2,0,2,0,18,19
