PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Eisbären Bremerhaven,27 abr 2024,P  94-75,12,0,4,20,2-3,2-4,57.1%,2-2,100.0%,0,0,0,4,1,2,0,12,12
vs Rasta Vechta II,20 abr 2024,G  104-78,10,2,4,22,2-3,2-3,66.7%,0-0,-,0,2,2,4,0,0,0,10,14
@ ART Giants Dusseldorf,13 abr 2024,G  73-74,6,1,2,19,2-8,0-3,18.2%,2-2,100.0%,0,1,1,2,0,3,0,6,-3
vs JobStairs GIESSEN 46ers,7 abr 2024,G  89-71,10,1,3,19,3-6,1-3,44.4%,1-2,50.0%,0,1,1,3,3,3,0,10,8
@ PS Karlsruhe LIONS,3 abr 2024,G  92-96,17,3,4,25,3-5,3-4,66.7%,2-2,100.0%,0,3,3,4,2,2,0,17,21
vs Nurnberg Falcons BC,30 mar 2024,G  101-85,10,3,5,24,1-5,2-5,30.0%,2-2,100.0%,0,3,3,5,1,2,0,10,10
@ BBC Bayreuth,23 mar 2024,G  76-99,20,3,4,32,3-7,4-9,43.8%,2-2,100.0%,0,3,3,4,2,0,0,20,20
vs VfL SparkassenStars Bochum,16 mar 2024,G  97-75,21,2,4,34,5-9,3-5,57.1%,2-2,100.0%,1,1,2,4,0,2,0,21,19
@ Artland Dragons,9 mar 2024,P  97-90,15,2,7,29,5-8,1-4,50.0%,2-2,100.0%,0,2,2,7,0,2,0,15,16
vs Phoenix Hagen,3 mar 2024,G  90-75,21,4,8,28,6-13,1-6,36.8%,6-7,85.7%,0,4,4,8,0,2,0,21,18
vs Fraport Skyliners,1 mar 2024,G  90-55,21,4,7,29,6-9,3-7,56.3%,0-0,-,0,4,4,7,2,4,0,21,23
@ EPG Baskets Koblenz,16 feb 2024,P  66-63,14,1,0,24,6-11,0-1,50.0%,2-3,66.7%,0,1,1,0,1,0,0,14,9
vs Uni Baskets Münster,10 feb 2024,G  103-94,9,1,3,22,3-6,0-2,37.5%,3-4,75.0%,0,1,1,3,0,1,0,9,6
@ Baskets Paderborn,7 feb 2024,G  93-94,19,2,6,32,5-11,1-7,33.3%,6-6,100.0%,0,2,2,6,4,4,0,19,15
@ Science City Jena,3 feb 2024,G  93-101,21,2,4,30,4-9,3-7,43.8%,4-4,100.0%,0,2,2,4,0,0,0,21,18
@ Kirchheim Knights,27 ene 2024,G  65-82,7,3,5,23,3-5,0-6,27.3%,1-2,50.0%,0,3,3,5,0,1,0,7,5
@ Fuenlabrada,30 dic 2023,P  81-71,3,1,1,16,0-4,1-1,20.0%,0-0,-,0,1,1,1,1,1,0,3,1
@ Caceres,21 dic 2023,P  64-61,9,2,4,22,3-4,1-4,50.0%,0-0,-,0,2,2,4,0,0,0,9,11
vs Grupo Alega Cantabria,15 dic 2023,G  80-70,16,2,2,32,4-7,1-4,45.5%,5-5,100.0%,0,2,2,2,2,1,0,16,15
@ Amics Castello,8 dic 2023,G  88-100,14,2,8,26,3-4,2-4,62.5%,2-2,100.0%,0,2,2,8,1,1,0,14,21
vs Alimerka Oviedo,3 dic 2023,P  85-94,19,4,5,36,5-10,3-7,47.1%,0-0,-,2,2,4,5,1,1,0,19,19
vs Hestia Menorca,29 nov 2023,G  88-57,8,3,1,18,2-5,1-2,42.9%,1-2,50.0%,0,3,3,1,1,1,0,8,7
@ Hiopos Lleida,24 nov 2023,P  88-75,8,3,4,32,1-1,2-6,42.9%,0-0,-,0,3,3,4,0,1,0,8,10
@ Ourense,18 nov 2023,P  84-83,10,3,8,27,1-4,2-3,42.9%,2-2,100.0%,0,3,3,8,0,0,0,10,17
vs UBU Tizona Burgos,10 nov 2023,P  84-85,12,3,4,24,1-6,3-7,30.8%,1-3,33.3%,2,1,3,4,3,5,0,12,6
@ Real Valladolid,4 nov 2023,P  72-66,6,0,5,22,0-4,2-3,28.6%,0-0,-,0,0,0,5,0,1,0,6,5
vs Gipuzkoa Basket,1 nov 2023,P  81-83,8,1,4,23,3-6,0-2,37.5%,2-2,100.0%,0,1,1,4,4,2,0,8,10
@ Melilla Ciudad Del Deporte 1,27 oct 2023,G  83-87,2,1,4,15,1-3,0-2,20.0%,0-0,-,0,1,1,4,1,1,0,2,3
