PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Caceres,10 may 2024,G  80-62,3,1,0,8,0-2,1-1,33.3%,0-0,-,1,0,1,0,1,0,0,3,3
@ Hestia Menorca,4 may 2024,G  75-84,8,1,0,11,1-1,2-4,60.0%,0-0,-,0,1,1,0,0,1,0,8,6
vs Real Valladolid,26 abr 2024,G  70-69,3,1,1,19,0-0,1-3,33.3%,0-0,-,0,1,1,1,2,1,0,3,4
@ Gipuzkoa Basket,21 abr 2024,G  93-99,3,2,1,16,0-1,1-3,25.0%,0-0,-,0,2,2,1,2,1,0,3,4
vs San Pablo Burgos,14 abr 2024,P  76-88,9,3,0,21,0-1,3-7,37.5%,0-0,-,1,2,3,0,0,1,0,9,6
vs Hiopos Lleida,10 abr 2024,P  73-74,13,2,1,24,1-1,3-8,44.4%,2-2,100.0%,2,0,2,1,0,1,0,13,10
@ Alimerka Oviedo,6 abr 2024,P  86-81,11,1,3,22,1-1,3-6,57.1%,0-0,-,0,1,1,3,1,0,0,11,13
@ HLA Alicante,29 mar 2024,G  73-78,0,2,4,20,0-0,0-1,0.0%,0-0,-,0,2,2,4,0,1,0,0,4
vs Rioverde Clavijo,23 mar 2024,G  94-85,6,1,0,17,0-0,2-3,66.7%,0-0,-,0,1,1,0,2,0,0,6,8
@ Grupo Alega Cantabria,17 mar 2024,G  67-78,7,2,2,20,0-1,2-7,25.0%,1-2,50.0%,0,2,2,2,0,0,0,7,4
@ UBU Tizona Burgos,13 mar 2024,P  101-80,10,2,0,19,1-2,1-5,28.6%,5-7,71.4%,0,2,2,0,0,1,0,10,4
vs Melilla Ciudad Del Deporte 1,8 mar 2024,G  86-70,0,0,2,16,0-2,0-3,0.0%,0-0,-,0,0,0,2,1,1,0,0,-3
vs Fuenlabrada,3 mar 2024,G  79-78,12,3,0,19,2-2,1-4,50.0%,5-5,100.0%,1,2,3,0,0,2,0,12,10
@ Leyma Coruña,18 feb 2024,P  92-78,2,2,0,13,1-3,0-4,14.3%,0-0,-,1,1,2,0,0,0,0,2,-2
vs Ourense,9 feb 2024,G  72-48,11,0,1,21,1-3,3-6,44.4%,0-0,-,0,0,0,1,1,1,0,11,7
vs Amics Castello,2 feb 2024,G  98-77,11,1,1,18,1-1,3-7,50.0%,0-0,-,0,1,1,1,0,0,1,11,10
@ Movistar Estudiantes,21 ene 2024,P  93-87,9,2,0,20,0-0,3-4,75.0%,0-0,-,0,2,2,0,0,1,0,9,9
@ San Pablo Burgos,12 ene 2024,G  82-94,18,3,1,23,0-0,6-9,66.7%,0-0,-,0,3,3,1,2,1,0,18,20
vs HLA Alicante,7 ene 2024,G  97-78,9,4,1,18,0-0,3-5,60.0%,0-0,-,2,2,4,1,0,0,0,9,12
@ Fuenlabrada,30 dic 2023,P  81-71,9,1,0,17,1-2,2-5,42.9%,1-2,50.0%,0,1,1,0,0,1,0,9,4
@ Caceres,21 dic 2023,P  64-61,5,5,0,22,0-3,1-5,12.5%,2-2,100.0%,1,4,5,0,0,0,0,5,3
vs Grupo Alega Cantabria,15 dic 2023,G  80-70,9,1,0,22,0-0,3-9,33.3%,0-0,-,0,1,1,0,1,1,0,9,4
@ Amics Castello,8 dic 2023,G  88-100,14,4,2,27,1-1,4-7,62.5%,0-0,-,2,2,4,2,1,1,0,14,17
vs Alimerka Oviedo,3 dic 2023,P  85-94,16,2,0,26,2-3,4-8,54.5%,0-0,-,0,2,2,0,0,0,0,16,13
vs Hestia Menorca,29 nov 2023,G  88-57,9,3,0,20,0-1,3-3,75.0%,0-0,-,1,2,3,0,1,1,0,9,11
@ Hiopos Lleida,24 nov 2023,P  88-75,8,2,2,16,1-1,1-2,66.7%,3-3,100.0%,0,2,2,2,0,2,0,8,9
@ Ourense,18 nov 2023,P  84-83,9,2,0,16,0-1,3-3,75.0%,0-0,-,0,2,2,0,1,0,0,9,11
vs UBU Tizona Burgos,10 nov 2023,P  84-85,0,1,2,18,0-1,0-0,0.0%,0-0,-,1,0,1,2,0,2,0,0,0
@ Real Valladolid,4 nov 2023,P  72-66,3,0,0,15,0-1,1-2,33.3%,0-0,-,0,0,0,0,0,0,0,3,1
vs Gipuzkoa Basket,1 nov 2023,P  81-83,9,2,1,22,1-2,1-3,40.0%,4-4,100.0%,1,1,2,1,1,0,1,9,11
@ Melilla Ciudad Del Deporte 1,27 oct 2023,G  83-87,12,2,1,26,3-3,2-9,41.7%,0-0,-,1,1,2,1,1,0,0,12,9
vs Movistar Estudiantes,20 oct 2023,P  77-86,13,5,3,28,2-5,3-8,38.5%,0-0,-,2,3,5,3,1,0,0,13,14
@ Rioverde Clavijo,15 oct 2023,P  62-56,7,1,0,24,0-1,1-5,16.7%,4-5,80.0%,1,0,1,0,2,0,0,7,4
vs Leyma Coruña,6 oct 2023,P  77-81,11,1,0,15,2-2,2-6,50.0%,1-1,100.0%,1,0,1,0,0,0,0,11,8
