PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Real Valladolid,10 may 2024,G  85-58,8,4,0,17,1-4,1-2,33.3%,3-3,100.0%,0,4,4,0,0,5,0,8,3
@ San Pablo Burgos,4 may 2024,P  81-69,9,6,2,24,3-7,1-4,36.4%,0-0,-,0,6,6,2,0,3,0,9,7
vs Gipuzkoa Basket,27 abr 2024,G  81-71,7,5,1,25,2-5,1-6,27.3%,0-0,-,2,3,5,1,1,1,0,7,5
@ Hestia Menorca,20 abr 2024,G  85-88,17,5,2,30,4-7,2-5,50.0%,3-3,100.0%,1,4,5,2,2,2,0,17,18
vs Rioverde Clavijo,14 abr 2024,G  78-75,13,3,3,23,4-7,1-4,45.5%,2-3,66.7%,0,3,3,3,0,1,0,13,11
@ Caceres,10 abr 2024,G  71-97,18,1,0,15,2-3,4-5,75.0%,2-2,100.0%,0,1,1,0,0,0,0,18,17
vs HLA Alicante,6 abr 2024,G  77-71,12,1,0,25,3-4,2-5,55.6%,0-0,-,0,1,1,0,0,2,0,12,7
vs Ourense,29 mar 2024,G  76-66,16,7,3,30,4-8,1-6,35.7%,5-6,83.3%,1,6,7,3,1,0,0,16,17
@ Hiopos Lleida,22 mar 2024,P  90-73,22,4,2,31,3-5,4-6,63.6%,4-5,80.0%,0,4,4,2,1,4,1,22,21
vs Leyma Coruña,16 mar 2024,G  88-82,5,8,5,30,2-7,0-1,25.0%,1-3,33.3%,2,6,8,5,0,0,1,5,11
@ Movistar Estudiantes,12 mar 2024,P  98-83,14,2,0,30,5-8,1-7,40.0%,1-2,50.0%,0,2,2,0,0,0,0,14,6
vs Alimerka Oviedo,9 mar 2024,G  74-69,23,2,3,28,1-3,6-7,70.0%,3-3,100.0%,0,2,2,3,0,1,0,23,24
@ Real Betis,3 mar 2024,P  79-78,14,2,1,22,3-5,1-3,50.0%,5-5,100.0%,2,0,2,1,1,2,0,14,12
