PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Rioverde Clavijo,14 abr 2024,G  78-75,0,0,0,2,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ Caceres,10 abr 2024,G  71-97,0,0,0,7,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs HLA Alicante,6 abr 2024,G  77-71,2,1,0,12,0-0,0-1,0.0%,2-2,100.0%,1,0,1,0,0,0,0,2,2
vs Ourense,29 mar 2024,G  76-66,0,2,0,4,0-0,0-0,-,0-2,0.0%,0,2,2,0,0,1,0,0,-1
@ Hiopos Lleida,22 mar 2024,P  90-73,0,2,0,9,0-0,0-0,-,0-0,-,1,1,2,0,1,0,1,0,4
vs Leyma Coruña,16 mar 2024,G  88-82,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,1,0,0,-1
vs UBU Tizona Burgos,17 feb 2024,P  79-85,1,0,0,3,0-0,0-1,0.0%,1-2,50.0%,0,0,0,0,0,0,0,1,-1
@ Grupo Alega Cantabria,10 feb 2024,P  81-74,0,0,1,10,0-0,0-1,0.0%,0-0,-,0,0,0,1,2,2,0,0,0
vs Melilla Ciudad Del Deporte 1,3 feb 2024,G  93-74,0,4,0,7,0-1,0-2,0.0%,0-0,-,1,3,4,0,0,2,0,0,-1
@ Amics Castello,19 ene 2024,P  77-73,5,2,0,11,2-3,0-2,40.0%,1-1,100.0%,2,0,2,0,3,0,0,5,7
vs Hestia Menorca,14 ene 2024,P  75-81,3,4,0,15,0-1,1-1,50.0%,0-0,-,2,2,4,0,0,1,0,3,5
@ Real Valladolid,6 ene 2024,P  87-72,1,6,0,16,0-1,0-1,0.0%,1-2,50.0%,2,4,6,0,1,1,0,1,4
vs Real Betis,30 dic 2023,G  81-71,0,3,0,14,0-0,0-0,-,0-4,0.0%,1,2,3,0,0,0,0,0,-1
@ Rioverde Clavijo,21 dic 2023,G  58-67,2,3,0,23,1-2,0-0,50.0%,0-0,-,2,1,3,0,0,0,0,2,4
vs Hiopos Lleida,16 dic 2023,P  73-75,4,1,1,12,2-2,0-0,100.0%,0-0,-,0,1,1,1,0,2,0,4,4
@ UBU Tizona Burgos,8 dic 2023,P  119-77,4,1,1,16,2-2,0-0,100.0%,0-2,0.0%,0,1,1,1,1,0,0,4,5
@ Leyma Coruña,3 dic 2023,G  83-86,4,7,0,29,1-3,0-1,25.0%,2-4,50.0%,0,7,7,0,1,1,1,4,7
vs Caceres,29 nov 2023,G  94-67,17,13,2,29,2-5,4-7,50.0%,1-2,50.0%,2,11,13,2,1,1,0,17,25
@ Alimerka Oviedo,25 nov 2023,P  81-60,0,0,0,1,0-1,0-0,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
@ HLA Alicante,17 nov 2023,P  83-79,2,1,1,6,1-2,0-1,33.3%,0-0,-,1,0,1,1,0,0,0,2,2
vs Movistar Estudiantes,11 nov 2023,P  55-80,2,6,0,28,1-3,0-0,33.3%,0-1,0.0%,2,4,6,0,1,0,0,2,6
@ Ourense,4 nov 2023,G  68-80,0,5,1,13,0-2,0-1,0.0%,0-0,-,1,4,5,1,0,0,0,0,3
vs Amics Castello,31 oct 2023,P  85-98,2,4,1,13,1-3,0-0,33.3%,0-0,-,1,3,4,1,0,0,0,2,5
@ Gipuzkoa Basket,27 oct 2023,P  81-70,4,3,0,10,2-2,0-0,100.0%,0-0,-,0,3,3,0,0,0,0,4,7
vs San Pablo Burgos,21 oct 2023,P  64-72,5,2,0,16,1-3,0-0,33.3%,3-6,50.0%,0,2,2,0,0,0,0,5,2
@ Melilla Ciudad Del Deporte 1,13 oct 2023,G  65-87,8,5,2,17,2-3,1-3,50.0%,1-2,50.0%,1,4,5,2,0,0,0,8,11
vs Grupo Alega Cantabria,7 oct 2023,P  73-78,1,5,1,24,0-4,0-0,0.0%,1-2,50.0%,3,2,5,1,0,1,0,1,1
