PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs San Pablo Burgos,10 may 2024,P  73-83,9,8,1,26,4-8,0-2,40.0%,1-2,50.0%,4,4,8,1,0,2,1,9,10
@ Gipuzkoa Basket,3 may 2024,P  97-87,16,4,1,32,6-6,1-1,100.0%,1-4,25.0%,1,3,4,1,0,0,0,16,18
@ Amics Castello,28 abr 2024,P  70-64,9,5,2,26,4-7,0-1,50.0%,1-2,50.0%,2,3,5,2,1,2,0,9,10
vs Leyma Coruña,19 abr 2024,G  84-74,18,7,2,30,8-11,0-2,61.5%,2-3,66.7%,3,4,7,2,1,2,2,18,22
@ Hiopos Lleida,14 abr 2024,P  91-77,9,6,0,26,4-6,0-2,50.0%,1-2,50.0%,3,3,6,0,1,2,1,9,10
vs Ourense,10 abr 2024,G  91-82,13,4,2,28,4-8,1-3,45.5%,2-4,50.0%,1,3,4,2,3,3,0,13,11
@ Fuenlabrada,6 abr 2024,P  77-71,13,5,0,23,4-7,1-4,45.5%,2-4,50.0%,1,4,5,0,0,3,0,13,7
vs Real Betis,29 mar 2024,P  73-78,10,3,3,31,5-5,0-2,71.4%,0-0,-,2,1,3,3,2,2,0,10,14
@ UBU Tizona Burgos,24 mar 2024,P  90-75,6,6,1,25,1-5,0-1,16.7%,4-6,66.7%,0,6,6,1,1,1,0,6,6
vs Movistar Estudiantes,16 mar 2024,G  75-65,9,5,0,27,2-5,0-3,25.0%,5-6,83.3%,2,3,5,0,2,2,0,9,7
@ Alimerka Oviedo,12 mar 2024,P  89-83,0,5,2,16,0-1,0-2,0.0%,0-4,0.0%,1,4,5,2,1,1,0,0,0
vs Hestia Menorca,8 mar 2024,G  67-61,8,1,0,23,3-5,0-1,50.0%,2-3,66.7%,1,0,1,0,0,2,0,8,3
@ Grupo Alega Cantabria,3 mar 2024,G  65-82,15,4,0,24,4-6,1-1,71.4%,4-4,100.0%,1,3,4,0,0,1,1,15,17
vs Melilla Ciudad Del Deporte 1,16 feb 2024,G  90-66,10,3,1,18,4-5,0-0,80.0%,2-3,66.7%,1,2,3,1,0,1,0,10,11
@ Rioverde Clavijo,11 feb 2024,G  69-86,14,1,2,20,2-3,2-2,80.0%,4-4,100.0%,0,1,1,2,0,1,0,14,15
vs Caceres,2 feb 2024,G  88-73,0,4,1,15,0-2,0-2,0.0%,0-0,-,1,3,4,1,0,2,1,0,0
@ Real Valladolid,20 ene 2024,G  69-84,10,6,1,23,3-5,1-2,57.1%,1-2,50.0%,1,5,6,1,1,0,3,10,17
vs Amics Castello,13 ene 2024,G  86-64,9,7,1,18,3-4,1-2,66.7%,0-1,0.0%,0,7,7,1,1,3,0,9,12
@ Real Betis,7 ene 2024,P  97-78,5,4,1,23,2-4,0-2,33.3%,1-2,50.0%,2,2,4,1,1,1,0,5,5
vs UBU Tizona Burgos,30 dic 2023,G  94-89,9,6,2,26,3-7,1-2,44.4%,0-0,-,2,4,6,2,2,3,0,9,11
@ Ourense,20 dic 2023,P  77-68,14,6,3,27,3-4,2-3,71.4%,2-2,100.0%,2,4,6,3,0,0,0,14,21
vs Alimerka Oviedo,15 dic 2023,G  83-73,7,1,3,27,0-1,2-3,50.0%,1-2,50.0%,0,1,1,3,3,1,0,7,10
@ San Pablo Burgos,9 dic 2023,P  98-95,9,2,0,36,2-7,1-3,30.0%,2-2,100.0%,0,2,2,0,0,1,0,9,3
@ Hestia Menorca,3 dic 2023,G  57-76,11,7,1,20,3-4,1-1,80.0%,2-4,50.0%,3,4,7,1,0,1,0,11,15
vs Hiopos Lleida,29 nov 2023,P  74-79,8,3,0,22,2-4,1-2,50.0%,1-2,50.0%,2,1,3,0,1,0,0,8,8
@ Caceres,24 nov 2023,G  75-84,12,4,1,25,5-5,0-0,100.0%,2-2,100.0%,1,3,4,1,1,1,0,12,17
vs Fuenlabrada,17 nov 2023,G  83-79,10,4,1,24,3-3,0-2,60.0%,4-4,100.0%,2,2,4,1,1,2,1,10,13
vs Gipuzkoa Basket,10 nov 2023,G  71-70,8,5,0,29,2-7,0-1,25.0%,4-4,100.0%,3,2,5,0,1,1,1,8,8
@ Melilla Ciudad Del Deporte 1,5 nov 2023,G  69-73,21,7,0,25,3-7,4-4,63.6%,3-4,75.0%,5,2,7,0,0,2,0,21,21
vs Grupo Alega Cantabria,1 nov 2023,G  89-79,20,3,4,35,4-6,4-5,72.7%,0-0,-,1,2,3,4,5,1,0,20,28
@ Movistar Estudiantes,29 oct 2023,P  93-75,8,2,0,10,3-4,0-1,60.0%,2-3,66.7%,2,0,2,0,1,0,0,8,8
vs Real Valladolid,20 oct 2023,P  54-75,0,1,0,15,0-1,0-1,0.0%,0-0,-,0,1,1,0,0,1,0,0,-2
@ Leyma Coruña,15 oct 2023,P  79-74,3,3,1,24,1-4,0-0,25.0%,1-2,50.0%,1,2,3,1,1,1,0,3,3
vs Rioverde Clavijo,6 oct 2023,G  92-56,15,4,1,18,6-6,0-1,85.7%,3-4,75.0%,3,1,4,1,0,1,0,15,17
