PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs San Pablo Burgos,10 may 2024,P  73-83,0,2,1,11,0-2,0-0,0.0%,0-0,-,1,1,2,1,0,0,0,0,1
@ Gipuzkoa Basket,3 may 2024,P  97-87,4,1,0,5,2-2,0-0,100.0%,0-0,-,1,0,1,0,0,0,0,4,5
@ Amics Castello,28 abr 2024,P  70-64,4,3,1,19,2-3,0-0,66.7%,0-0,-,0,3,3,1,0,0,1,4,8
vs Leyma Coruña,19 abr 2024,G  84-74,4,6,0,24,2-4,0-0,50.0%,0-0,-,3,3,6,0,1,2,0,4,7
@ Hiopos Lleida,14 abr 2024,P  91-77,0,1,0,9,0-2,0-0,0.0%,0-0,-,1,0,1,0,0,1,0,0,-2
vs Ourense,10 abr 2024,G  91-82,0,1,1,5,0-0,0-0,-,0-0,-,0,1,1,1,0,2,1,0,1
vs Caceres,2 feb 2024,G  88-73,6,8,3,16,2-2,0-0,100.0%,2-2,100.0%,3,5,8,3,1,0,0,6,18
@ Real Valladolid,20 ene 2024,G  69-84,5,4,1,21,1-3,0-0,33.3%,3-4,75.0%,0,4,4,1,0,3,0,5,4
vs Amics Castello,13 ene 2024,G  86-64,8,7,1,16,4-5,0-0,80.0%,0-0,-,3,4,7,1,0,1,1,8,15
@ Real Betis,7 ene 2024,P  97-78,2,3,0,17,1-3,0-0,33.3%,0-0,-,2,1,3,0,0,1,0,2,2
vs UBU Tizona Burgos,30 dic 2023,G  94-89,4,9,0,19,2-3,0-0,66.7%,0-2,0.0%,1,8,9,0,3,0,0,4,13
vs Alimerka Oviedo,15 dic 2023,G  83-73,3,9,0,16,1-3,0-0,33.3%,1-2,50.0%,3,6,9,0,1,1,1,3,10
@ San Pablo Burgos,9 dic 2023,P  98-95,3,4,0,15,1-1,0-0,100.0%,1-2,50.0%,1,3,4,0,0,1,0,3,5
@ Hestia Menorca,3 dic 2023,G  57-76,6,2,1,17,2-3,0-0,66.7%,2-5,40.0%,2,0,2,1,0,0,0,6,5
vs Hiopos Lleida,29 nov 2023,P  74-79,0,4,1,8,0-2,0-1,0.0%,0-0,-,2,2,4,1,0,1,0,0,1
@ Caceres,24 nov 2023,G  75-84,6,4,0,19,3-3,0-1,75.0%,0-0,-,0,4,4,0,1,1,2,6,11
vs Fuenlabrada,17 nov 2023,G  83-79,2,4,1,16,1-3,0-0,33.3%,0-0,-,0,4,4,1,0,2,0,2,3
vs Gipuzkoa Basket,10 nov 2023,G  71-70,2,5,0,15,1-2,0-0,50.0%,0-0,-,1,4,5,0,0,1,2,2,7
@ Melilla Ciudad Del Deporte 1,5 nov 2023,G  69-73,3,4,1,16,1-2,0-0,50.0%,1-2,50.0%,1,3,4,1,2,1,0,3,7
vs Grupo Alega Cantabria,1 nov 2023,G  89-79,8,8,0,17,3-6,0-0,50.0%,2-2,100.0%,6,2,8,0,0,1,1,8,13
@ Movistar Estudiantes,29 oct 2023,P  93-75,4,6,2,22,2-4,0-0,50.0%,0-0,-,1,5,6,2,0,1,1,4,10
vs Real Valladolid,20 oct 2023,P  54-75,4,3,0,17,2-4,0-0,50.0%,0-0,-,1,2,3,0,1,0,2,4,8
@ Leyma Coruña,15 oct 2023,P  79-74,2,8,0,13,0-0,0-0,-,2-2,100.0%,2,6,8,0,1,2,2,2,11
vs Rioverde Clavijo,6 oct 2023,G  92-56,5,4,1,15,2-3,0-0,66.7%,1-1,100.0%,1,3,4,1,0,0,0,5,9
