PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs San Pablo Burgos,10 may 2024,P  73-83,5,4,2,17,0-1,1-2,33.3%,2-2,100.0%,0,4,4,2,2,1,0,5,10
vs Leyma Coruña,19 abr 2024,G  84-74,14,5,5,27,2-4,2-5,44.4%,4-4,100.0%,0,5,5,5,1,1,0,14,19
@ Hiopos Lleida,14 abr 2024,P  91-77,8,2,1,21,2-5,1-4,33.3%,1-2,50.0%,0,2,2,1,0,0,0,8,4
vs Ourense,10 abr 2024,G  91-82,4,4,9,29,2-4,0-2,33.3%,0-0,-,1,3,4,9,0,0,0,4,13
@ Fuenlabrada,6 abr 2024,P  77-71,14,3,3,23,1-1,3-5,66.7%,3-4,75.0%,1,2,3,3,1,3,0,14,15
vs Real Betis,29 mar 2024,P  73-78,12,4,6,31,1-5,3-8,30.8%,1-2,50.0%,0,4,4,6,0,3,0,12,9
@ UBU Tizona Burgos,24 mar 2024,P  90-75,23,3,4,35,4-4,4-8,66.7%,3-6,50.0%,0,3,3,4,2,4,0,23,21
vs Movistar Estudiantes,16 mar 2024,G  75-65,13,3,6,25,1-1,3-7,50.0%,2-2,100.0%,0,3,3,6,1,3,1,13,17
@ Alimerka Oviedo,12 mar 2024,P  89-83,10,6,4,29,1-3,2-8,27.3%,2-4,50.0%,1,5,6,4,1,2,0,10,9
vs Hestia Menorca,8 mar 2024,G  67-61,9,5,5,27,1-3,2-7,30.0%,1-1,100.0%,0,5,5,5,2,1,0,9,13
@ Grupo Alega Cantabria,3 mar 2024,G  65-82,4,2,3,22,2-5,0-1,33.3%,0-0,-,0,2,2,3,2,1,0,4,6
@ Rioverde Clavijo,11 feb 2024,G  69-86,0,2,3,16,0-0,0-2,0.0%,0-0,-,0,2,2,3,0,3,0,0,0
vs Caceres,2 feb 2024,G  88-73,18,3,4,33,5-8,2-11,36.8%,2-2,100.0%,1,2,3,4,3,0,0,18,16
@ Real Valladolid,20 ene 2024,G  69-84,19,4,5,22,3-4,4-8,58.3%,1-2,50.0%,2,2,4,5,0,0,0,19,22
vs Amics Castello,13 ene 2024,G  86-64,4,1,4,19,1-2,0-3,20.0%,2-3,66.7%,0,1,1,4,1,1,0,4,4
@ Real Betis,7 ene 2024,P  97-78,13,5,2,36,2-5,1-7,25.0%,6-8,75.0%,0,5,5,2,2,1,0,13,10
vs UBU Tizona Burgos,30 dic 2023,G  94-89,26,5,5,28,5-8,3-9,47.1%,7-8,87.5%,2,3,5,5,2,3,0,26,25
@ Ourense,20 dic 2023,P  77-68,5,2,4,24,2-6,0-3,22.2%,1-2,50.0%,0,2,2,4,2,1,0,5,4
vs Alimerka Oviedo,15 dic 2023,G  83-73,16,3,1,21,4-8,1-2,50.0%,5-6,83.3%,2,1,3,1,0,1,0,16,13
@ San Pablo Burgos,9 dic 2023,P  98-95,18,5,7,32,5-8,2-3,63.6%,2-2,100.0%,1,4,5,7,1,0,0,18,27
@ Hestia Menorca,3 dic 2023,G  57-76,5,1,1,19,1-2,1-3,40.0%,0-0,-,0,1,1,1,3,0,0,5,7
vs Hiopos Lleida,29 nov 2023,P  74-79,13,3,2,27,3-5,1-3,50.0%,4-6,66.7%,0,3,3,2,2,4,0,13,10
vs Fuenlabrada,17 nov 2023,G  83-79,8,5,6,31,2-8,0-5,15.4%,4-6,66.7%,1,4,5,6,1,2,0,8,5
vs Gipuzkoa Basket,10 nov 2023,G  71-70,14,3,1,30,2-7,3-9,31.3%,1-2,50.0%,1,2,3,1,4,0,0,14,10
@ Melilla Ciudad Del Deporte 1,5 nov 2023,G  69-73,18,7,5,35,3-5,2-7,41.7%,6-11,54.5%,1,6,7,5,0,3,0,18,15
vs Grupo Alega Cantabria,1 nov 2023,G  89-79,8,3,9,36,1-3,2-7,30.0%,0-2,0.0%,0,3,3,9,4,1,0,8,14
@ Movistar Estudiantes,29 oct 2023,P  93-75,16,1,3,27,3-6,3-4,60.0%,1-3,33.3%,0,1,1,3,1,5,0,16,10
vs Real Valladolid,20 oct 2023,P  54-75,17,6,3,37,3-5,3-12,35.3%,2-2,100.0%,0,6,6,3,2,3,0,17,14
@ Leyma Coruña,15 oct 2023,P  79-74,21,3,6,30,0-2,6-13,40.0%,3-3,100.0%,0,3,3,6,2,1,0,21,22
vs Rioverde Clavijo,6 oct 2023,G  92-56,10,3,6,22,1-4,2-5,33.3%,2-2,100.0%,0,3,3,6,2,1,0,10,14
