PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Hiopos Lleida,10 may 2024,P  105-70,0,0,0,11,0-0,0-2,0.0%,0-0,-,0,0,0,0,0,0,0,0,-2
vs Real Betis,4 may 2024,P  75-84,9,2,0,26,0-1,3-9,30.0%,0-0,-,0,2,2,0,1,2,0,9,3
@ UBU Tizona Burgos,28 abr 2024,G  83-88,0,0,0,4,0-0,0-1,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
vs Fuenlabrada,20 abr 2024,P  85-88,3,0,0,4,0-0,1-3,33.3%,0-0,-,0,0,0,0,0,0,0,3,1
@ Amics Castello,14 abr 2024,G  83-84,0,0,0,3,0-0,0-1,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
@ Melilla Ciudad Del Deporte 1,10 abr 2024,G  74-92,0,0,0,2,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ Leyma Coruña,31 mar 2024,P  105-73,4,1,0,12,0-0,1-1,100.0%,1-3,33.3%,1,0,1,0,0,0,0,4,3
vs Real Valladolid,12 mar 2024,G  76-57,0,1,0,5,0-0,0-3,0.0%,0-0,-,0,1,1,0,0,0,0,0,-2
vs Gipuzkoa Basket,3 mar 2024,G  89-81,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ San Pablo Burgos,17 feb 2024,P  90-69,0,1,0,16,0-0,0-2,0.0%,0-0,-,0,1,1,0,0,0,0,0,-1
vs Alimerka Oviedo,21 ene 2024,G  90-74,0,0,0,5,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Hiopos Lleida,6 ene 2024,P  67-70,0,0,0,4,0-0,0-2,0.0%,0-0,-,0,0,0,0,0,0,0,0,-2
vs Caceres,30 dic 2023,G  86-67,0,0,0,3,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs HLA Alicante,3 dic 2023,P  57-76,0,0,0,7,0-0,0-2,0.0%,0-0,-,0,0,0,0,0,0,0,0,-2
vs San Pablo Burgos,25 nov 2023,P  82-90,0,0,1,7,0-0,0-2,0.0%,0-0,-,0,0,0,1,0,0,0,0,-1
@ Movistar Estudiantes,19 nov 2023,P  81-56,9,0,2,12,0-0,3-6,50.0%,0-0,-,0,0,0,2,0,0,0,9,8
vs Ourense,12 nov 2023,P  50-74,0,0,0,6,0-0,0-2,0.0%,0-0,-,0,0,0,0,0,0,0,0,-2
vs Leyma Coruña,1 nov 2023,G  56-51,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ Rioverde Clavijo,29 oct 2023,P  64-55,0,3,1,7,0-0,0-0,-,0-0,-,1,2,3,1,0,0,0,0,4
vs Amics Castello,21 oct 2023,G  85-65,3,0,0,6,0-1,1-2,33.3%,0-0,-,0,0,0,0,0,0,0,3,1
@ Real Valladolid,14 oct 2023,P  70-66,0,1,0,5,0-0,0-0,-,0-0,-,0,1,1,0,0,0,0,0,1
vs Melilla Ciudad Del Deporte 1,7 oct 2023,P  66-83,9,0,0,12,0-0,3-3,100.0%,0-0,-,0,0,0,0,0,0,0,9,9
