PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Hestia Menorca,10 may 2024,G  105-70,16,2,1,21,1-2,3-5,57.1%,5-6,83.3%,0,2,2,1,3,2,0,16,16
@ Caceres,3 may 2024,G  77-100,25,3,2,24,2-4,7-10,64.3%,0-0,-,0,3,3,2,0,0,0,25,25
vs Grupo Alega Cantabria,26 abr 2024,G  88-77,16,4,2,26,4-8,2-5,46.2%,2-2,100.0%,0,4,4,2,0,3,0,16,12
@ Melilla Ciudad Del Deporte 1,19 abr 2024,G  75-80,3,3,2,25,0-3,0-2,0.0%,3-4,75.0%,1,2,3,2,0,5,0,3,-3
vs HLA Alicante,14 abr 2024,G  91-77,7,1,3,21,0-0,1-5,20.0%,4-4,100.0%,1,0,1,3,1,3,0,7,5
@ Real Betis,10 abr 2024,G  73-74,24,1,0,23,3-4,4-10,50.0%,6-7,85.7%,1,0,1,0,1,2,0,24,16
vs Real Valladolid,5 abr 2024,G  81-56,17,1,3,24,2-6,3-5,45.5%,4-4,100.0%,0,1,1,3,0,0,0,17,15
@ Rioverde Clavijo,31 mar 2024,G  60-72,9,3,1,20,0-4,3-7,27.3%,0-0,-,0,3,3,1,0,0,0,9,5
vs Fuenlabrada,22 mar 2024,G  90-73,19,2,2,17,2-3,3-7,50.0%,6-7,85.7%,0,2,2,2,0,1,0,19,16
@ Gipuzkoa Basket,17 mar 2024,P  87-72,13,2,0,18,4-6,1-3,55.6%,2-3,66.7%,1,1,2,0,0,2,0,13,8
vs San Pablo Burgos,13 mar 2024,G  77-72,9,2,4,14,1-4,2-4,37.5%,1-2,50.0%,0,2,2,4,0,1,0,9,8
@ Ourense,9 mar 2024,G  73-80,7,0,5,13,2-4,0-1,40.0%,3-4,75.0%,0,0,0,5,3,2,0,7,9
@ Alimerka Oviedo,3 mar 2024,G  73-75,7,3,1,15,2-3,1-4,42.9%,0-0,-,0,3,3,1,1,1,0,7,7
vs Movistar Estudiantes,16 feb 2024,G  93-79,9,1,1,17,0-2,1-4,16.7%,6-7,85.7%,0,1,1,1,1,2,0,9,4
@ Amics Castello,9 feb 2024,G  92-98,3,0,2,8,0-1,1-2,33.3%,0-0,-,0,0,0,2,1,3,0,3,1
vs Leyma Coruña,2 feb 2024,P  83-85,10,2,2,15,2-3,0-1,50.0%,6-8,75.0%,1,1,2,2,0,0,1,10,11
@ UBU Tizona Burgos,20 ene 2024,G  72-79,8,1,3,12,1-4,2-4,37.5%,0-0,-,1,0,1,3,0,2,0,8,5
vs Caceres,12 ene 2024,G  95-71,14,0,1,19,3-6,2-3,55.6%,2-3,66.7%,0,0,0,1,0,2,0,14,8
@ Hestia Menorca,6 ene 2024,G  67-70,18,3,2,26,4-6,1-6,41.7%,7-7,100.0%,0,3,3,2,0,0,0,18,16
vs Rioverde Clavijo,29 dic 2023,G  79-72,8,3,0,20,1-4,2-5,33.3%,0-0,-,0,3,3,0,1,2,0,8,4
vs Alimerka Oviedo,22 dic 2023,G  90-84,8,1,0,12,0-2,1-4,16.7%,5-6,83.3%,1,0,1,0,1,3,0,8,1
@ Fuenlabrada,16 dic 2023,G  73-75,3,0,0,6,0-1,1-2,33.3%,0-0,-,0,0,0,0,0,0,0,3,1
@ Movistar Estudiantes,10 dic 2023,P  75-72,2,0,1,9,1-1,0-2,33.3%,0-0,-,0,0,0,1,0,0,0,2,1
vs Amics Castello,12 nov 2023,G  97-82,24,4,3,23,7-8,3-10,55.6%,1-1,100.0%,1,3,4,3,2,5,0,24,20
@ Leyma Coruña,5 nov 2023,P  97-81,9,3,1,18,0-4,3-6,30.0%,0-0,-,1,2,3,1,0,4,0,9,2
vs Melilla Ciudad Del Deporte 1,1 nov 2023,G  96-62,20,5,3,25,0-3,4-11,28.6%,8-8,100.0%,1,4,5,3,1,2,0,20,17
@ Grupo Alega Cantabria,28 oct 2023,P  75-63,6,1,1,11,1-3,0-4,14.3%,4-5,80.0%,0,1,1,1,1,0,0,6,2
vs UBU Tizona Burgos,20 oct 2023,P  66-86,10,0,1,18,2-6,1-4,30.0%,3-3,100.0%,0,0,0,1,1,1,0,10,4
@ San Pablo Burgos,14 oct 2023,P  79-66,14,5,2,20,2-6,2-8,28.6%,4-4,100.0%,2,3,5,2,1,4,0,14,8
vs Gipuzkoa Basket,6 oct 2023,G  75-68,12,1,1,23,3-7,0-6,23.1%,6-6,100.0%,0,1,1,1,1,1,0,12,4
