PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Hestia Menorca,10 may 2024,G  105-70,4,2,1,20,1-1,0-1,50.0%,2-2,100.0%,0,2,2,1,0,0,0,4,6
@ Caceres,3 may 2024,G  77-100,6,4,2,21,1-2,1-3,40.0%,1-2,50.0%,2,2,4,2,1,2,0,6,7
vs Grupo Alega Cantabria,26 abr 2024,G  88-77,13,2,1,21,2-2,3-6,62.5%,0-1,0.0%,1,1,2,1,0,0,1,13,13
@ Melilla Ciudad Del Deporte 1,19 abr 2024,G  75-80,12,2,0,29,2-2,2-5,57.1%,2-3,66.7%,1,1,2,0,0,1,0,12,9
vs HLA Alicante,14 abr 2024,G  91-77,2,4,1,23,1-2,0-2,25.0%,0-0,-,1,3,4,1,0,2,0,2,2
@ Real Betis,10 abr 2024,G  73-74,0,0,2,15,0-0,0-1,0.0%,0-0,-,0,0,0,2,0,2,0,0,-1
vs Real Valladolid,5 abr 2024,G  81-56,3,4,1,23,0-0,1-3,33.3%,0-0,-,1,3,4,1,1,1,0,3,6
@ Rioverde Clavijo,31 mar 2024,G  60-72,12,6,0,25,1-3,2-5,37.5%,4-4,100.0%,4,2,6,0,0,1,0,12,12
vs Fuenlabrada,22 mar 2024,G  90-73,9,0,0,22,0-0,3-4,75.0%,0-2,0.0%,0,0,0,0,0,2,0,9,4
@ Gipuzkoa Basket,17 mar 2024,P  87-72,1,1,0,13,0-0,0-1,0.0%,1-2,50.0%,0,1,1,0,0,2,0,1,-2
vs San Pablo Burgos,13 mar 2024,G  77-72,5,0,0,18,1-1,1-3,50.0%,0-0,-,0,0,0,0,0,0,1,5,4
@ Ourense,9 mar 2024,G  73-80,3,3,1,12,0-2,1-2,25.0%,0-0,-,0,3,3,1,0,0,0,3,4
@ Alimerka Oviedo,3 mar 2024,G  73-75,10,2,2,14,1-2,2-4,50.0%,2-2,100.0%,1,1,2,2,0,0,0,10,11
vs Movistar Estudiantes,16 feb 2024,G  93-79,9,3,0,16,0-0,3-3,100.0%,0-0,-,1,2,3,0,0,0,0,9,12
@ Amics Castello,9 feb 2024,G  92-98,3,1,1,14,0-1,1-2,33.3%,0-0,-,1,0,1,1,1,2,0,3,2
vs Leyma Coruña,2 feb 2024,P  83-85,8,1,1,22,0-0,2-5,40.0%,2-2,100.0%,0,1,1,1,0,1,1,8,7
@ UBU Tizona Burgos,20 ene 2024,G  72-79,4,6,1,20,1-1,0-2,33.3%,2-2,100.0%,3,3,6,1,0,0,0,4,9
@ Hestia Menorca,6 ene 2024,G  67-70,2,4,0,14,1-1,0-0,100.0%,0-0,-,2,2,4,0,1,1,0,2,6
vs Rioverde Clavijo,29 dic 2023,G  79-72,8,3,1,19,1-2,2-4,50.0%,0-0,-,2,1,3,1,0,1,0,8,8
vs Alimerka Oviedo,22 dic 2023,G  90-84,8,3,0,23,0-1,2-2,66.7%,2-2,100.0%,0,3,3,0,0,1,0,8,9
@ Fuenlabrada,16 dic 2023,G  73-75,17,2,1,23,1-2,4-10,41.7%,3-3,100.0%,1,1,2,1,1,0,0,17,14
@ Movistar Estudiantes,10 dic 2023,P  75-72,16,0,1,21,5-6,2-7,53.8%,0-0,-,0,0,0,1,1,1,0,16,11
vs Ourense,3 dic 2023,G  90-55,10,1,1,17,1-1,2-3,75.0%,2-2,100.0%,0,1,1,1,1,0,0,10,12
@ HLA Alicante,29 nov 2023,G  74-79,3,3,1,19,0-1,0-0,0.0%,3-4,75.0%,1,2,3,1,0,1,0,3,4
vs Real Betis,24 nov 2023,G  88-75,7,1,1,15,1-1,1-4,40.0%,2-2,100.0%,1,0,1,1,0,0,1,7,7
@ Real Valladolid,18 nov 2023,P  80-74,0,4,2,29,0-1,0-2,0.0%,0-0,-,3,1,4,2,0,0,0,0,3
vs Amics Castello,12 nov 2023,G  97-82,9,1,0,17,0-0,3-4,75.0%,0-0,-,0,1,1,0,0,1,0,9,8
@ Leyma Coruña,5 nov 2023,P  97-81,7,2,1,23,1-1,1-6,28.6%,2-4,50.0%,1,1,2,1,0,0,0,7,3
vs Melilla Ciudad Del Deporte 1,1 nov 2023,G  96-62,17,4,2,23,1-1,5-8,66.7%,0-0,-,1,3,4,2,0,0,0,17,20
@ Grupo Alega Cantabria,28 oct 2023,P  75-63,9,0,1,21,0-3,3-6,33.3%,0-0,-,0,0,0,1,0,1,0,9,3
vs UBU Tizona Burgos,20 oct 2023,P  66-86,0,1,0,7,0-0,0-1,0.0%,0-0,-,0,1,1,0,0,0,0,0,0
