PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Melilla Ciudad Del Deporte 1,10 may 2024,G  74-80,2,1,0,6,1-2,0-0,50.0%,0-0,-,0,1,1,0,0,0,0,2,2
vs Amics Castello,5 may 2024,G  95-82,2,3,1,8,1-2,0-1,33.3%,0-0,-,0,3,3,1,0,1,0,2,3
@ Alimerka Oviedo,27 abr 2024,G  78-83,2,0,1,6,1-1,0-2,33.3%,0-0,-,0,0,0,1,1,1,0,2,1
@ HLA Alicante,19 abr 2024,P  84-74,4,1,4,13,2-3,0-1,50.0%,0-1,0.0%,0,1,1,4,1,1,0,4,6
vs Real Valladolid,14 abr 2024,G  80-66,2,1,0,8,1-2,0-1,33.3%,0-0,-,0,1,1,0,0,1,0,2,0
vs UBU Tizona Burgos,10 abr 2024,G  97-91,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Hestia Menorca,31 mar 2024,G  105-73,0,3,8,14,0-0,0-0,-,0-0,-,0,3,3,8,2,2,0,0,11
vs Gipuzkoa Basket,12 mar 2024,P  67-84,0,0,1,2,0-2,0-0,0.0%,0-0,-,0,0,0,1,0,0,0,0,-1
vs Movistar Estudiantes,8 mar 2024,G  114-88,2,1,0,4,0-1,0-0,0.0%,2-2,100.0%,0,1,1,0,0,0,0,2,2
@ Rioverde Clavijo,3 mar 2024,G  88-94,2,0,0,2,1-1,0-1,50.0%,0-0,-,0,0,0,0,0,0,0,2,1
vs Real Betis,18 feb 2024,G  92-78,0,0,0,2,0-0,0-0,-,0-0,-,0,0,0,0,0,1,0,0,-1
vs San Pablo Burgos,11 feb 2024,G  104-103,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ Hiopos Lleida,2 feb 2024,G  83-85,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ Grupo Alega Cantabria,20 ene 2024,G  81-83,0,0,0,3,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Melilla Ciudad Del Deporte 1,12 ene 2024,G  97-82,0,0,1,3,0-0,0-0,-,0-0,-,0,0,0,1,0,0,0,0,1
@ Amics Castello,5 ene 2024,G  74-83,0,0,1,5,0-1,0-0,0.0%,0-0,-,0,0,0,1,1,1,0,0,0
vs Ourense,29 dic 2023,G  106-77,10,2,2,10,1-1,1-1,100.0%,5-6,83.3%,0,2,2,2,1,0,0,10,14
vs Rioverde Clavijo,15 dic 2023,G  100-77,10,1,4,16,1-2,2-2,75.0%,2-3,66.7%,0,1,1,4,0,2,0,10,11
vs Fuenlabrada,3 dic 2023,P  83-86,7,2,4,19,2-6,1-1,42.9%,0-0,-,0,2,2,4,0,0,0,7,9
@ San Pablo Burgos,29 nov 2023,P  77-75,0,3,4,10,0-4,0-0,0.0%,0-0,-,0,3,3,4,0,1,0,0,2
@ UBU Tizona Burgos,24 nov 2023,G  92-103,2,0,0,8,1-2,0-0,50.0%,0-0,-,0,0,0,0,0,0,0,2,1
vs Alimerka Oviedo,19 nov 2023,G  88-77,2,0,2,3,1-1,0-1,50.0%,0-0,-,0,0,0,2,0,0,0,2,3
@ Caceres,10 nov 2023,P  84-81,2,2,5,10,1-6,0-0,16.7%,0-0,-,0,2,2,5,1,0,0,2,5
vs Hiopos Lleida,5 nov 2023,G  97-81,3,1,4,10,0-1,0-2,0.0%,3-4,75.0%,0,1,1,4,0,2,0,3,2
@ Real Valladolid,28 oct 2023,G  94-111,2,1,2,11,1-2,0-0,50.0%,0-0,-,0,1,1,2,0,0,0,2,4
vs Grupo Alega Cantabria,22 oct 2023,G  119-90,8,0,3,11,3-3,0-1,75.0%,2-2,100.0%,0,0,0,3,0,0,0,8,10
vs HLA Alicante,15 oct 2023,G  79-74,2,2,0,9,1-3,0-0,33.3%,0-0,-,1,1,2,0,0,0,0,2,2
@ Real Betis,6 oct 2023,G  77-81,4,0,3,8,2-5,0-1,33.3%,0-0,-,0,0,0,3,0,0,0,4,3
