PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Leyma Coruña,10 may 2024,P  74-80,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ Movistar Estudiantes,5 may 2024,P  85-72,0,1,1,5,0-0,0-1,0.0%,0-0,-,0,1,1,1,1,0,0,0,2
vs Rioverde Clavijo,26 abr 2024,G  91-68,0,0,0,2,0-1,0-0,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
vs Hiopos Lleida,19 abr 2024,P  75-80,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ UBU Tizona Burgos,14 abr 2024,P  89-74,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Hestia Menorca,10 abr 2024,P  74-92,0,0,0,5,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ San Pablo Burgos,16 mar 2024,P  99-72,5,0,0,5,1-1,1-2,66.7%,0-0,-,0,0,0,0,0,0,0,5,4
@ Real Betis,8 mar 2024,P  86-70,5,0,1,8,0-0,1-2,50.0%,2-2,100.0%,0,0,0,1,0,1,0,5,4
@ HLA Alicante,16 feb 2024,P  90-66,1,0,2,5,0-0,0-1,0.0%,1-2,50.0%,0,0,0,2,0,0,0,1,1
vs Ourense,19 ene 2024,P  67-81,0,1,1,8,0-0,0-1,0.0%,0-0,-,0,1,1,1,0,0,0,0,1
@ Leyma Coruña,12 ene 2024,P  97-82,1,0,0,10,0-0,0-2,0.0%,1-2,50.0%,0,0,0,0,0,1,0,1,-3
vs Gipuzkoa Basket,7 ene 2024,P  82-93,5,1,1,11,1-2,1-3,40.0%,0-0,-,0,1,1,1,1,1,0,5,4
vs Amics Castello,29 dic 2023,G  76-65,11,0,2,12,1-2,3-5,57.1%,0-0,-,0,0,0,2,0,0,0,11,10
@ Real Valladolid,20 dic 2023,G  73-76,2,0,0,5,1-1,0-1,50.0%,0-0,-,0,0,0,0,0,1,0,2,0
vs Movistar Estudiantes,15 dic 2023,P  80-81,0,1,1,5,0-1,0-1,0.0%,0-0,-,0,1,1,1,0,0,0,0,0
@ Ourense,9 dic 2023,G  59-65,0,1,1,6,0-0,0-1,0.0%,0-0,-,0,1,1,1,0,0,0,0,1
vs UBU Tizona Burgos,3 dic 2023,G  83-73,2,1,1,9,1-3,0-1,25.0%,0-0,-,0,1,1,1,0,0,0,2,1
@ Grupo Alega Cantabria,29 nov 2023,P  75-69,2,0,0,8,1-1,0-2,33.3%,0-2,0.0%,0,0,0,0,0,1,0,2,-3
@ Rioverde Clavijo,24 nov 2023,G  62-64,3,1,0,5,1-2,0-0,50.0%,1-2,50.0%,0,1,1,0,0,1,0,3,1
vs San Pablo Burgos,17 nov 2023,P  79-92,11,2,2,14,0-1,3-4,60.0%,2-2,100.0%,0,2,2,2,0,0,0,11,13
@ Alimerka Oviedo,11 nov 2023,G  71-79,0,0,0,2,0-0,0-1,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
@ Hiopos Lleida,1 nov 2023,P  96-62,0,0,1,5,0-0,0-2,0.0%,0-0,-,0,0,0,1,0,3,0,0,-4
vs Real Betis,27 oct 2023,P  83-87,8,4,1,12,1-2,2-3,60.0%,0-0,-,2,2,4,1,0,0,0,8,11
vs Fuenlabrada,13 oct 2023,P  65-87,2,0,0,8,0-1,0-1,0.0%,2-2,100.0%,0,0,0,0,0,0,0,2,0
@ Hestia Menorca,7 oct 2023,G  66-83,5,0,1,2,1-1,1-1,100.0%,0-0,-,0,0,0,1,0,0,0,5,6
