PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Alimerka Oviedo,10 may 2024,G  61-75,3,2,4,21,0-1,1-1,50.0%,0-0,-,0,2,2,4,1,0,0,3,9
vs Melilla Ciudad Del Deporte 1,5 may 2024,G  85-72,6,2,1,17,0-0,2-2,100.0%,0-0,-,0,2,2,1,1,4,0,6,6
vs Caceres,28 abr 2024,G  89-73,2,1,4,13,0-2,0-2,0.0%,2-2,100.0%,0,1,1,4,0,3,0,2,0
@ Grupo Alega Cantabria,20 abr 2024,G  67-81,2,0,3,16,1-2,0-2,25.0%,0-0,-,0,0,0,3,0,2,0,2,0
vs Gipuzkoa Basket,14 abr 2024,G  90-81,6,2,4,25,0-4,2-2,33.3%,0-0,-,0,2,2,4,0,2,0,6,6
@ Real Valladolid,9 abr 2024,G  73-88,17,6,4,24,3-3,3-6,66.7%,2-2,100.0%,1,5,6,4,0,0,0,17,24
@ UBU Tizona Burgos,5 abr 2024,P  90-83,9,2,4,19,2-2,1-5,42.9%,2-2,100.0%,1,1,2,4,1,1,0,9,11
vs Amics Castello,31 mar 2024,G  95-79,12,2,4,16,1-5,3-6,36.4%,1-1,100.0%,0,2,2,4,1,2,0,12,10
@ Ourense,23 mar 2024,P  92-71,12,1,4,24,1-3,2-5,37.5%,4-4,100.0%,0,1,1,4,0,2,0,12,10
@ HLA Alicante,16 mar 2024,P  75-65,3,1,0,15,0-0,1-1,100.0%,0-0,-,0,1,1,0,1,2,0,3,3
vs Fuenlabrada,12 mar 2024,G  98-83,3,2,2,17,1-1,0-3,25.0%,1-1,100.0%,0,2,2,2,0,0,0,3,4
@ Leyma Coruña,8 mar 2024,P  114-88,8,1,1,15,1-1,2-4,60.0%,0-0,-,0,1,1,1,1,0,0,8,9
vs San Pablo Burgos,3 mar 2024,P  57-77,3,2,1,11,0-0,1-4,25.0%,0-0,-,2,0,2,1,0,2,0,3,1
@ Hiopos Lleida,16 feb 2024,P  93-79,18,6,4,26,3-4,3-6,60.0%,3-4,75.0%,0,6,6,4,2,2,0,18,23
@ Hestia Menorca,11 feb 2024,G  67-75,0,1,2,19,0-1,0-2,0.0%,0-0,-,0,1,1,2,2,1,0,0,1
vs Rioverde Clavijo,4 feb 2024,G  84-59,7,3,7,22,2-5,1-4,33.3%,0-0,-,1,2,3,7,2,0,0,7,13
vs Real Betis,21 ene 2024,G  93-87,2,0,2,11,0-0,0-3,0.0%,2-2,100.0%,0,0,0,2,0,2,0,2,-1
@ Gipuzkoa Basket,12 ene 2024,G  83-85,15,3,1,19,0-2,5-8,50.0%,0-0,-,0,3,3,1,0,1,1,15,14
vs Ourense,7 ene 2024,G  97-56,4,1,4,20,0-1,0-1,0.0%,4-4,100.0%,0,1,1,4,1,2,0,4,6
@ Súper Agropal Palencia,25 nov 2023,G  77-101,0,1,0,7,0-0,0-1,0.0%,0-0,-,0,1,1,0,0,1,0,0,-1
@ Baskonia Vitoria-Gasteiz,19 nov 2023,P  83-74,0,1,2,15,0-0,0-4,0.0%,0-0,-,0,1,1,2,0,2,0,0,-3
vs BAXI Manresa,22 oct 2023,G  84-79,0,2,0,4,0-0,0-0,-,0-0,-,1,1,2,0,0,0,0,0,2
@ Rio Breogan,15 oct 2023,G  59-61,6,4,0,18,0-2,2-2,50.0%,0-0,-,0,4,4,0,1,4,0,6,5
vs Monbus Obradoiro,8 oct 2023,G  85-79,0,0,0,8,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Basquet Girona,23 sept 2023,P  85-89,3,1,1,6,0-0,1-1,100.0%,0-0,-,0,1,1,1,0,0,0,3,5
