PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Alimerka Oviedo,10 may 2024,G  61-75,4,2,3,21,2-5,0-2,28.6%,0-0,-,2,0,2,3,1,2,0,4,3
vs Melilla Ciudad Del Deporte 1,5 may 2024,G  85-72,12,6,0,22,4-8,0-1,44.4%,4-4,100.0%,1,5,6,0,3,0,0,12,16
vs Caceres,28 abr 2024,G  89-73,10,3,1,25,4-7,0-1,50.0%,2-4,50.0%,0,3,3,1,0,2,0,10,6
@ Grupo Alega Cantabria,20 abr 2024,G  67-81,17,8,3,25,7-14,0-0,50.0%,3-3,100.0%,4,4,8,3,2,2,1,17,22
vs Gipuzkoa Basket,14 abr 2024,G  90-81,5,2,0,13,1-6,0-1,14.3%,3-4,75.0%,1,1,2,0,1,0,0,5,1
@ Real Valladolid,9 abr 2024,G  73-88,16,4,2,25,4-7,2-2,66.7%,2-2,100.0%,2,2,4,2,0,2,0,16,17
@ UBU Tizona Burgos,5 abr 2024,P  90-83,9,6,1,25,3-5,0-1,50.0%,3-4,75.0%,1,5,6,1,1,0,0,9,13
vs Amics Castello,31 mar 2024,G  95-79,10,3,2,20,4-8,0-0,50.0%,2-3,66.7%,0,3,3,2,1,1,1,10,11
@ Ourense,23 mar 2024,P  92-71,12,10,4,35,4-11,0-0,36.4%,4-4,100.0%,3,7,10,4,1,2,0,12,18
@ HLA Alicante,16 mar 2024,P  75-65,12,6,2,36,5-10,0-1,45.5%,2-2,100.0%,1,5,6,2,0,4,0,12,10
vs Fuenlabrada,12 mar 2024,G  98-83,20,4,3,28,5-6,0-0,83.3%,10-11,90.9%,0,4,4,3,1,0,0,20,26
@ Leyma Coruña,8 mar 2024,P  114-88,20,6,0,29,7-11,0-1,58.3%,6-6,100.0%,2,4,6,0,1,2,0,20,20
vs San Pablo Burgos,3 mar 2024,P  57-77,16,6,1,29,7-13,0-1,50.0%,2-6,33.3%,4,2,6,1,2,1,0,16,13
@ Hiopos Lleida,16 feb 2024,P  93-79,8,6,3,29,3-7,0-1,37.5%,2-2,100.0%,5,1,6,3,1,1,0,8,12
@ Hestia Menorca,11 feb 2024,G  67-75,14,10,0,28,4-11,0-1,33.3%,6-8,75.0%,4,6,10,0,1,1,1,14,15
vs Rioverde Clavijo,4 feb 2024,G  84-59,17,5,0,23,7-12,0-1,53.8%,3-3,100.0%,1,4,5,0,0,0,0,17,16
vs Real Betis,21 ene 2024,G  93-87,20,9,2,30,7-10,0-1,63.6%,6-6,100.0%,3,6,9,2,2,0,0,20,29
@ Gipuzkoa Basket,12 ene 2024,G  83-85,8,3,1,22,4-11,0-1,33.3%,0-0,-,3,0,3,1,0,0,0,8,4
vs Ourense,7 ene 2024,G  97-56,13,7,3,26,4-6,1-2,62.5%,2-2,100.0%,0,7,7,3,1,2,0,13,19
@ San Pablo Burgos,30 dic 2023,G  87-91,13,6,1,26,5-7,1-2,66.7%,0-0,-,2,4,6,1,0,4,0,13,13
vs Leyma Coruña,20 dic 2023,P  76-78,13,6,3,27,2-4,2-4,50.0%,3-6,50.0%,2,4,6,3,2,0,0,13,17
@ Melilla Ciudad Del Deporte 1,15 dic 2023,G  80-81,15,5,1,31,5-8,0-0,62.5%,5-5,100.0%,1,4,5,1,2,2,0,15,18
vs Hiopos Lleida,10 dic 2023,G  75-72,14,4,1,18,5-8,1-1,66.7%,1-1,100.0%,0,4,4,1,0,1,0,14,15
vs Grupo Alega Cantabria,3 dic 2023,G  101-61,11,10,4,18,3-5,1-1,66.7%,2-4,50.0%,3,7,10,4,1,0,1,11,23
@ Amics Castello,29 nov 2023,G  68-84,4,7,4,23,1-7,0-0,14.3%,2-2,100.0%,4,3,7,4,0,1,0,4,8
vs Real Valladolid,26 nov 2023,P  91-92,4,4,3,24,2-6,0-0,33.3%,0-0,-,3,1,4,3,1,1,0,4,7
vs Hestia Menorca,19 nov 2023,G  81-56,2,5,1,22,1-1,0-2,33.3%,0-0,-,1,4,5,1,0,1,1,2,6
@ Fuenlabrada,11 nov 2023,G  55-80,12,5,1,20,5-7,0-0,71.4%,2-2,100.0%,1,4,5,1,0,0,0,12,16
@ Rioverde Clavijo,5 nov 2023,G  73-77,13,6,1,30,2-4,0-1,40.0%,9-11,81.8%,2,4,6,1,1,2,0,13,14
vs UBU Tizona Burgos,1 nov 2023,G  103-85,0,3,4,19,0-2,0-0,0.0%,0-0,-,1,2,3,4,0,1,1,0,5
vs HLA Alicante,29 oct 2023,G  93-75,9,4,1,19,3-6,0-0,50.0%,3-4,75.0%,1,3,4,1,2,1,0,9,11
@ Real Betis,20 oct 2023,G  77-86,4,8,1,29,0-4,0-0,0.0%,4-6,66.7%,2,6,8,1,1,1,0,4,7
vs Alimerka Oviedo,15 oct 2023,P  76-87,17,4,0,25,5-8,0-0,62.5%,7-9,77.8%,3,1,4,0,0,0,0,17,16
@ Caceres,6 oct 2023,G  60-83,3,3,0,17,0-5,0-0,0.0%,3-4,75.0%,1,2,3,0,0,2,0,3,-2
