PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ HLA Alicante,10 may 2024,G  73-83,0,0,1,7,0-0,0-0,-,0-0,-,0,0,0,1,0,0,0,0,1
vs Fuenlabrada,4 may 2024,G  81-69,10,1,0,13,2-2,2-4,66.7%,0-0,-,1,0,1,0,1,0,0,10,10
@ Ourense,27 abr 2024,G  64-91,5,2,0,16,1-2,1-3,40.0%,0-0,-,1,1,2,0,1,2,0,5,3
@ Real Betis,14 abr 2024,G  76-88,3,2,0,12,0-0,1-4,25.0%,0-0,-,0,2,2,0,0,0,0,3,2
vs Amics Castello,10 abr 2024,G  91-67,0,4,1,14,0-2,0-2,0.0%,0-0,-,3,1,4,1,1,1,1,0,2
vs Caceres,6 abr 2024,G  109-102,2,2,0,3,0-0,0-0,-,2-2,100.0%,1,1,2,0,0,0,0,2,4
@ Real Valladolid,30 mar 2024,P  91-84,0,1,0,9,0-0,0-1,0.0%,0-0,-,0,1,1,0,0,0,0,0,0
vs Melilla Ciudad Del Deporte 1,16 mar 2024,G  99-72,2,3,0,7,1-1,0-1,50.0%,0-0,-,2,1,3,0,0,0,0,2,4
@ Hiopos Lleida,13 mar 2024,P  77-72,6,2,0,10,0-1,2-3,50.0%,0-0,-,0,2,2,0,0,0,0,6,6
vs UBU Tizona Burgos,9 mar 2024,G  104-97,0,3,1,14,0-1,0-0,0.0%,0-0,-,2,1,3,1,0,2,0,0,1
@ Movistar Estudiantes,3 mar 2024,G  57-77,2,0,2,12,1-2,0-4,16.7%,0-0,-,0,0,0,2,0,1,0,2,-2
vs Hestia Menorca,17 feb 2024,G  90-69,3,1,1,11,0-1,1-2,33.3%,0-0,-,0,1,1,1,0,1,0,3,2
@ Leyma Coruña,11 feb 2024,P  104-103,19,5,0,25,1-4,5-7,54.5%,2-2,100.0%,4,1,5,0,0,1,0,19,18
vs Grupo Alega Cantabria,3 feb 2024,G  88-69,13,3,0,20,1-1,3-7,50.0%,2-4,50.0%,1,2,3,0,0,0,0,13,10
@ Rioverde Clavijo,21 ene 2024,G  62-79,0,4,1,22,0-1,0-1,0.0%,0-0,-,1,3,4,1,0,1,0,0,2
vs Real Betis,12 ene 2024,P  82-94,21,5,2,26,5-6,2-6,58.3%,5-5,100.0%,2,3,5,2,1,1,0,21,23
@ UBU Tizona Burgos,6 ene 2024,P  110-96,7,2,0,14,0-0,1-2,50.0%,4-4,100.0%,0,2,2,0,1,1,0,7,8
vs Movistar Estudiantes,30 dic 2023,P  87-91,8,4,0,18,1-3,1-2,40.0%,3-3,100.0%,2,2,4,0,0,1,0,8,8
@ Gipuzkoa Basket,22 dic 2023,P  80-78,8,3,0,17,1-1,2-4,60.0%,0-0,-,2,1,3,0,0,0,0,8,9
vs Ourense,16 dic 2023,G  105-55,4,1,0,20,2-3,0-3,33.3%,0-0,-,1,0,1,0,0,0,0,4,1
vs HLA Alicante,9 dic 2023,G  98-95,10,2,0,22,1-1,2-3,75.0%,2-2,100.0%,0,2,2,0,0,0,0,10,11
@ Caceres,3 dic 2023,G  60-81,18,6,1,25,3-4,3-5,66.7%,3-4,75.0%,1,5,6,1,3,0,2,18,26
vs Leyma Coruña,29 nov 2023,G  77-75,3,2,0,13,0-1,1-1,50.0%,0-0,-,0,2,2,0,1,1,0,3,4
@ Hestia Menorca,25 nov 2023,G  82-90,0,4,0,16,0-2,0-0,0.0%,0-0,-,0,4,4,0,0,0,0,0,2
@ Melilla Ciudad Del Deporte 1,17 nov 2023,G  79-92,8,1,0,20,0-2,2-5,28.6%,2-4,50.0%,1,0,1,0,0,0,0,8,2
vs Rioverde Clavijo,11 nov 2023,G  83-66,8,1,0,13,1-1,2-2,100.0%,0-0,-,0,1,1,0,1,1,0,8,9
@ Grupo Alega Cantabria,5 nov 2023,G  72-84,18,4,0,20,0-3,6-9,50.0%,0-2,0.0%,3,1,4,0,0,1,0,18,13
vs Real Valladolid,31 oct 2023,G  94-69,2,2,0,17,1-1,0-3,25.0%,0-0,-,1,1,2,0,0,1,0,2,0
@ Amics Castello,27 oct 2023,G  81-94,6,4,1,14,0-1,1-4,20.0%,3-4,75.0%,1,3,4,1,0,2,0,6,4
@ Fuenlabrada,21 oct 2023,G  64-72,2,2,0,14,1-1,0-3,25.0%,0-0,-,0,2,2,0,0,0,0,2,1
vs Hiopos Lleida,14 oct 2023,G  79-66,5,1,1,11,0-0,0-2,0.0%,5-8,62.5%,0,1,1,1,0,1,0,5,1
@ Alimerka Oviedo,7 oct 2023,P  75-71,0,1,1,12,0-1,0-1,0.0%,0-0,-,0,1,1,1,1,0,0,0,1
