PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Ourense,9 may 2025,G  87-78,10,4,3,26,0-0,2-6,33.3%,4-6,66.7%,2,2,4,3,0,3,0,10,8
@ Monbus Obradoiro,3 may 2025,G  63-65,18,1,6,29,2-4,4-11,40.0%,2-2,100.0%,1,0,1,6,1,2,0,18,15
vs San Pablo Burgos,27 abr 2025,P  81-84,12,6,6,36,2-4,1-7,27.3%,5-6,83.3%,1,5,6,6,0,1,0,12,14
@ Amics Castello,22 abr 2025,G  65-70,15,5,2,27,1-4,3-8,33.3%,4-5,80.0%,1,4,5,2,1,3,0,15,11
vs Alimerka Oviedo,18 abr 2025,G  99-92,32,4,4,29,4-6,7-12,61.1%,3-6,50.0%,0,4,4,4,0,1,0,32,29
@ Hestia Menorca,12 abr 2025,G  72-81,11,5,1,33,4-10,0-2,33.3%,3-4,75.0%,1,4,5,1,0,4,0,11,4
vs UBU Tizona Burgos,6 abr 2025,G  90-69,24,5,6,29,5-7,3-5,66.7%,5-7,71.4%,1,4,5,6,2,2,0,24,29
@ Movistar Estudiantes,30 mar 2025,P  76-66,13,2,4,24,2-5,3-7,41.7%,0-0,-,0,2,2,4,1,1,0,13,12
vs CB Zamora,23 mar 2025,G  86-78,4,2,4,15,1-5,0-2,14.3%,2-2,100.0%,1,1,2,4,0,1,0,4,3
@ Grupo Alega Cantabria,16 mar 2025,G  101-108,12,5,6,30,6-11,0-3,42.9%,0-0,-,1,4,5,6,2,3,0,12,14
vs Real Valladolid,12 mar 2025,G  90-69,17,2,4,19,3-4,2-4,62.5%,5-5,100.0%,0,2,2,4,2,1,0,17,21
@ Cartagena,8 mar 2025,P  81-73,15,2,2,29,1-3,4-11,35.7%,1-2,50.0%,0,2,2,2,1,6,1,15,5
@ Spišskí Rytieri,26 feb 2025,P  115-76,6,0,2,24,0-1,2-7,25.0%,0-0,-,0,0,0,2,1,0,0,6,3
@ NEXTGEN Slovakia,11 feb 2025,G  58-85,11,2,0,14,2-5,0-1,33.3%,7-8,87.5%,1,1,2,0,3,1,0,11,10
vs BC Slovan Bratislava,8 feb 2025,G  84-83,13,13,0,27,1-3,3-6,44.4%,2-3,66.7%,3,10,13,0,0,4,1,13,17
vs Nitra Blue Wings,31 ene 2025,G  93-89,13,7,1,25,3-5,0-3,37.5%,7-9,77.8%,4,3,7,1,2,3,0,13,13
@ Lucenec,25 ene 2025,P  89-85,13,6,0,28,3-9,1-5,28.6%,4-4,100.0%,1,5,6,0,1,2,0,13,8
@ MBK Rieker Komarno,22 ene 2025,P  84-79,27,6,4,40,6-15,3-9,37.5%,6-8,75.0%,2,4,6,4,2,1,0,27,21
vs Lucenec,18 ene 2025,G  113-64,25,4,4,23,3-4,6-7,81.8%,1-1,100.0%,1,3,4,4,4,2,0,25,33
@ Levickí Patrioti,15 ene 2025,P  88-85,20,2,2,32,4-7,3-9,43.8%,3-3,100.0%,1,1,2,2,2,3,0,20,14
@ Iskra Svit,11 ene 2025,P  91-85,18,8,4,37,5-7,1-4,54.5%,5-6,83.3%,2,6,8,4,0,3,0,18,21
vs MBK Baník Handlová,8 ene 2025,G  100-85,18,4,6,39,1-2,4-8,50.0%,4-5,80.0%,0,4,4,6,1,4,1,18,20
@ Levickí Patrioti,3 ene 2025,G  76-87,17,5,2,37,2-8,4-9,35.3%,1-1,100.0%,0,5,5,2,4,5,0,17,12
vs Spišskí Rytieri,29 dic 2024,G  94-61,13,8,4,28,2-5,3-7,41.7%,0-0,-,0,8,8,4,2,1,0,13,19
