PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ HLA Alicante,9 may 2025,G  78-82,2,3,4,12,1-3,0-1,25.0%,0-0,-,1,2,3,4,0,1,0,2,5
vs Súper Agropal Palencia,2 may 2025,G  101-96,3,4,3,17,1-4,0-0,25.0%,1-1,100.0%,1,3,4,3,0,1,0,3,6
@ Real Betis,27 abr 2025,P  100-61,0,0,0,13,0-4,0-1,0.0%,0-0,-,0,0,0,0,0,1,0,0,-6
vs C.B. Moron,17 abr 2025,G  83-64,2,0,0,3,1-2,0-0,50.0%,0-0,-,0,0,0,0,0,0,0,2,1
@ Ourense,12 abr 2025,P  96-77,0,0,0,3,0-1,0-0,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
vs Cartagena,2 mar 2025,P  83-87,0,0,0,1,0-1,0-0,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
@ Hestia Menorca,7 feb 2025,P  90-66,2,0,0,7,1-1,0-0,100.0%,0-0,-,0,0,0,0,0,0,0,2,2
vs San Pablo Burgos,31 ene 2025,P  71-90,2,1,0,11,0-1,0-1,0.0%,2-2,100.0%,0,1,1,0,0,3,0,2,-2
vs Monbus Obradoiro,20 dic 2024,G  73-68,0,0,0,2,0-0,0-1,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
@ San Pablo Burgos,15 dic 2024,P  95-68,3,0,0,10,0-1,1-1,50.0%,0-0,-,0,0,0,0,0,3,0,3,-1
vs Hestia Menorca,11 dic 2024,G  68-63,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Real Betis,1 dic 2024,P  60-94,2,2,1,11,0-1,0-1,0.0%,2-2,100.0%,0,2,2,1,1,3,0,2,1
@ Súper Agropal Palencia,15 nov 2024,P  107-76,2,1,2,15,0-0,0-1,0.0%,2-2,100.0%,1,0,1,2,0,2,0,2,2
vs Ourense,8 nov 2024,G  95-86,2,1,2,10,1-2,0-1,33.3%,0-0,-,0,1,1,2,1,1,0,2,3
@ UBU Tizona Burgos,1 nov 2024,G  105-107,4,2,1,7,1-1,0-0,100.0%,2-2,100.0%,0,2,2,1,1,1,0,4,7
vs Grupo Alega Cantabria,25 oct 2024,G  89-68,3,0,1,10,0-2,1-1,33.3%,0-2,0.0%,0,0,0,1,0,1,0,3,-1
@ Fuenlabrada,19 oct 2024,P  94-74,9,2,0,8,0-2,2-2,50.0%,3-6,50.0%,2,0,2,0,0,1,0,9,5
vs CB Zamora,11 oct 2024,P  72-84,0,2,1,10,0-0,0-1,0.0%,0-0,-,0,2,2,1,0,0,0,0,2
@ Movistar Estudiantes,6 oct 2024,P  108-85,3,1,0,15,0-0,1-1,100.0%,0-0,-,0,1,1,0,0,2,0,3,2
vs Alimerka Oviedo,27 sept 2024,G  90-68,2,4,1,12,1-1,0-0,100.0%,0-2,0.0%,1,3,4,1,0,0,0,2,5
