PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ HLA Alicante,9 may 2025,G  78-82,6,1,3,17,1-2,0-0,50.0%,4-4,100.0%,0,1,1,3,0,0,0,6,9
vs Súper Agropal Palencia,2 may 2025,G  101-96,3,0,0,17,0-2,1-2,25.0%,0-0,-,0,0,0,0,0,2,0,3,-2
@ Real Betis,27 abr 2025,P  100-61,12,6,0,21,1-3,3-3,66.7%,1-2,50.0%,2,4,6,0,1,2,0,12,14
vs Gipuzkoa Basket,22 abr 2025,P  65-70,4,2,2,18,2-3,0-2,40.0%,0-1,0.0%,0,2,2,2,1,3,0,4,2
vs C.B. Moron,17 abr 2025,G  83-64,1,3,0,15,0-2,0-0,0.0%,1-2,50.0%,2,1,3,0,0,1,0,1,0
@ Ourense,12 abr 2025,P  96-77,4,3,0,22,2-4,0-1,40.0%,0-1,0.0%,0,3,3,0,0,0,1,4,4
vs Real Valladolid,4 abr 2025,P  83-102,10,6,2,21,2-4,0-2,33.3%,6-6,100.0%,2,4,6,2,1,1,1,10,15
@ Monbus Obradoiro,28 mar 2025,P  100-72,3,2,2,19,0-1,1-1,50.0%,0-0,-,1,1,2,2,1,0,0,3,7
vs UBU Tizona Burgos,21 mar 2025,P  94-97,2,0,0,6,0-0,0-1,0.0%,2-2,100.0%,0,0,0,0,0,1,0,2,0
@ Alimerka Oviedo,16 mar 2025,P  87-76,4,3,2,20,1-4,0-0,25.0%,2-2,100.0%,1,2,3,2,0,2,0,4,4
vs Movistar Estudiantes,11 mar 2025,P  85-89,9,2,1,17,2-3,0-2,40.0%,5-5,100.0%,2,0,2,1,2,2,0,9,9
@ CB Zamora,8 mar 2025,P  96-87,10,3,0,32,1-3,2-6,33.3%,2-2,100.0%,1,2,3,0,2,1,0,10,8
vs Cartagena,2 mar 2025,P  83-87,8,6,4,37,2-5,1-5,30.0%,1-2,50.0%,2,4,6,4,3,1,0,8,12
@ Grupo Alega Cantabria,15 feb 2025,P  96-76,9,5,0,15,2-5,1-2,42.9%,2-2,100.0%,1,4,5,0,0,1,0,9,9
vs Fuenlabrada,11 feb 2025,P  78-88,2,5,0,14,1-2,0-2,25.0%,0-0,-,1,4,5,0,0,1,0,2,3
@ Hestia Menorca,7 feb 2025,P  90-66,8,3,0,19,2-2,1-5,42.9%,1-1,100.0%,1,2,3,0,1,1,0,8,7
vs San Pablo Burgos,31 ene 2025,P  71-90,4,2,2,17,2-4,0-0,50.0%,0-0,-,2,0,2,2,0,2,0,4,4
@ Real Valladolid,18 ene 2025,P  101-77,7,3,0,20,2-4,0-1,40.0%,3-4,75.0%,1,2,3,0,0,0,0,7,6
vs HLA Alicante,12 ene 2025,G  83-73,6,5,0,14,0-2,2-2,50.0%,0-0,-,3,2,5,0,2,1,0,6,10
@ C.B. Moron,4 ene 2025,P  84-79,6,2,1,16,1-3,0-2,20.0%,4-4,100.0%,2,0,2,1,2,2,0,6,5
@ Cartagena,29 dic 2024,P  107-106,11,3,0,31,1-3,3-6,44.4%,0-0,-,2,1,3,0,2,1,0,11,10
vs Monbus Obradoiro,20 dic 2024,G  73-68,8,1,3,29,2-5,1-2,42.9%,1-1,100.0%,0,1,1,3,0,1,0,8,7
@ San Pablo Burgos,15 dic 2024,P  95-68,3,2,0,17,0-1,1-2,33.3%,0-0,-,0,2,2,0,0,6,0,3,-3
vs Hestia Menorca,11 dic 2024,G  68-63,8,5,2,27,0-2,2-4,33.3%,2-2,100.0%,0,5,5,2,0,2,0,8,9
@ Gipuzkoa Basket,6 dic 2024,P  83-77,4,0,1,16,2-4,0-0,50.0%,0-2,0.0%,0,0,0,1,0,1,0,4,0
vs Real Betis,1 dic 2024,P  60-94,14,5,3,23,5-5,1-3,75.0%,1-4,25.0%,1,4,5,3,1,1,0,14,17
@ Súper Agropal Palencia,15 nov 2024,P  107-76,12,1,1,22,1-4,2-2,50.0%,4-4,100.0%,0,1,1,1,1,0,0,12,12
vs Ourense,8 nov 2024,G  95-86,16,4,3,23,4-5,1-5,50.0%,5-5,100.0%,2,2,4,3,1,0,0,16,19
@ UBU Tizona Burgos,1 nov 2024,G  105-107,0,0,2,12,0-2,0-1,0.0%,0-0,-,0,0,0,2,0,1,0,0,-2
vs Grupo Alega Cantabria,25 oct 2024,G  89-68,5,3,3,17,1-4,1-3,28.6%,0-0,-,0,3,3,3,1,0,1,5,8
@ Fuenlabrada,19 oct 2024,P  94-74,0,2,1,13,0-0,0-2,0.0%,0-0,-,1,1,2,1,0,2,0,0,-1
vs Alimerka Oviedo,27 sept 2024,G  90-68,0,4,2,13,0-2,0-2,0.0%,0-0,-,0,4,4,2,0,1,0,0,1
